_k,NCAM1,KLRF1,KLRD1,NKG7,GNLY,PRF1,CD3D,CD3G,CD6,CD3E,TRAC,FCGR3A,IL7R,n,kept
0,0.47787204,0.37026808,0.9957647,1.4143025,2.7315931,0.5888553,0.04027958,0.008289529,0.013668762,0.39683184,0.39931566,0.097473666,1.775345,113,True
1,0.49482,0.54810816,1.9799652,3.0602434,2.969057,1.1519945,0.067327745,0.04131537,0.01896886,0.40138656,0.2598834,0.16987827,0.17610854,353,True
2,0.17612097,0.03865058,0.9921275,2.2379978,3.2277677,0.9056113,0.13530125,0.036789145,0.0,1.0252936,0.7223139,0.045951683,0.005011904,300,False
3,0.7907405,0.6265338,1.6186067,3.0163128,4.194022,1.436045,0.20537704,0.028614813,0.011149607,1.000157,0.5402592,0.4354713,0.039663877,377,True
4,0.34542215,0.015792832,0.6908496,1.8205034,1.7615342,1.082562,0.29938242,0.11258961,0.010929564,1.2659721,1.5669339,0.05829001,0.013627476,376,False
5,0.41021836,0.5061401,2.2214067,3.179711,4.309966,0.87180024,0.105462916,0.029174197,0.02206939,0.6204017,0.51740724,0.28435367,0.48201826,388,True
6,1.4004264,0.38494307,1.7498819,3.7630713,6.67917,1.8638749,0.3856654,0.0101967715,0.0,1.1554857,0.1513038,0.38058397,0.0,123,True
7,0.78950274,0.38727555,1.4406995,2.9632258,3.7872458,1.0378928,0.0475272,0.002988788,0.019465376,0.8696605,0.442203,0.22991197,0.13003863,170,True
8,0.47892168,0.393555,1.2412204,2.9752321,3.51634,0.44533363,0.044516742,0.0,0.0,0.8752736,0.32433674,0.043602582,0.14772148,30,True
