_k,CD2,CD3D,CD3E,CD3G,CD6,FCGR3A,GNLY,IL7R,KLRD1,KLRF1,NCAM1,NKG7,PRF1,TRAC,neg_CD3D,neg_CD3G,neg_CD6,n_T_neg,cytotoxic,receptor,is_NK
0,2.0462656,2.1971009,1.5514853,1.7536098,0.49571717,0.019770803,0.09128698,0.4804378,0.29455933,0.014657348,0.0019055265,2.4712303,0.48506764,1.4831855,False,False,False,0,False,False,False
1,2.1259525,2.2495582,1.378154,1.5967966,0.34116006,0.017004007,0.611241,0.6174939,0.5752466,0.009698337,0.028804922,2.267904,0.5834454,1.3365619,False,False,False,0,True,True,False
10,2.398743,1.61107,1.2882931,1.4053957,0.5974576,0.0072810664,0.1196299,2.634952,0.05807311,0.0,0.008776658,0.17822134,0.18757299,1.2954298,False,False,False,0,False,False,False
11,1.0285888,0.4187452,0.7057247,0.4509561,0.21609753,0.0,0.07055905,0.4802458,0.25605315,0.0,0.0,0.46331477,0.23583408,0.6126756,True,True,False,2,False,False,False
12,1.8669147,1.9675115,1.3165519,1.3330809,0.6214032,0.0027168803,0.5040046,2.9201035,0.14764175,0.029751344,0.03774123,1.5196116,0.5157646,1.4591597,False,False,False,0,False,False,False
13,2.2930984,2.51123,1.7321807,2.0295734,0.49822038,0.023657277,0.9838843,0.19524743,1.0951781,0.0074737254,0.031661484,2.8631191,1.0428855,1.8795991,False,False,False,0,True,True,False
14,1.2443328,0.2975523,0.7695072,0.16734938,0.04580828,0.19182132,3.6420305,0.25081322,1.9834317,0.6152104,0.71990067,3.112046,1.2020303,0.48735747,True,True,True,3,True,True,True
15,1.5257072,1.5839322,1.148148,1.2787887,0.3956971,0.044907134,1.0302285,0.26321247,0.6236042,0.107357286,0.10634576,2.051781,0.6362091,1.3097109,False,False,False,0,True,True,False
16,1.4944541,1.3531265,1.2188879,1.2735695,0.32466725,1.3708544,3.3710353,0.518926,2.0736306,0.905656,0.18940042,3.8790665,2.015319,0.83976555,False,False,False,0,True,True,False
17,2.3372948,2.340852,1.5436149,1.6760509,0.43799663,0.0021022577,0.12060646,1.2998883,0.026271218,0.00034363937,0.01139027,0.12233901,0.17089508,1.9398516,False,False,False,0,False,False,False
18,2.5044203,2.238976,1.5352305,1.5656604,0.753003,0.0,0.019246599,1.4854225,0.008790367,0.0010990802,0.004784503,0.09743691,0.09416255,1.8721896,False,False,False,0,False,False,False
19,1.7349932,1.5282767,0.93066865,1.452439,0.35885805,0.02001869,1.0663701,0.7252346,0.71502566,0.016545432,0.053360008,1.8154128,0.59429914,0.9447297,False,False,False,0,True,True,False
2,2.612004,2.1707218,1.6301528,1.8703572,0.4957839,0.032573815,0.42837968,1.2473785,0.560578,0.008430764,0.027848335,1.9376893,0.68629396,1.5028684,False,False,False,0,False,True,False
3,2.2238038,2.3997104,1.7080652,1.9824518,0.50586665,0.019382365,0.7401195,1.9772158,0.6060848,0.007658617,0.017664436,2.0823917,0.8109477,1.6648175,False,False,False,0,True,True,False
4,2.0936337,2.0138817,1.4539747,1.6334734,0.65715414,0.0014535211,0.1255869,2.877316,0.023734463,0.00073223043,0.0026404178,0.28454953,0.22211754,1.4924048,False,False,False,0,False,False,False
5,2.2402709,2.0501788,1.5373354,1.7677094,0.47651118,0.023637092,0.6768347,0.82697785,0.5670792,0.04937666,0.018358951,2.1541955,0.8273062,1.7082847,False,False,False,0,True,True,False
6,1.3025379,0.10760285,0.38638625,0.06352699,0.03175857,0.014876221,1.0134206,3.0218353,0.26951602,0.0,0.11969504,0.24501294,0.05436963,0.69311905,True,True,True,3,False,False,False
7,1.9295129,1.8411531,1.0875709,1.2750096,0.39764726,0.0064538866,0.48929125,1.5346783,0.24264279,0.017728426,0.012019823,0.96113056,0.3349612,1.1505853,False,False,False,0,False,False,False
8,1.7657521,1.9636992,1.476232,1.5265383,0.4974486,0.0014535824,0.029673489,2.3849611,0.026571058,0.0007640152,0.0015754076,0.09004315,0.05159734,1.550473,False,False,False,0,False,False,False
9,2.4477904,2.4084523,1.6713322,1.9901414,0.7096399,0.004799942,0.054257073,3.0572836,0.026442377,0.0,0.0,0.26334682,0.12784426,1.7758406,False,False,False,0,False,False,False
