_k,NCAM1,KLRF1,KLRD1,NKG7,GNLY,PRF1,CD3D,CD3G,CD6,CD3E,TRAC,FCGR3A,IL7R,n,kept
0,0.83848125,0.10621266,1.6019473,3.3550236,5.751978,3.000569,0.057099603,0.009704644,0.009704644,1.5687715,0.20762758,0.1687407,0.12553327,91,True
1,0.43453038,0.2853724,1.5279583,3.220743,4.3764176,1.7436565,0.07536652,0.0,0.016980425,1.4062438,0.6824835,0.294132,0.06831146,98,True
2,0.37596706,0.64559156,1.910205,3.223525,3.9845548,1.5335469,0.08711842,0.026099775,0.02094135,1.094925,0.25807983,0.3109153,0.9258851,184,True
3,0.17028552,0.013357401,1.0106635,2.6500993,2.7525356,1.631909,0.50560343,0.3329687,0.12575072,1.8770947,1.0111912,0.065658316,0.24503282,30,False
4,0.6059927,0.17471895,1.940479,3.6808825,4.8083777,1.8431762,0.37480146,0.21443261,0.11745497,1.3944739,0.6029683,0.41172183,0.22034544,69,True
5,0.09957738,0.030049343,1.4184316,1.3241142,1.3125827,1.3553274,0.076328374,0.025126677,0.011454785,2.0193145,1.5945064,0.045783006,0.011749037,102,False
6,0.03499603,0.0,1.2459629,1.1064701,1.2480594,1.1905874,0.14192168,0.085632056,0.015786061,1.9901867,1.4481527,0.0054728026,0.104564354,227,False
