_k,NCAM1,KLRF1,KLRD1,NKG7,GNLY,PRF1,CD3D,CD3G,CD6,CD3E,TRAC,FCGR3A,IL7R,n,kept
0,0.8799762,0.9388868,2.2344043,2.7419546,4.575261,0.94348395,0.05084266,0.04064798,0.032624945,0.7471326,0.2266393,0.11229251,1.2772219,196,True
1,0.552408,0.40914345,1.5203018,2.322646,2.6833098,1.0084426,0.20637912,0.20059748,0.009863154,0.94527966,0.79232645,0.09530207,0.107921116,212,True
2,0.77366596,0.676411,1.792085,3.5178535,4.461968,1.5643557,0.2702469,0.024860498,0.02471132,0.6959481,0.2631437,0.26478973,0.06062748,374,True
3,0.8673125,0.67458844,2.2106574,3.307781,3.3029344,1.0321212,0.14599966,0.044936854,0.05338351,0.66666555,0.39717108,0.17536044,0.09133745,428,True
4,0.61781496,0.5673596,2.022947,2.8665032,3.22692,1.1687554,0.26662734,0.15636587,0.02430589,0.5681035,0.4754338,0.111811005,0.17201991,172,True
5,1.0651346,0.88364387,2.2901123,3.2779229,2.780398,0.9591487,0.10567214,0.025466474,0.012197323,0.6333031,0.27227378,0.22968048,0.09526509,151,True
6,0.30816707,0.25158632,1.8754549,3.1900551,3.8605728,1.4604561,0.9390507,0.69916743,0.13140984,1.1095695,1.007037,0.27823377,0.27089408,276,True
