tnk_cluster,CD2,CD3D,CD3G,CD6,FCGR3A,GNLY,GZMB,IL7R,KLRC1,KLRD1,KLRF1,MKI67,NCAM1,NKG7,PRF1,PTPRC,SELL,TRAC,TRBC1,XCL1,n_T_markers_negative,is_NK
0,0.7805578342904019,0.8826907301066448,0.5041017227235439,0.1468416735028712,0.008613617719442166,0.2280557834290402,0.6579163248564397,0.2551271534044299,0.2575881870385562,0.3921246923707957,0.0036915504511894994,0.01066447908121411,0.002871205906480722,0.7374897456931911,0.344954881050041,0.6611977030352748,0.02420016406890894,0.8256767842493847,0.5451189499589828,0.2128794093519278,1,False
1,0.9453125,0.972265625,0.7890625,0.42421875,0.055859375,0.333203125,0.650390625,0.8046875,0.180859375,0.45625,0.04765625,0.031640625,0.013671875,0.867578125,0.541015625,0.92734375,0.2671875,0.961328125,0.8140625,0.238671875,0,False
2,0.7983539094650206,0.8840877914951989,0.4403292181069959,0.14540466392318244,0.00205761316872428,0.045953360768175584,0.06790123456790123,0.46502057613168724,0.009602194787379973,0.025377229080932786,0.0027434842249657062,0.0075445816186556925,0.0027434842249657062,0.09122085048010974,0.12757201646090535,0.7462277091906722,0.35733882030178327,0.9396433470507545,0.5802469135802469,0.0205761316872428,1,False
3,0.5689948892674617,0.3339011925042589,0.16524701873935263,0.06303236797274275,0.04258943781942078,0.7086882453151618,0.5911413969335605,0.31175468483816016,0.5178875638841567,0.6490630323679727,0.21635434412265758,0.0068143100511073255,0.05792163543441227,0.7819420783645656,0.4787052810902896,0.6507666098807495,0.14310051107325383,0.4735945485519591,0.46678023850085176,0.5638841567291312,2,False
4,0.5392030848329049,0.6060411311053985,0.32519280205655526,0.10732647814910026,0.0012853470437017994,0.05141388174807198,0.07904884318766067,0.455012853470437,0.014138817480719794,0.028277634961439587,0.003213367609254499,0.0012853470437017994,0.0,0.12210796915167095,0.05141388174807198,0.5295629820051414,0.07262210796915167,0.6625964010282777,0.3393316195372751,0.05462724935732648,1,False
5,0.9032006245120999,0.9266198282591726,0.6768149882903981,0.3981264637002342,0.0039032006245121,0.08743169398907104,0.156128024980484,0.9016393442622951,0.02498048399687744,0.07259953161592506,0.00702576112412178,0.00702576112412178,0.00312256049960968,0.24512099921935987,0.14207650273224043,0.8985167837626854,0.34972677595628415,0.9258391881342701,0.6978922716627635,0.09679937548790007,0,False
6,0.6322328718494853,0.7412140575079872,0.37486687965921195,0.16968406105786296,0.0007099751508697196,0.01845935392261271,0.01810436634717785,0.7011004614838481,0.004969826056088037,0.013489527866524671,0.0010649627263045794,0.0003549875754348598,0.0,0.04756833510827121,0.042243521476748314,0.6382676606318779,0.2765353212637558,0.7894923677671282,0.4731984380546681,0.020944266950656727,1,False
7,0.7485955056179775,0.8202247191011236,0.41467696629213485,0.2264747191011236,0.0,0.0488061797752809,0.04845505617977528,0.8609550561797753,0.01580056179775281,0.02457865168539326,0.0049157303370786515,0.0014044943820224719,0.0007022471910112359,0.14115168539325842,0.09550561797752809,0.6945224719101124,0.15133426966292135,0.8528792134831461,0.488061797752809,0.04037921348314607,1,False
8,0.7844036697247706,0.8926605504587156,0.4981651376146789,0.26422018348623855,0.0009174311926605505,0.07706422018348624,0.19724770642201836,0.46238532110091746,0.006422018348623854,0.023853211009174313,0.0009174311926605505,0.02018348623853211,0.0,0.181651376146789,0.14403669724770643,0.7165137614678899,0.14311926605504588,0.8834862385321101,0.6082568807339449,0.05137614678899083,0,False
9,0.8189473684210526,0.8789473684210526,0.7010526315789474,0.4073684210526316,0.061052631578947365,0.23473684210526316,0.5894736842105263,0.48210526315789476,0.15894736842105264,0.3273684210526316,0.04,0.6852631578947368,0.015789473684210527,0.6778947368421052,0.4052631578947368,0.8210526315789474,0.23684210526315788,0.8842105263157894,0.6610526315789473,0.17789473684210527,0,False
10,0.38080869040434523,0.3584791792395896,0.15087507543753773,0.08690404345202173,0.003621001810500905,0.04707302353651177,0.0748340374170187,0.4508147254073627,0.0331925165962583,0.05069402534701267,0.0012070006035003018,0.0012070006035003018,0.0018105009052504525,0.07845503922751962,0.05009052504526252,0.5208207604103802,0.05974652987326494,0.38503319251659623,0.22088111044055522,0.03198551599275799,2,False
11,0.6717805671780567,0.7898651789865179,0.38400743840074386,0.1399349139934914,0.01208740120874012,0.05392840539284054,0.27847512784751277,0.25383542538354253,0.023245002324500233,0.2194328219432822,0.01906090190609019,0.00604370060437006,0.001394700139470014,0.802417480241748,0.27615062761506276,0.704323570432357,0.05950720595072059,0.7810320781032078,0.4900046490004649,0.07624360762436076,1,False
12,0.5720524017467249,0.8056768558951966,0.509825327510917,0.18995633187772926,0.29475982532751094,0.8569868995633187,0.6648471615720524,0.3034934497816594,0.026200873362445413,0.6670305676855895,0.18013100436681223,0.002183406113537118,0.015283842794759825,0.9781659388646288,0.665938864628821,0.7270742358078602,0.11026200873362445,0.7412663755458515,0.50764192139738,0.07969432314410481,1,False
13,0.6666666666666666,0.5833333333333334,0.4166666666666667,0.16666666666666666,0.0,0.16666666666666666,0.25,0.9166666666666666,0.0,0.25,0.0,0.0,0.0,0.5,0.16666666666666666,0.75,0.0,0.75,0.5833333333333334,0.08333333333333333,1,False
