_k,CD2,CD3D,CD3E,CD3G,CD6,FCGR3A,GNLY,IL7R,KLRD1,KLRF1,NCAM1,NKG7,PRF1,TRAC,neg_CD3D,neg_CD3G,neg_CD6,n_T_neg,cytotoxic,receptor,is_NK
0,1.4220643,1.4482557,2.1407423,0.69466335,0.67451483,0.0024933314,0.073796526,2.3791053,0.056524664,0.0,0.002522855,0.22438024,0.13235381,0.4083173,False,False,False,0,False,False,False
1,1.4391296,1.4490885,2.0614984,0.7207102,0.5826089,0.008896574,0.32600147,2.2585833,0.22043072,0.0,0.0,0.26465988,0.09292485,0.39293078,False,False,False,0,False,False,False
10,0.5746643,1.280634,2.1324258,0.5284673,0.36622417,0.011967484,0.6775739,2.465851,0.9487779,0.006377438,0.0030630408,0.943959,0.05447564,0.2468286,False,False,False,0,False,True,False
11,1.6141405,1.953307,2.3624194,1.2920668,0.65222645,0.02552918,0.30072078,0.6646053,0.7948128,0.0,0.0,2.2881138,0.81869435,0.38809162,False,False,False,0,False,True,False
12,1.332371,1.7606611,2.3999524,0.97017074,0.59232056,0.050793175,1.0183837,0.7044369,1.3269196,0.0047244453,0.02538228,2.9983613,0.7058296,0.5857861,False,False,False,0,True,True,False
13,0.8724181,1.5147356,2.0345001,0.70607734,0.49765322,0.0,0.7799635,2.5208347,0.16081779,0.0033611956,0.012014702,1.5284171,0.52004343,0.38066682,False,False,False,0,True,False,False
14,0.24782859,0.023021698,0.37397102,0.0,0.018595302,0.0,0.8533841,2.5045135,0.33563566,0.008867001,0.02152033,0.221403,0.19769858,0.32036468,True,True,True,3,False,False,False
15,0.6109304,1.1189063,1.9765311,0.7323026,0.267007,1.1865647,3.164033,0.5020204,1.3894124,0.2338227,0.13468046,3.976963,1.8804739,0.28034988,False,False,False,0,True,True,False
16,0.58703685,0.044269778,1.2777137,0.015566089,0.058652725,0.22194773,2.606881,0.0673494,1.7426319,0.66284937,0.5529743,3.4342997,1.2103188,0.17963375,True,True,True,3,True,True,True
17,0.35156035,0.46458134,0.6408284,0.14692326,0.10872974,0.0,0.12836827,0.24644122,0.07655963,0.023171399,0.0,0.6528182,0.03536923,0.25446132,True,True,True,3,False,False,False
18,1.3332813,1.7760442,2.2123666,1.0880505,0.772832,0.0,0.35060936,1.7262254,0.17548367,0.0,0.0,1.4054059,0.5484486,0.34085023,False,False,False,0,False,False,False
19,1.1560459,1.4322499,2.1290562,0.77779114,0.6331252,0.017560197,0.04493199,1.7471831,0.06299721,0.0,0.0,1.4847742,0.26773456,0.34508422,False,False,False,0,False,False,False
2,1.400258,1.1507608,1.6254823,0.74708134,0.79274064,0.011510201,0.20041949,1.386132,0.31201896,0.0,0.0080876555,0.824066,0.3502333,0.46586683,False,False,False,0,False,False,False
20,1.3069235,1.7686925,2.0330725,1.0743834,0.61880416,0.084425494,0.49163643,0.2518999,0.51062566,0.012109788,0.05582998,2.102126,0.54757684,0.49753156,False,False,False,0,True,True,False
3,1.5743623,1.5480788,2.1597238,0.866318,0.733665,0.0,0.027686857,2.6873589,0.025448978,0.0,0.0041588712,0.08282385,0.092732586,0.53903186,False,False,False,0,False,False,False
4,1.6810375,1.8155743,2.3054829,0.9531164,0.68841666,0.0017521257,0.0096825855,0.758193,0.0064062723,0.0,0.0045798477,0.031957746,0.123179354,0.6996373,False,False,False,0,False,False,False
5,1.3384366,1.618524,2.230409,0.94398,0.41498202,0.047183845,0.13928366,0.21233387,0.44412497,0.009870553,0.0016392103,2.446039,0.5432656,0.6123624,False,False,False,0,False,True,False
6,1.5318496,2.0357025,2.4555411,1.2218816,0.6982997,0.03338453,0.4170316,0.28984568,0.50484115,0.00395419,0.007816758,2.876916,0.873702,0.56541425,False,False,False,0,True,True,False
7,0.9792304,1.567343,2.1344638,0.8164531,0.5238445,0.0056611714,0.018624939,0.24723619,0.2134597,0.0062202583,0.0007913277,2.2917573,0.44549295,0.3608041,False,False,False,0,False,False,False
8,1.5096211,1.8598981,2.3636932,1.1192116,0.47059307,0.017556936,0.904583,2.1495938,0.6111757,0.0027376215,0.0038213683,1.4854007,0.5603279,0.4447567,False,False,False,0,True,True,False
9,1.1416008,1.1303717,1.6697304,0.6566179,0.49683967,0.010220188,0.2016081,1.4720886,0.28433245,0.0,0.006112648,0.84302324,0.2388418,0.4524696,False,False,False,0,False,False,False
