a,b,n_a,n_b,observed_overlap,expected_by_chance,ratio_obs_over_exp,jaccard
GSE208653:N_HPVneg_2,GSE197461:ADC_1,9203,5753,3,71.8,0.04,0.0002
GSE208653:HSIL_1,GSE173231:CX3,6346,3211,1,27.6,0.04,0.0001
E-MTAB-12305:T2,GSE173231:CX8,8818,1874,1,22.4,0.04,0.0001
E-MTAB-12305:L1,GSE173231:CX2,10283,1775,1,24.8,0.04,0.0001
GSE208653:N_HPVneg_2,GSE173231:CX4,9203,4266,2,53.2,0.04,0.0001
E-MTAB-12305:L1,GSE173231:CX8,10283,1874,1,26.1,0.04,0.0001
E-MTAB-12305:N2,GSE197461:ADC_4,13955,4406,3,83.4,0.04,0.0002
E-MTAB-12305:N2,GSE173231:CX6B,13955,1487,1,28.1,0.04,0.0001
E-MTAB-12305:N3,GSE173231:CX7B,11465,1710,1,26.6,0.04,0.0001
E-MTAB-12305:H2,GSE197461:ADC_4,13302,4406,3,79.5,0.04,0.0002
GSE208653:ADC_6,GSE197461:ADC_2,10154,2049,1,28.2,0.04,0.0001
GSE208653:ADC_6,GSE197461:ADC_1,10154,5753,3,79.2,0.04,0.0002
GSE208653:N_HPVneg_1,GSE173231:CX2,11619,1775,1,28.0,0.04,0.0001
E-MTAB-12305:T3,GSE173231:CX7A,14248,2606,2,50.4,0.04,0.0001
GSE208653:N_HPVneg_2,GSE197461:ADC_2,9203,2049,1,25.6,0.04,0.0001
E-MTAB-12305:N2,GSE197461:ADC_3,13955,3310,2,62.7,0.03,0.0001
E-MTAB-12305:N2,GSE173231:CX3,13955,3211,2,60.8,0.03,0.0001
E-MTAB-12305:N2,GSE173231:CX1,13955,1880,1,35.6,0.03,0.0001
E-MTAB-12305:H1,GSE197461:ADC_3,7084,3310,1,31.8,0.03,0.0001
E-MTAB-12305:H1,GSE197461:SCC_2,7084,6914,2,66.4,0.03,0.0001
GSE208653:SCC_4,GSE197461:SCC_3,8979,5970,2,72.7,0.03,0.0001
GSE208653:SCC_5,GSE197461:SCC_2,6734,6914,2,63.1,0.03,0.0001
GSE208653:SCC_5,GSE197461:SCC_1,6734,3428,1,31.3,0.03,0.0001
GSE208653:SCC_4,GSE173231:CX7A,8979,2606,1,31.7,0.03,0.0001
GSE208653:SCC_5,GSE197461:ADC_5,6734,3562,1,32.5,0.03,0.0001
E-MTAB-12305:H2,GSE173231:CX4,13302,4266,2,77.0,0.03,0.0001
E-MTAB-12305:H2,GSE173231:CX8,13302,1874,1,33.8,0.03,0.0001
E-MTAB-12305:H2,GSE173231:CX7B,13302,1710,1,30.9,0.03,0.0001
GSE208653:ADC_6,GSE173231:CX7A,10154,2606,1,35.9,0.03,0.0001
E-MTAB-12305:T1,GSE197461:ADC_2,12732,2049,1,35.4,0.03,0.0001
E-MTAB-12305:N3,GSE173231:CX4,11465,4266,2,66.3,0.03,0.0001
E-MTAB-12305:H1,GSE173231:CX5,7084,3169,1,30.4,0.03,0.0001
E-MTAB-12305:H2,GSE173231:CX3,13302,3211,2,57.9,0.03,0.0001
GSE208653:N_HPVpos_1,GSE197461:ADC_3,16218,3310,2,72.8,0.03,0.0001
GSE208653:N_HPVpos_1,GSE173231:CX5,16218,3169,2,69.7,0.03,0.0001
GSE208653:HSIL_1,GSE197461:ADC_4,6346,4406,1,37.9,0.03,0.0001
E-MTAB-12305:T3,GSE173231:CX8,14248,1874,1,36.2,0.03,0.0001
E-MTAB-12305:T3,GSE173231:CX6B,14248,1487,1,28.7,0.03,0.0001
E-MTAB-12305:T3,GSE197461:ADC_3,14248,3310,2,64.0,0.03,0.0001
E-MTAB-12305:T3,GSE197461:ADC_2,14248,2049,1,39.6,0.03,0.0001
GSE208653:N_HPVneg_1,GSE197461:ADC_1,11619,5753,3,90.7,0.03,0.0002
E-MTAB-12305:L1,GSE197461:ADC_2,10283,2049,1,28.6,0.03,0.0001
GSE208653:N_HPVneg_1,GSE197461:ADC_2,11619,2049,1,32.3,0.03,0.0001
GSE208653:N_HPVpos_1,GSE173231:CX6A,16218,1448,1,31.9,0.03,0.0001
GSE208653:N_HPVpos_1,GSE173231:CX7A,16218,2606,2,57.3,0.03,0.0001
GSE208653:HSIL_2,GSE197461:ADC_3,7371,3310,1,33.1,0.03,0.0001
E-MTAB-12305:T2,GSE173231:CX3,8818,3211,1,38.4,0.03,0.0001
E-MTAB-12305:T4,GSE197461:ADC_4,10630,4406,2,63.5,0.03,0.0001
E-MTAB-12305:T4,GSE197461:ADC_2,10630,2049,1,29.5,0.03,0.0001
E-MTAB-12305:T4,GSE173231:CX7A,10630,2606,1,37.6,0.03,0.0001
