a,b,n_a,n_b,observed_overlap,expected_by_chance,ratio_obs_over_exp,jaccard
E-MTAB-12305:N2,GSE173231:CX5,13955,3169,0,60.0,0.0,0.0
E-MTAB-12305:N2,GSE173231:CX6A,13955,1448,0,27.4,0.0,0.0
E-MTAB-12305:N2,GSE173231:CX7A,13955,2606,0,49.3,0.0,0.0
E-MTAB-12305:N2,GSE173231:CX7B,13955,1710,0,32.4,0.0,0.0
E-MTAB-12305:N2,GSE173231:CX8,13955,1874,0,35.5,0.0,0.0
E-MTAB-12305:N3,GSE197461:SCC_1,11465,3428,0,53.3,0.0,0.0
E-MTAB-12305:N3,GSE173231:CX8,11465,1874,0,29.1,0.0,0.0
E-MTAB-12305:H1,GSE197461:SCC_1,7084,3428,0,32.9,0.0,0.0
E-MTAB-12305:H1,GSE197461:ADC_1,7084,5753,0,55.3,0.0,0.0
E-MTAB-12305:N2,GSE197461:SCC_2,13955,6914,0,130.9,0.0,0.0
E-MTAB-12305:N2,GSE197461:ADC_5,13955,3562,0,67.4,0.0,0.0
E-MTAB-12305:N3,GSE173231:CX1,11465,1880,0,29.2,0.0,0.0
GSE208653:N_HPVneg_1,GSE173231:CX6B,11619,1487,0,23.4,0.0,0.0
E-MTAB-12305:N3,GSE173231:CX3,11465,3211,0,49.9,0.0,0.0
E-MTAB-12305:N3,GSE173231:CX6A,11465,1448,0,22.5,0.0,0.0
E-MTAB-12305:N3,GSE173231:CX6B,11465,1487,0,23.1,0.0,0.0
E-MTAB-12305:N3,GSE173231:CX7A,11465,2606,0,40.5,0.0,0.0
E-MTAB-12305:H2,GSE173231:CX1,13302,1880,0,33.9,0.0,0.0
E-MTAB-12305:H2,GSE173231:CX2,13302,1775,0,32.0,0.0,0.0
E-MTAB-12305:N3,GSE197461:ADC_1,11465,5753,0,89.5,0.0,0.0
E-MTAB-12305:N3,GSE197461:ADC_2,11465,2049,0,31.9,0.0,0.0
E-MTAB-12305:N3,GSE197461:ADC_3,11465,3310,0,51.5,0.0,0.0
E-MTAB-12305:N3,GSE197461:ADC_4,11465,4406,0,68.5,0.0,0.0
GSE208653:N_HPVneg_1,GSE173231:CX4,11619,4266,0,67.2,0.0,0.0
GSE208653:N_HPVneg_1,GSE173231:CX5,11619,3169,0,49.9,0.0,0.0
GSE208653:N_HPVneg_1,GSE173231:CX6A,11619,1448,0,22.8,0.0,0.0
E-MTAB-12305:N3,GSE173231:CX2,11465,1775,0,27.6,0.0,0.0
E-MTAB-12305:T2,GSE197461:SCC_3,8818,5970,0,71.4,0.0,0.0
E-MTAB-12305:T2,GSE197461:ADC_1,8818,5753,0,68.8,0.0,0.0
GSE208653:N_HPVpos_2,GSE173231:CX8,7335,1874,0,18.6,0.0,0.0
GSE208653:HSIL_1,GSE197461:SCC_1,6346,3428,0,29.5,0.0,0.0
GSE208653:HSIL_1,GSE197461:ADC_2,6346,2049,0,17.6,0.0,0.0
GSE208653:HSIL_1,GSE197461:ADC_3,6346,3310,0,28.5,0.0,0.0
GSE208653:HSIL_1,GSE197461:ADC_5,6346,3562,0,30.7,0.0,0.0
GSE208653:N_HPVpos_2,GSE173231:CX2,7335,1775,0,17.7,0.0,0.0
GSE208653:N_HPVpos_2,GSE173231:CX3,7335,3211,0,31.9,0.0,0.0
GSE208653:N_HPVpos_2,GSE173231:CX5,7335,3169,0,31.5,0.0,0.0
GSE208653:N_HPVpos_2,GSE173231:CX6A,7335,1448,0,14.4,0.0,0.0
GSE208653:N_HPVpos_2,GSE173231:CX6B,7335,1487,0,14.8,0.0,0.0
GSE208653:N_HPVpos_2,GSE173231:CX7A,7335,2606,0,25.9,0.0,0.0
GSE208653:N_HPVpos_2,GSE173231:CX1,7335,1880,0,18.7,0.0,0.0
GSE208653:SCC_4,GSE197461:ADC_2,8979,2049,0,25.0,0.0,0.0
GSE208653:SCC_4,GSE197461:ADC_3,8979,3310,0,40.3,0.0,0.0
GSE208653:SCC_4,GSE197461:ADC_4,8979,4406,0,53.7,0.0,0.0
GSE208653:SCC_4,GSE197461:ADC_5,8979,3562,0,43.4,0.0,0.0
GSE208653:SCC_4,GSE173231:CX1,8979,1880,0,22.9,0.0,0.0
GSE208653:SCC_4,GSE173231:CX2,8979,1775,0,21.6,0.0,0.0
GSE208653:HSIL_2,GSE173231:CX4,7371,4266,0,42.6,0.0,0.0
GSE208653:HSIL_2,GSE173231:CX5,7371,3169,0,31.7,0.0,0.0
GSE208653:HSIL_2,GSE173231:CX6A,7371,1448,0,14.5,0.0,0.0
GSE208653:HSIL_2,GSE173231:CX6B,7371,1487,0,14.9,0.0,0.0
GSE208653:HSIL_2,GSE173231:CX7A,7371,2606,0,26.1,0.0,0.0
GSE208653:HSIL_2,GSE173231:CX7B,7371,1710,0,17.1,0.0,0.0
GSE208653:HSIL_2,GSE173231:CX8,7371,1874,0,18.7,0.0,0.0
GSE208653:N_HPVpos_2,GSE173231:CX7B,7335,1710,0,17.0,0.0,0.0
GSE208653:N_HPVpos_1,GSE197461:ADC_5,16218,3562,0,78.4,0.0,0.0
GSE208653:N_HPVpos_1,GSE173231:CX2,16218,1775,0,39.0,0.0,0.0
GSE208653:N_HPVpos_1,GSE173231:CX7B,16218,1710,0,37.6,0.0,0.0
GSE208653:N_HPVpos_1,GSE173231:CX8,16218,1874,0,41.2,0.0,0.0
GSE208653:N_HPVpos_2,GSE197461:SCC_1,7335,3428,0,34.1,0.0,0.0
GSE208653:N_HPVneg_2,GSE173231:CX7A,9203,2606,0,32.5,0.0,0.0
GSE208653:N_HPVneg_2,GSE173231:CX8,9203,1874,0,23.4,0.0,0.0
GSE208653:N_HPVpos_1,GSE197461:SCC_2,16218,6914,0,152.1,0.0,0.0
GSE208653:N_HPVpos_1,GSE197461:SCC_3,16218,5970,0,131.3,0.0,0.0
GSE208653:N_HPVpos_1,GSE197461:ADC_2,16218,2049,0,45.1,0.0,0.0
GSE208653:N_HPVneg_2,GSE197461:ADC_3,9203,3310,0,41.3,0.0,0.0
GSE208653:N_HPVneg_2,GSE197461:ADC_5,9203,3562,0,44.5,0.0,0.0
GSE208653:N_HPVneg_2,GSE173231:CX1,9203,1880,0,23.5,0.0,0.0
E-MTAB-12305:T2,GSE197461:SCC_2,8818,6914,0,82.7,0.0,0.0
GSE208653:N_HPVneg_2,GSE173231:CX5,9203,3169,0,39.6,0.0,0.0
GSE208653:N_HPVneg_2,GSE173231:CX6B,9203,1487,0,18.6,0.0,0.0
E-MTAB-12305:T2,GSE197461:ADC_2,8818,2049,0,24.5,0.0,0.0
E-MTAB-12305:T2,GSE197461:ADC_3,8818,3310,0,39.6,0.0,0.0
E-MTAB-12305:T2,GSE197461:ADC_5,8818,3562,0,42.6,0.0,0.0
E-MTAB-12305:T2,GSE173231:CX1,8818,1880,0,22.5,0.0,0.0
E-MTAB-12305:T2,GSE173231:CX2,8818,1775,0,21.2,0.0,0.0
E-MTAB-12305:T2,GSE173231:CX4,8818,4266,0,51.0,0.0,0.0
E-MTAB-12305:T2,GSE173231:CX5,8818,3169,0,37.9,0.0,0.0
GSE208653:HSIL_1,GSE173231:CX1,6346,1880,0,16.2,0.0,0.0
GSE208653:HSIL_1,GSE173231:CX2,6346,1775,0,15.3,0.0,0.0
E-MTAB-12305:T1,GSE173231:CX7B,12732,1710,0,29.5,0.0,0.0
E-MTAB-12305:T1,GSE173231:CX8,12732,1874,0,32.4,0.0,0.0
E-MTAB-12305:T2,GSE197461:SCC_1,8818,3428,0,41.0,0.0,0.0
GSE208653:N_HPVneg_2,GSE173231:CX3,9203,3211,0,40.1,0.0,0.0
