# Excluded records with reason (spec v1.0 section 2)
# run date: 2026-08-24
stage	pmid	doi	year	title	reason	basis
1_no_modality_term	40135894	10.1128/jvi.02251-24	2025	Murine nasal-associated lymphoid tissue (NALT) harbors human alphaherpesvirus 1 (HSV-1) DNA during latency, and dexamethasone triggers viral replication.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	38576683	10.7759/cureus.55594	2024	Extranodal Natural Killer/T-cell Lymphoma, Nasal Type Occurring After Actinomyces Infection: A Case Report.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	39642574	10.1016/j.oraloncology.2024.107129	2025	Multimodal profiling uncovers tertiary lymphoid structures as a critical determinant of immunotherapy response and prognosis in nasopharyngeal carcinoma.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	36447707	10.7759/cureus.30734	2022	Extranodal Natural Killer/T-cell Lymphoma With an Unusual Presentation: A Case Report and Literature Review.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	NOT_FOUND	10.21203/rs.3.rs-1561222/v1	2022	Adaptive MHC-E restricted tissue-resident NK cells are associated with persistent low antigen load in alveolar macrophages after SARS-CoV-2 infection	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	34572108	10.3390/cells10092458	2021	Radiotherapy Combined with PD-1 Inhibition Increases NK Cell Cytotoxicity towards Nasopharyngeal Carcinoma Cells.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	38321652	10.1177/01455613231223946	2026	Incidence of Neoplasm in Patients Referred for Epistaxis.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	35991731	10.1080/08998280.2022.2071074	2022	Extranodal natural killer/T-cell lymphoma nasal type.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	37869238	10.14740/wjon1645	2023	Update on Radiotherapy Changes of Nasopharyngeal Carcinoma Tumor Microenvironment.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	33671917	10.3390/v13020300	2021	The Role of NK Cells in EBV Infection and EBV-Associated NPC.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	38293884	10.4067/s0034-98872023000300381	2023	[Primary testicular NK/T cell lymphoma. Case report and review of literature].	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	37384825	10.12659/ajcr.939286	2023	A Rare Case of Aggressive Disseminated Nasal-Type Epstein-Barr Virus-Positive Extranodal Natural Killer/T-Cell Lymphoma with Bone Marrow Involvement.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	32737537	10.1007/s00262-020-02681-x	2021	Anti-PD-1 antibody increases NK cell cytotoxicity towards nasopharyngeal carcinoma cells in the context of chemotherapy-induced upregulation of PD-1 and PD-L1.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	35740590	10.3390/cancers14122924	2022	19th International Symposium on Epstein-Barr Virus and Associated Diseases, 29-30 July 2021, Asahikawa, Japan.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	38236288	10.1007/s00262-023-03626-w	2024	A novel model for predicting prognosis and response to immunotherapy in nasopharyngeal carcinoma patients.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	37138649	10.2478/rir-2023-0006	2023	Intermittent fever and cough in a 56-year-old patient: Relapsing polychondritis and extranodal NK/T-cell lymphoma.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	35157765	10.1182/blood.2021014654	2022	Defects in mucosal immunity and nasopharyngeal dysbiosis in HSC-transplanted SCID patients with IL2RG/JAK3 deficiency.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	36713430	10.3389/fimmu.2022.1079515	2022	Immunotherapeutic approaches in EBV-associated nasopharyngeal carcinoma.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	33504359	10.1186/s40164-021-00199-1	2021	Natural killer cells associated with SARS-CoV-2 viral RNA shedding, antibody response and mortality in COVID-19 patients.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
