dataset_id	compartment	gene	category	soup_fraction	nk_myeloid_cpm_ratio	scale_a_verdict	scale_b_verdict	combined_verdict
VT2018	Blood	ENTPD1	marker_subset	0.4699263351749539	0.0753687241440475	indistinguishable_from_ambient	within_pickup_band	indistinguishable_from_ambient
VT2018	Blood	ITGAE	marker_subset	0.12816403381670963	0.8991192308861319	indistinguishable_from_ambient	within_pickup_band	indistinguishable_from_ambient
VT2018	Blood	ITGB2	marker_subset	0.061425172985681786	1.4314849867614727	above_ambient	above_pickup_band	positive
VT2018	Blood	CD160	marker_subset	0.021789137811237255	87.92580896665574	above_ambient	unmeasurable	unmeasurable
VT2018	Blood	KLRB1	marker_subset	0.055024441054857175	28.532663818019174	above_ambient	above_pickup_band	positive
VT2018	Blood	ITGA1	marker_subset	0.17750884270221284	2.430641353645532	indistinguishable_from_ambient	unmeasurable	unmeasurable
VT2018	Blood	CD9	marker_subset	0.40128328802361946	0.1657255468394681	indistinguishable_from_ambient	within_pickup_band	indistinguishable_from_ambient
VT2018	Blood	EOMES	marker_subset	0.04164998368398648	34.32360214541872	above_ambient	unmeasurable	unmeasurable
VT2018	Blood	TBX21	marker_subset	0.026623313013932504	43.52005471289143	above_ambient	unmeasurable	unmeasurable
VT2018	Blood	MKI67	marker_subset	0.04248881873191265	37.26983408923149	above_ambient	unmeasurable	unmeasurable
VT2018	Blood	PTN	prospective			unmeasurable	unmeasurable	unmeasurable
VT2018	Blood	OGN	prospective	0.0453214066473735		above_ambient	unmeasurable	unmeasurable
VT2018	Blood	SPP1	prospective			unmeasurable	unmeasurable	unmeasurable
VT2018	Blood	VEGFA	prospective	0.3993948960799789	0.08102137845485106	indistinguishable_from_ambient	within_pickup_band	indistinguishable_from_ambient
VT2018	Blood	PGF	prospective	0.06798210997106026	2.4306413536455316	above_ambient	unmeasurable	unmeasurable
VT2018	Blood	IGF2	prospective			unmeasurable	unmeasurable	unmeasurable
VT2018	Blood	ITGAD	prospective	0.016995527492765065		above_ambient	unmeasurable	unmeasurable
VT2018	Blood	ANGPT2	prospective	0.12905978689818468	8.642280368517447	indistinguishable_from_ambient	unmeasurable	unmeasurable
VT2018	Blood	ANG	prospective	0.4928702972901867	0.07536872414404751	indistinguishable_from_ambient	within_pickup_band	indistinguishable_from_ambient
VT2018	Blood	IL10	prospective	0.08497763746382529	1.350356307580851	indistinguishable_from_ambient	unmeasurable	unmeasurable
