dataset_id	comparison_id	reference_arm	n_null_genes	matching_axis	null_mean_diff_pp	null_sd_diff_pp
VT2018	A_decidua_dNK1_vs_dNK2	dNK1	6374	baseline_detection_rate	0.13415098588928373	2.6173438511799665
VT2018	A_decidua_dNK1_vs_dNK3	dNK1	6433	baseline_detection_rate	0.25071595763135934	4.109537081384707
VT2018	A_decidua_dNK2_vs_dNK3	dNK2	6638	baseline_detection_rate	0.11442194377930073	3.0895867555034986
