dataset_id	donor_id	compartment	subset	depth_floor	n_cells_pre_downsample	n_cells_post_downsample	cells_retained_frac
VT2018	D7	Decidua	cDC1	1782	27	27	1.0
VT2018	D7	Decidua	dNK1	1782	71	71	1.0
VT2018	D7	Decidua	dNK2	1782	86	86	1.0
VT2018	D7	Decidua	dNK3	1782	67	67	1.0
VT2018	D7	Decidua	dNKp	1782	11	11	1.0
VT2018	D7	Decidua	pbNK_CD56dim	1782	6	6	1.0
VT2018	D8	Blood	Granulocyte	1782	25	25	1.0
VT2018	D8	Blood	Myeloid	1782	164	157	0.9573170731707317
VT2018	D8	Blood	Plasma	1782	43	42	0.9767441860465116
VT2018	D8	Blood	T	1782	1137	1127	0.9912049252418645
VT2018	D8	Blood	cDC1	1782	1	1	1.0
VT2018	D8	Blood	dNKp	1782	1	1	1.0
VT2018	D8	Blood	pbNK_CD56bright	1782	65	64	0.9846153846153847
VT2018	D8	Blood	pbNK_CD56dim	1782	337	325	0.9643916913946587
VT2018	D8	Decidua	Endothelial	1782	33	33	1.0
VT2018	D8	Decidua	Epithelial	1782	19	19	1.0
VT2018	D8	Decidua	Granulocyte	1782	11	10	0.9090909090909091
VT2018	D8	Decidua	ILC3	1782	20	18	0.9
VT2018	D8	Decidua	Myeloid	1782	2234	2052	0.918531781557744
VT2018	D8	Decidua	Perivascular	1782	84	84	1.0
VT2018	D8	Decidua	Plasma	1782	16	12	0.75
VT2018	D8	Decidua	Stromal	1782	3038	3037	0.999670836076366
VT2018	D8	Decidua	T	1782	107	95	0.8878504672897196
VT2018	D8	Decidua	Trophoblast	1782	7	7	1.0
VT2018	D8	Decidua	cDC1	1782	116	116	1.0
VT2018	D8	Decidua	dNK1	1782	1236	1179	0.9538834951456311
VT2018	D8	Decidua	dNK2	1782	519	497	0.9576107899807321
VT2018	D8	Decidua	dNK3	1782	172	136	0.7906976744186046
VT2018	D8	Decidua	dNKp	1782	201	201	1.0
VT2018	D8	Decidua	pbNK_CD56bright	1782	1	1	1.0
VT2018	D8	Decidua	pbNK_CD56dim	1782	14	13	0.9285714285714286
VT2018	D8	Placenta	Endothelial	1782	14	14	1.0
VT2018	D8	Placenta	Granulocyte	1782	2	2	1.0
VT2018	D8	Placenta	Hofbauer	1782	170	170	1.0
VT2018	D8	Placenta	Myeloid	1782	253	253	1.0
VT2018	D8	Placenta	Plasma	1782	1	1	1.0
VT2018	D8	Placenta	Stromal	1782	989	989	1.0
VT2018	D8	Placenta	T	1782	1	1	1.0
VT2018	D8	Placenta	Trophoblast	1782	3219	3219	1.0
VT2018	D8	Placenta	dNKp	1782	1	1	1.0
VT2018	D8	Placenta	pbNK_CD56dim	1782	2	2	1.0
VT2018	D9	Blood	Granulocyte	1782	48	48	1.0
VT2018	D9	Blood	Myeloid	1782	449	448	0.9977728285077951
VT2018	D9	Blood	Plasma	1782	90	90	1.0
VT2018	D9	Blood	Stromal	1782	1	1	1.0
VT2018	D9	Blood	T	1782	462	462	1.0
