comparison	gene	effect_pp	z_vs_matched_null	n_donors	all_donors_same_sign	baseline_det_ref	n_nulls	null_rank
dNK1_vs_dNK2	CXCL10	-0.0737583631482233	-0.3294127094986271	6	False	0.007489514679448772	371	254
dNK1_vs_dNK2	CCR9	0.077827896963	0.3118317811925199	6	False	0.0005991611743559018	371	235
dNK1_vs_dNK3	CXCL8	-2.2758311552228263	-0.281571365054433	5	False	0.21959257040143798	371	250
dNK2_vs_dNK3	CCL20	0.6005770620424921	0.26328347318735884	5	False	0.01926550270921132	371	247
dNK1_vs_dNK2	CXCL12	-0.0136995030084483	-0.25765484402669775	6	False	0.002097064110245656	371	267
dNK1_vs_dNK3	ACKR2	-0.0141756032478059	-0.25647585109421056	5	True	0.0035949670461354103	371	246
dNK1_vs_dNK2	CXCL8	-0.9504066047720866	-0.2082432642857565	6	False	0.21959257040143798	371	261
dNK1_vs_dNK2	PPBP	-0.0136836343732883	-0.2011722875849155	6	False	0.0002995805871779509	371	217
dNK1_vs_dNK2	CCL3L1	0.9048133289842314	0.19949879191029554	6	False	0.25704014379868184	371	269
dNK1_vs_dNK2	CCL4	1.3918306186241274	0.19354966062104625	6	False	0.9128220491312163	371	259
dNK2_vs_dNK3	CXCL12	-0.058176168694222	-0.1908519811126794	5	False	0.0010034115994380895	371	244
dNK1_vs_dNK3	CCL2	0.0084068469528479	-0.18590978358502586	5	False	0.06111443978430198	371	284
dNK1_vs_dNK3	CX3CR1	0.0151050664117479	-0.16715929745083757	5	False	0.006590772917914919	371	286
dNK1_vs_dNK3	PPBP	-0.016420361247946	-0.13986663288586415	5	False	0.0002995805871779509	371	176
dNK2_vs_dNK3	CCL4	0.54299406860171	0.134069974654854	5	False	0.9644792293798916	371	293
dNK1_vs_dNK3	CXCL12	0.1785489846576639	0.1275592013489625	5	False	0.002097064110245656	371	335
dNK1_vs_dNK2	CCL2	0.3016630423718601	0.09800015709914976	6	False	0.06111443978430198	371	333
dNK2_vs_dNK3	CCR2	0.0256756192291539	-0.08732129058338063	5	False	0.0012040939193257074	371	351
dNK2_vs_dNK3	CXCL10	0.056360048171986	-0.05204864977537579	5	True	0.0034115994380895043	371	354
dNK2_vs_dNK3	CCL1	-0.0117439812096299	-0.04927739728767256	5	False	0.0006020469596628537	371	317
dNK2_vs_dNK3	CXCL8	0.1638423263863189	0.0450727678519104	5	False	0.16516154926750953	371	359
dNK1_vs_dNK2	CCL1	0.0354659486792333	0.013605167947567089	6	False	0.0005991611743559018	371	367
