dataset_id	donor	compartment	celltype_raw	subset	n_cells_pre_qc	n_cells_post_qc	frac_cells_kept_qc	median_umi	median_genes	median_mito_frac	min_genes_threshold	max_mito_threshold
VT2018	D9	Decidua	dM1	Myeloid	776	776	1.0	5401.5	1522.0	0.0	200	0.1
VT2018	D9	Decidua	dM2	Myeloid	293	293	1.0	3743.0	1413.0	0.0	200	0.1
VT2018	D9	Decidua	dM3	Myeloid	49	49	1.0	9106.0	2329.0	0.0	200	0.1
VT2018	D9	Decidua	dNK p	dNKp	216	216	1.0	10322.0	2771.0	0.0	200	0.1
VT2018	D9	Decidua	dNK1	dNK1	161	161	1.0	4396.0	1448.0	0.0	200	0.1
VT2018	D9	Decidua	dNK2	dNK2	3409	3409	1.0	4122.0	1422.0	0.0	200	0.1
VT2018	D9	Decidua	dNK3	dNK3	446	446	1.0	3250.0	1245.0	0.0	200	0.1
VT2018	D9	Decidua	dP1	Perivascular	338	338	1.0	6967.0	2115.0	0.0	200	0.1
VT2018	D9	Decidua	dP2	Perivascular	482	482	1.0	6236.5	1933.0	0.0	200	0.1
VT2018	D9	Decidua	dS1	Stromal	693	693	1.0	15487.0	3060.0	0.0	200	0.1
VT2018	D9	Decidua	dS2	Stromal	81	81	1.0	14058.0	2955.0	0.0	200	0.1
VT2018	D9	Decidua	dS3	Stromal	338	338	1.0	6959.0	1897.5	0.0	200	0.1
VT2018	D9	Placenta	DC2	Myeloid	5	5	1.0	11027.0	2345.0	0.0	200	0.1
VT2018	D9	Placenta	EVT	Trophoblast	794	794	1.0	38206.5	5170.5	0.0	200	0.1
VT2018	D9	Placenta	Endo (f)	Endothelial	6	6	1.0	10048.0	3003.5	0.0	200	0.1
VT2018	D9	Placenta	Endo (m)	Endothelial	2	2	1.0	8602.5	2853.5	0.0	200	0.1
VT2018	D9	Placenta	Epi2	Epithelial	1	1	1.0	12939.0	3397.0	0.0	200	0.1
VT2018	D9	Placenta	Granulocytes	Granulocyte	27	27	1.0	28960.0	4685.0	0.0	200	0.1
VT2018	D9	Placenta	HB	Hofbauer	148	148	1.0	13436.5	3100.0	0.0	200	0.1
VT2018	D9	Placenta	ILC3	ILC3	1	1	1.0	8412.0	2259.0	0.0	200	0.1
VT2018	D9	Placenta	MO	Myeloid	9	9	1.0	9882.0	2201.0	0.0	200	0.1
VT2018	D9	Placenta	Plasma	Plasma	2	2	1.0	26159.5	3614.0	0.0	200	0.1
VT2018	D9	Placenta	SCT	Trophoblast	72	72	1.0	21392.5	4048.0	0.0	200	0.1
VT2018	D9	Placenta	Tcells	T	2	2	1.0	17698.5	2950.5	0.0	200	0.1
VT2018	D9	Placenta	VCT	Trophoblast	252	252	1.0	17831.5	4154.5	0.0	200	0.1
VT2018	D9	Placenta	dM1	Myeloid	20	20	1.0	10192.5	2419.5	0.0	200	0.1
VT2018	D9	Placenta	dM2	Myeloid	7	7	1.0	9715.0	2758.0	0.0	200	0.1
VT2018	D9	Placenta	dM3	Myeloid	193	193	1.0	16206.0	3285.0	0.0	200	0.1
VT2018	D9	Placenta	dNK1	dNK1	4	4	1.0	11097.0	2625.0	0.0	200	0.1
VT2018	D9	Placenta	dNK2	dNK2	1	1	1.0	7341.0	2176.0	0.0	200	0.1
VT2018	D9	Placenta	fFB1	Stromal	123	123	1.0	13333.0	3630.0	0.0	200	0.1
