dataset_id	donor	compartment	celltype_raw	subset	n_cells_pre_qc	n_cells_post_qc	frac_cells_kept_qc	median_umi	median_genes	median_mito_frac	min_genes_threshold	max_mito_threshold
VT2018	D12	Decidua	Endo (m)	Endothelial	14	14	1.0	6109.0	2051.5	0.0	200	0.1
VT2018	D12	Decidua	Endo L	Endothelial	36	36	1.0	7750.5	2261.0	0.0	200	0.1
VT2018	D12	Decidua	Epi1	Epithelial	4	4	1.0	3766.5	1427.0	0.0	200	0.1
VT2018	D12	Decidua	Epi2	Epithelial	14	14	1.0	5518.5	2003.0	0.0	200	0.1
VT2018	D12	Decidua	Granulocytes	Granulocyte	8	8	1.0	2326.5	834.5	0.0	200	0.1
VT2018	D12	Decidua	ILC3	ILC3	46	46	1.0	1737.5	707.5	0.0	200	0.1
VT2018	D12	Decidua	MO	Myeloid	3	3	1.0	1703.0	629.0	0.0	200	0.1
VT2018	D12	Decidua	NK CD16+	pbNK_CD56dim	1	1	1.0	1440.0	617.0	0.0	200	0.1
VT2018	D12	Decidua	NK CD16-	pbNK_CD56bright	2	2	1.0	1388.5	578.0	0.0	200	0.1
VT2018	D12	Decidua	Plasma	Plasma	52	52	1.0	1985.0	737.5	0.0	200	0.1
VT2018	D12	Decidua	SCT	Trophoblast	4	4	1.0	10143.0	2270.5	0.0	200	0.1
VT2018	D12	Decidua	Tcells	T	232	232	1.0	1817.5	660.0	0.0	200	0.1
VT2018	D12	Decidua	VCT	Trophoblast	2	2	1.0	1612.5	704.0	0.0	200	0.1
VT2018	D12	Decidua	dM1	Myeloid	423	423	1.0	2206.0	778.0	0.0	200	0.1
VT2018	D12	Decidua	dM2	Myeloid	190	190	1.0	1566.5	707.0	0.0	200	0.1
VT2018	D12	Decidua	dM3	Myeloid	4	4	1.0	5119.0	1248.0	0.0	200	0.1
VT2018	D12	Decidua	dNK p	dNKp	73	73	1.0	3617.0	1192.0	0.0	200	0.1
VT2018	D12	Decidua	dNK1	dNK1	141	141	1.0	2253.0	798.0	0.0	200	0.1
VT2018	D12	Decidua	dNK2	dNK2	386	386	1.0	1760.0	681.0	0.0	200	0.1
VT2018	D12	Decidua	dNK3	dNK3	29	29	1.0	1872.0	767.0	0.0	200	0.1
VT2018	D12	Decidua	dP1	Perivascular	8	8	1.0	7504.5	2075.5	0.0	200	0.1
VT2018	D12	Decidua	dP2	Perivascular	12	12	1.0	8227.0	2246.0	0.0	200	0.1
VT2018	D12	Decidua	dS1	Stromal	1620	1620	1.0	15708.0	2896.0	0.0	200	0.1
VT2018	D12	Decidua	dS2	Stromal	104	104	1.0	18291.5	3307.5	0.0	200	0.1
VT2018	D12	Decidua	dS3	Stromal	12	12	1.0	16981.0	3005.5	0.0	200	0.1
VT2018	D12	Placenta	DC2	Myeloid	1	1	1.0	8779.0	2005.0	0.0	200	0.1
VT2018	D12	Placenta	EVT	Trophoblast	210	210	1.0	34538.0	4500.5	0.0	200	0.1
VT2018	D12	Placenta	Endo (f)	Endothelial	38	38	1.0	9075.5	2765.0	0.0	200	0.1
VT2018	D12	Placenta	Endo (m)	Endothelial	44	44	1.0	9925.0	2915.0	0.0	200	0.1
VT2018	D12	Placenta	Endo L	Endothelial	4	4	1.0	6498.5	2203.0	0.0	200	0.1
VT2018	D12	Placenta	Epi1	Epithelial	1	1	1.0	4540.0	1614.0	0.0	200	0.1
VT2018	D12	Placenta	Epi2	Epithelial	33	33	1.0	12099.0	3339.0	0.0	200	0.1
VT2018	D12	Placenta	Granulocytes	Granulocyte	2	2	1.0	9099.0	2074.5	0.0	200	0.1
VT2018	D12	Placenta	HB	Hofbauer	219	219	1.0	10084.0	2394.0	0.0	200	0.1
VT2018	D12	Placenta	MO	Myeloid	2	2	1.0	5718.0	1593.0	0.0	200	0.1
VT2018	D12	Placenta	Plasma	Plasma	2	2	1.0	18843.0	1765.5	0.0	200	0.1
VT2018	D12	Placenta	SCT	Trophoblast	147	147	1.0	12802.0	2761.0	0.0	200	0.1
VT2018	D12	Placenta	VCT	Trophoblast	855	855	1.0	15526.0	3505.0	0.0	200	0.1
VT2018	D12	Placenta	dM1	Myeloid	27	27	1.0	6382.0	1636.0	0.0	200	0.1
VT2018	D12	Placenta	dM2	Myeloid	3	3	1.0	6594.0	1716.0	0.0	200	0.1
VT2018	D12	Placenta	dM3	Myeloid	157	157	1.0	16146.0	3063.0	0.0	200	0.1
VT2018	D12	Placenta	dS1	Stromal	2	2	1.0	19157.0	3618.5	0.0	200	0.1
VT2018	D12	Placenta	dS2	Stromal	1	1	1.0	26846.0	4988.0	0.0	200	0.1
VT2018	D12	Placenta	fFB1	Stromal	453	453	1.0	8423.0	2517.0	0.0	200	0.1
VT2018	D12	Placenta	fFB2	Stromal	46	46	1.0	7925.5	2428.5	0.0	200	0.1
VT2018	D6	Blood	DC1	cDC1	3	3	1.0	13291.0	3031.0	0.0	200	0.1
VT2018	D6	Blood	DC2	Myeloid	77	77	1.0	9839.0	2576.0	0.0	200	0.1
VT2018	D6	Blood	Granulocytes	Granulocyte	17	17	1.0	8277.0	2565.0	0.0	200	0.1
VT2018	D6	Blood	ILC3	ILC3	1	1	1.0	2147.0	981.0	0.0	200	0.1
VT2018	D6	Blood	MO	Myeloid	393	393	1.0	4252.0	1474.0	0.0	200	0.1
VT2018	D6	Blood	NK CD16+	pbNK_CD56dim	569	569	1.0	2494.0	1143.0	0.0	200	0.1
VT2018	D6	Blood	NK CD16-	pbNK_CD56bright	20	20	1.0	1870.5	890.5	0.0	200	0.1
VT2018	D6	Blood	Plasma	Plasma	51	51	1.0	3096.0	842.0	0.0	200	0.1
VT2018	D6	Blood	Tcells	T	1053	1053	1.0	3226.0	1181.0	0.0	200	0.1
VT2018	D6	Blood	dM1	Myeloid	3	3	1.0	2460.0	867.0	0.0	200	0.1
VT2018	D6	Blood	dNK2	dNK2	1	1	1.0	1068.0	509.0	0.0	200	0.1
VT2018	D6	Decidua	DC1	cDC1	34	34	1.0	14508.0	2657.5	0.0	200	0.1
VT2018	D6	Decidua	EVT	Trophoblast	20	20	1.0	5229.5	1806.5	0.0	200	0.1
VT2018	D6	Decidua	Endo (f)	Endothelial	9	9	1.0	6462.0	2245.0	0.0	200	0.1
VT2018	D6	Decidua	Endo (m)	Endothelial	382	382	1.0	6212.5	2265.5	0.0	200	0.1
VT2018	D6	Decidua	Endo L	Endothelial	39	39	1.0	6914.0	2417.0	0.0	200	0.1
VT2018	D6	Decidua	Epi1	Epithelial	9	9	1.0	3290.0	1367.0	0.0	200	0.1
VT2018	D6	Decidua	Epi2	Epithelial	63	63	1.0	5708.0	2053.0	0.0	200	0.1
VT2018	D6	Decidua	Granulocytes	Granulocyte	48	48	1.0	3080.5	1099.0	0.0	200	0.1
VT2018	D6	Decidua	HB	Hofbauer	1	1	1.0	2955.0	1181.0	0.0	200	0.1
VT2018	D6	Decidua	ILC3	ILC3	40	40	1.0	4578.5	1646.5	0.0	200	0.1
VT2018	D6	Decidua	MO	Myeloid	1	1	1.0	1784.0	864.0	0.0	200	0.1
VT2018	D6	Decidua	NK CD16+	pbNK_CD56dim	41	41	1.0	3392.0	1328.0	0.0	200	0.1
VT2018	D6	Decidua	Plasma	Plasma	4	4	1.0	3174.0	1369.5	0.0	200	0.1
VT2018	D6	Decidua	SCT	Trophoblast	2	2	1.0	19900.0	3241.5	0.0	200	0.1
VT2018	D6	Decidua	Tcells	T	540	540	1.0	3971.5	1379.0	0.0	200	0.1
VT2018	D6	Decidua	VCT	Trophoblast	6	6	1.0	20079.5	4458.0	0.0	200	0.1
VT2018	D6	Decidua	dM1	Myeloid	460	460	1.0	5950.0	1774.5	0.0	200	0.1
VT2018	D6	Decidua	dM2	Myeloid	100	100	1.0	4961.0	1715.5	0.0	200	0.1
VT2018	D6	Decidua	dM3	Myeloid	26	26	1.0	6846.0	1807.5	0.0	200	0.1
VT2018	D6	Decidua	dNK p	dNKp	49	49	1.0	10723.0	2986.0	0.0	200	0.1
VT2018	D6	Decidua	dNK1	dNK1	1388	1388	1.0	4605.5	1563.5	0.0	200	0.1
VT2018	D6	Decidua	dNK2	dNK2	634	634	1.0	3785.5	1382.5	0.0	200	0.1
VT2018	D6	Decidua	dNK3	dNK3	1227	1227	1.0	3789.0	1376.0	0.0	200	0.1
VT2018	D6	Decidua	dP1	Perivascular	580	580	1.0	7486.0	2361.5	0.0	200	0.1
VT2018	D6	Decidua	dP2	Perivascular	126	126	1.0	5647.0	1988.5	0.0	200	0.1
VT2018	D6	Decidua	dS1	Stromal	32	32	1.0	15702.0	3363.5	0.0	200	0.1
VT2018	D6	Decidua	dS2	Stromal	144	144	1.0	10948.0	2970.0	0.0	200	0.1
VT2018	D6	Decidua	dS3	Stromal	144	144	1.0	6016.0	1843.5	0.0	200	0.1
VT2018	D6	Decidua	fFB1	Stromal	1	1	1.0	9009.0	3002.0	0.0	200	0.1
VT2018	D6	Decidua	fFB2	Stromal	2	2	1.0	19517.0	4157.5	0.0	200	0.1
VT2018	D7	Blood	DC2	Myeloid	2	2	1.0	10017.0	2429.0	0.0	200	0.1
VT2018	D7	Blood	Granulocytes	Granulocyte	5	5	1.0	4224.0	1219.0	0.0	200	0.1
VT2018	D7	Blood	MO	Myeloid	31	31	1.0	3167.0	1330.0	0.0	200	0.1
VT2018	D7	Blood	NK CD16+	pbNK_CD56dim	107	107	1.0	1600.0	840.0	0.0	200	0.1
VT2018	D7	Blood	NK CD16-	pbNK_CD56bright	3	3	1.0	5362.0	1656.0	0.0	200	0.1
VT2018	D7	Blood	Plasma	Plasma	6	6	1.0	12329.0	3041.5	0.0	200	0.1
VT2018	D7	Blood	Tcells	T	115	115	1.0	2963.0	920.0	0.0	200	0.1
VT2018	D7	Blood	dM1	Myeloid	2	2	1.0	2187.5	766.5	0.0	200	0.1
VT2018	D7	Decidua	DC1	cDC1	30	30	1.0	10478.5	2708.5	0.0	200	0.1
VT2018	D7	Decidua	EVT	Trophoblast	21	21	1.0	4659.0	1345.0	0.0	200	0.1
VT2018	D7	Decidua	Endo (m)	Endothelial	158	158	1.0	5633.5	2014.5	0.0	200	0.1
VT2018	D7	Decidua	Endo L	Endothelial	178	178	1.0	5344.0	2019.5	0.0	200	0.1
VT2018	D7	Decidua	Epi1	Epithelial	66	66	1.0	4966.5	1737.0	0.0	200	0.1
VT2018	D7	Decidua	Epi2	Epithelial	29	29	1.0	5507.0	2229.0	0.0	200	0.1
VT2018	D7	Decidua	Granulocytes	Granulocyte	2	2	1.0	3254.5	1318.5	0.0	200	0.1
