dataset_id	comparison_id	reference_arm	gene	observed_diff_pp	baseline_detection_ref_arm	null_mean_diff_pp	null_sd_diff_pp	n_null_genes	null_set_is_matched	empirical_z	n_null_at_least_as_extreme	rank_of_observed	fdr_estimable	fdr_not_estimable_reason
VT2018	A_decidua_dNK1_vs_dNK2	dNK1	CXCR4	5.996655697195744	0.17585380467345715	0.2670706742584067	4.070245030282626	371	True	1.4076757001873894	46	47	False	pass count is a function of null-set size, not of effect size, at this n; see PREREGISTRATION_v1.3.md
VT2018	A_decidua_dNK1_vs_dNK2	dNK1	CXCR6	-0.0502246309970383	0.0029958058717795086	0.07396360839136919	0.3571807217227148	371	True	-0.3476902078853428	242	243	False	pass count is a function of null-set size, not of effect size, at this n; see PREREGISTRATION_v1.3.md
VT2018	A_decidua_dNK1_vs_dNK2	dNK1	CX3CR1	-0.158019464147195	0.006590772917914919	0.11837917601179265	0.45501128949456293	371	True	-0.6074544666045927	176	177	False	pass count is a function of null-set size, not of effect size, at this n; see PREREGISTRATION_v1.3.md
VT2018	A_decidua_dNK1_vs_dNK2	dNK1	S1PR1	-0.1056030730867882	0.0026962252846015576	0.08773664071967183	0.3237155081110457	371	True	-0.5972519356105045	167	168	False	pass count is a function of null-set size, not of effect size, at this n; see PREREGISTRATION_v1.3.md
VT2018	A_decidua_dNK1_vs_dNK2	dNK1	S1PR5	-0.0166781694593316	0.0005991611743559018	0.03290087776497544	0.13616352368516876	371	True	-0.3641140144033104	193	194	False	pass count is a function of null-set size, not of effect size, at this n; see PREREGISTRATION_v1.3.md
VT2018	A_decidua_dNK1_vs_dNK2	dNK1	SELL	4.847046115004242	0.005392450569203115	0.11655281977885842	0.4485630837542036	371	True	10.545881876042932	0	1	False	pass count is a function of null-set size, not of effect size, at this n; see PREREGISTRATION_v1.3.md
VT2018	A_decidua_dNK1_vs_dNK2	dNK1	ACKR2	0.2569687918770734	0.0035949670461354103	0.09109916720108381	0.35922534614600654	371	True	0.4617425425447907	225	226	False	pass count is a function of null-set size, not of effect size, at this n; see PREREGISTRATION_v1.3.md
VT2018	A_decidua_dNK1_vs_dNK3	dNK1	CCL2	0.0084068469528479	0.06111443978430198	0.5681170866899277	3.0106551088587343	371	True	-0.18590978358502586	283	284	False	pass count is a function of null-set size, not of effect size, at this n; see PREREGISTRATION_v1.3.md
VT2018	A_decidua_dNK1_vs_dNK3	dNK1	CCL3	8.789999416142852	0.8235470341521869	-0.32975742286584686	9.402088345115809	371	True	0.9699714046769432	75	76	False	pass count is a function of null-set size, not of effect size, at this n; see PREREGISTRATION_v1.3.md
VT2018	A_decidua_dNK1_vs_dNK3	dNK1	CCL4	2.921659067255247	0.9128220491312163	-0.01749562400818767	8.635978776142014	371	True	0.3403383411945409	223	224	False	pass count is a function of null-set size, not of effect size, at this n; see PREREGISTRATION_v1.3.md
VT2018	A_decidua_dNK1_vs_dNK3	dNK1	CCL5	57.284618046325406	0.4128220491312163	0.15477709282914218	8.495802474768233	371	True	6.724478484894951	0	1	False	pass count is a function of null-set size, not of effect size, at this n; see PREREGISTRATION_v1.3.md
VT2018	A_decidua_dNK1_vs_dNK3	dNK1	CCL20	-2.651833260232938	0.02756141402037148	0.5197765425916722	2.4009476038617557	371	True	-1.3209825144552505	20	21	False	pass count is a function of null-set size, not of effect size, at this n; see PREREGISTRATION_v1.3.md
VT2018	A_decidua_dNK1_vs_dNK3	dNK1	XCL1	31.21552248717916	0.4047333732774116	-0.055753105338752815	7.642278438808377	371	True	4.091878599151628	1	2	False	pass count is a function of null-set size, not of effect size, at this n; see PREREGISTRATION_v1.3.md
VT2018	A_decidua_dNK1_vs_dNK3	dNK1	XCL2	22.95276109997729	0.5829838226482924	0.10330736142909494	8.296005067400372	371	True	2.7542719119515047	8	9	False	pass count is a function of null-set size, not of effect size, at this n; see PREREGISTRATION_v1.3.md
VT2018	A_decidua_dNK1_vs_dNK3	dNK1	CXCL8	-2.2758311552228263	0.21959257040143798	-0.18319670403670682	7.43198602876956	371	True	-0.281571365054433	249	250	False	pass count is a function of null-set size, not of effect size, at this n; see PREREGISTRATION_v1.3.md
VT2018	A_decidua_dNK1_vs_dNK3	dNK1	CXCL10	-0.244101709713624	0.007489514679448772	0.183596672827227	0.8149852919761545	371	True	-0.5247927622151063	175	176	False	pass count is a function of null-set size, not of effect size, at this n; see PREREGISTRATION_v1.3.md
VT2018	A_decidua_dNK1_vs_dNK3	dNK1	CXCL12	0.1785489846576639	0.002097064110245656	0.11851449627422052	0.4706402027338474	371	True	0.1275592013489625	334	335	False	pass count is a function of null-set size, not of effect size, at this n; see PREREGISTRATION_v1.3.md
VT2018	A_decidua_dNK1_vs_dNK3	dNK1	CXCL16	-0.8054188082006719	0.018573996405032954	0.36589415030396466	1.3808392874094282	371	True	-0.8482616110250738	112	113	False	pass count is a function of null-set size, not of effect size, at this n; see PREREGISTRATION_v1.3.md
VT2018	A_decidua_dNK1_vs_dNK3	dNK1	CCL1	-0.124223602484472	0.0005991611743559018	0.03036842808196941	0.21697079157628407	371	True	-0.7125015742595422	101	102	False	pass count is a function of null-set size, not of effect size, at this n; see PREREGISTRATION_v1.3.md
VT2018	A_decidua_dNK1_vs_dNK3	dNK1	CCL3L1	6.971870349478391	0.25704014379868184	0.1843499495584385	6.819217014184814	371	True	0.9953518689610656	81	82	False	pass count is a function of null-set size, not of effect size, at this n; see PREREGISTRATION_v1.3.md
VT2018	A_decidua_dNK1_vs_dNK3	dNK1	CCL4L2	11.33329221433201	0.3957459556620731	0.5696582612720722	8.065466355023732	371	True	1.3345333647515123	52	53	False	pass count is a function of null-set size, not of effect size, at this n; see PREREGISTRATION_v1.3.md
VT2018	A_decidua_dNK1_vs_dNK3	dNK1	PPBP	-0.016420361247946	0.0002995805871779509	0.04494398183524834	0.4387346847283418	371	True	-0.13986663288586415	175	176	False	pass count is a function of null-set size, not of effect size, at this n; see PREREGISTRATION_v1.3.md
VT2018	A_decidua_dNK1_vs_dNK3	dNK1	CCR1	1.661485219338808	0.04883163571000599	0.5340771980459262	2.1168376067546064	371	True	0.5325906993032632	189	190	False	pass count is a function of null-set size, not of effect size, at this n; see PREREGISTRATION_v1.3.md
VT2018	A_decidua_dNK1_vs_dNK3	dNK1	CCR2	0.3771358394124059	0.0005991611743559018	0.00939668978579755	0.21132490728737288	371	True	1.7401599950853572	22	23	False	pass count is a function of null-set size, not of effect size, at this n; see PREREGISTRATION_v1.3.md
VT2018	A_decidua_dNK1_vs_dNK3	dNK1	CCR5	1.24873808101189	0.0038945476333133613	0.21525129106925966	0.8557813232185136	371	True	1.207652892044644	19	20	False	pass count is a function of null-set size, not of effect size, at this n; see PREREGISTRATION_v1.3.md
VT2018	A_decidua_dNK1_vs_dNK3	dNK1	CCR9	1.134865681025364	0.0005991611743559018	0.032028076960911624	0.2676419749087552	371	True	4.1205704166561805	4	5	False	pass count is a function of null-set size, not of effect size, at this n; see PREREGISTRATION_v1.3.md
VT2018	A_decidua_dNK1_vs_dNK3	dNK1	CXCR3	3.461064308257068	0.15218693828639904	0.9583442192414618	6.176656086275603	371	True	0.40519013104462726	199	200	False	pass count is a function of null-set size, not of effect size, at this n; see PREREGISTRATION_v1.3.md
VT2018	A_decidua_dNK1_vs_dNK3	dNK1	CXCR4	57.8888515094416	0.17585380467345715	0.7766017353985343	7.168128718584478	371	True	7.967525698299858	0	1	False	pass count is a function of null-set size, not of effect size, at this n; see PREREGISTRATION_v1.3.md
VT2018	A_decidua_dNK1_vs_dNK3	dNK1	CXCR6	2.6318257958354776	0.0029958058717795086	0.1275376163880565	0.5781452240258343	371	True	4.331590187685296	3	4	False	pass count is a function of null-set size, not of effect size, at this n; see PREREGISTRATION_v1.3.md
VT2018	A_decidua_dNK1_vs_dNK3	dNK1	CX3CR1	0.0151050664117479	0.006590772917914919	0.2523916434555152	1.419523655951919	371	True	-0.16715929745083757	285	286	False	pass count is a function of null-set size, not of effect size, at this n; see PREREGISTRATION_v1.3.md
VT2018	A_decidua_dNK1_vs_dNK3	dNK1	S1PR1	-0.786477396478658	0.0026962252846015576	0.14582560125223684	0.7269788447497009	371	True	-1.2824348390108755	21	22	False	pass count is a function of null-set size, not of effect size, at this n; see PREREGISTRATION_v1.3.md
VT2018	A_decidua_dNK1_vs_dNK3	dNK1	S1PR5	1.51373514164593	0.0005991611743559018	0.03387791280365572	0.2546091636296707	371	True	5.812270099573982	1	2	False	pass count is a function of null-set size, not of effect size, at this n; see PREREGISTRATION_v1.3.md
VT2018	A_decidua_dNK1_vs_dNK3	dNK1	SELL	2.530139977558436	0.005392450569203115	0.3072035833902935	1.160717426034236	371	True	1.9151400197058603	12	13	False	pass count is a function of null-set size, not of effect size, at this n; see PREREGISTRATION_v1.3.md
VT2018	A_decidua_dNK1_vs_dNK3	dNK1	ACKR2	-0.0141756032478059	0.0035949670461354103	0.1967121811043125	0.8222520110661551	371	True	-0.25647585109421056	245	246	False	pass count is a function of null-set size, not of effect size, at this n; see PREREGISTRATION_v1.3.md
VT2018	A_decidua_dNK2_vs_dNK3	dNK2	CCL2	-0.3634013836205941	0.03190848886213125	0.20489018413209026	1.6222906993763428	371	True	-0.35030193292185713	256	257	False	pass count is a function of null-set size, not of effect size, at this n; see PREREGISTRATION_v1.3.md
VT2018	A_decidua_dNK2_vs_dNK3	dNK2	CCL3	10.146406564441149	0.7553682520569938	-0.31751667865678557	6.557060890490484	371	True	1.5958252360098502	39	40	False	pass count is a function of null-set size, not of effect size, at this n; see PREREGISTRATION_v1.3.md
VT2018	A_decidua_dNK2_vs_dNK3	dNK2	CCL4	0.54299406860171	0.9644792293798916	-0.3880195934339649	6.944236876544881	371	True	0.134069974654854	292	293	False	pass count is a function of null-set size, not of effect size, at this n; see PREREGISTRATION_v1.3.md
VT2018	A_decidua_dNK2_vs_dNK3	dNK2	CCL5	35.51825650271392	0.4830423439694963	0.28786727579984706	6.157856415156549	371	True	5.721209923018061	0	1	False	pass count is a function of null-set size, not of effect size, at this n; see PREREGISTRATION_v1.3.md
VT2018	A_decidua_dNK2_vs_dNK3	dNK2	CCL20	0.6005770620424921	0.01926550270921132	0.2019156373455407	1.5141908448361068	371	True	0.26328347318735884	246	247	False	pass count is a function of null-set size, not of effect size, at this n; see PREREGISTRATION_v1.3.md
VT2018	A_decidua_dNK2_vs_dNK3	dNK2	XCL1	-4.957465887715091	0.9488260084286574	-0.08623224150407012	6.304530133325223	371	True	-0.7726560969963621	115	116	False	pass count is a function of null-set size, not of effect size, at this n; see PREREGISTRATION_v1.3.md
VT2018	A_decidua_dNK2_vs_dNK3	dNK2	XCL2	-5.163127610329015	0.9610676299418022	0.5851636492961412	6.410914671580346	371	True	-0.896641361506088	90	91	False	pass count is a function of null-set size, not of effect size, at this n; see PREREGISTRATION_v1.3.md
