dataset_id	compartment	subset	gene	detection_rate	n_cells
VT2018	Blood	pbNK_CD56bright	EOMES	0.16363636363636364	220
VT2018	Blood	pbNK_CD56bright	TBX21	0.19545454545454546	220
VT2018	Blood	pbNK_CD56bright	MKI67	0.004545454545454545	220
VT2018	Blood	pbNK_CD56dim	ENTPD1	0.011021307861866276	1361
VT2018	Blood	pbNK_CD56dim	ITGAE	0.1594415870683321	1361
VT2018	Blood	pbNK_CD56dim	ITGB2	0.9235855988243938	1361
VT2018	Blood	pbNK_CD56dim	CD160	0.46436443791329907	1361
VT2018	Blood	pbNK_CD56dim	KLRB1	0.925789860396767	1361
VT2018	Blood	pbNK_CD56dim	ITGA1	0.005878030859662013	1361
VT2018	Blood	pbNK_CD56dim	CD9	0.0073475385745775165	1361
VT2018	Blood	pbNK_CD56dim	EOMES	0.11829537105069801	1361
VT2018	Blood	pbNK_CD56dim	TBX21	0.38207200587803086	1361
VT2018	Blood	pbNK_CD56dim	MKI67	0.0073475385745775165	1361
VT2018	Decidua	Endothelial	ENTPD1	0.4482456140350877	1140
VT2018	Decidua	Endothelial	ITGAE	0.2482456140350877	1140
VT2018	Decidua	Endothelial	ITGB2	0.007894736842105263	1140
VT2018	Decidua	Endothelial	CD160	0.0035087719298245615	1140
VT2018	Decidua	Endothelial	KLRB1	0.017543859649122806	1140
VT2018	Decidua	Endothelial	ITGA1	0.27017543859649124	1140
VT2018	Decidua	Endothelial	CD9	0.6824561403508772	1140
VT2018	Decidua	Endothelial	EOMES	0.0008771929824561404	1140
VT2018	Decidua	Endothelial	TBX21	0.0	1140
VT2018	Decidua	Endothelial	MKI67	0.007017543859649123	1140
VT2018	Decidua	Epithelial	ENTPD1	0.02	350
VT2018	Decidua	Epithelial	ITGAE	0.3514285714285714	350
VT2018	Decidua	Epithelial	ITGB2	0.022857142857142857	350
VT2018	Decidua	Epithelial	CD160	0.002857142857142857	350
VT2018	Decidua	Epithelial	KLRB1	0.02	350
VT2018	Decidua	Epithelial	ITGA1	0.02857142857142857	350
VT2018	Decidua	Epithelial	CD9	0.8314285714285714	350
VT2018	Decidua	Epithelial	EOMES	0.005714285714285714	350
VT2018	Decidua	Epithelial	TBX21	0.0	350
VT2018	Decidua	Epithelial	MKI67	0.008571428571428572	350
VT2018	Decidua	Granulocyte	ENTPD1	0.052083333333333336	96
VT2018	Decidua	Granulocyte	ITGAE	0.1875	96
VT2018	Decidua	Granulocyte	ITGB2	0.20833333333333334	96
VT2018	Decidua	Granulocyte	CD160	0.010416666666666666	96
VT2018	Decidua	Granulocyte	KLRB1	0.3541666666666667	96
VT2018	Decidua	Granulocyte	ITGA1	0.041666666666666664	96
VT2018	Decidua	Granulocyte	CD9	0.6875	96
VT2018	Decidua	Granulocyte	EOMES	0.010416666666666666	96
VT2018	Decidua	Granulocyte	TBX21	0.020833333333333332	96
VT2018	Decidua	Granulocyte	MKI67	0.11458333333333333	96
VT2018	Decidua	Hofbauer	ENTPD1	1.0	2
VT2018	Decidua	Hofbauer	ITGAE	0.0	2
VT2018	Decidua	Hofbauer	ITGB2	1.0	2
VT2018	Decidua	Hofbauer	CD160	0.0	2
VT2018	Decidua	Hofbauer	KLRB1	0.5	2
VT2018	Decidua	Hofbauer	ITGA1	0.0	2
VT2018	Decidua	Hofbauer	CD9	0.5	2
VT2018	Decidua	Hofbauer	EOMES	0.0	2
VT2018	Decidua	Hofbauer	TBX21	0.0	2
VT2018	Decidua	Hofbauer	MKI67	0.0	2
VT2018	Decidua	ILC3	ENTPD1	0.06521739130434782	184
VT2018	Decidua	ILC3	ITGAE	0.1793478260869565	184
VT2018	Decidua	ILC3	ITGB2	0.30434782608695654	184
VT2018	Decidua	ILC3	CD160	0.02717391304347826	184
VT2018	Decidua	ILC3	KLRB1	0.9402173913043478	184
VT2018	Decidua	ILC3	ITGA1	0.02717391304347826	184
VT2018	Decidua	ILC3	CD9	0.11956521739130435	184
VT2018	Decidua	ILC3	EOMES	0.04891304347826087	184
VT2018	Decidua	ILC3	TBX21	0.010869565217391304	184
VT2018	Decidua	ILC3	MKI67	0.02717391304347826	184
VT2018	Decidua	Myeloid	ENTPD1	0.22567441860465115	5375
VT2018	Decidua	Myeloid	ITGAE	0.1198139534883721	5375
VT2018	Decidua	Myeloid	ITGB2	0.7240930232558139	5375
VT2018	Decidua	Myeloid	CD160	0.011534883720930233	5375
VT2018	Decidua	Myeloid	KLRB1	0.2373953488372093	5375
VT2018	Decidua	Myeloid	ITGA1	0.04241860465116279	5375
VT2018	Decidua	Myeloid	CD9	0.47386046511627905	5375
VT2018	Decidua	Myeloid	EOMES	0.04167441860465116	5375
VT2018	Decidua	Myeloid	TBX21	0.008744186046511627	5375
VT2018	Decidua	Myeloid	MKI67	0.03813953488372093	5375
VT2018	Decidua	Perivascular	ENTPD1	0.0544069640914037	1838
VT2018	Decidua	Perivascular	ITGAE	0.2383025027203482	1838
VT2018	Decidua	Perivascular	ITGB2	0.002176278563656148	1838
VT2018	Decidua	Perivascular	CD160	0.000544069640914037	1838
VT2018	Decidua	Perivascular	KLRB1	0.009793253536452665	1838
VT2018	Decidua	Perivascular	ITGA1	0.5625680087051143	1838
VT2018	Decidua	Perivascular	CD9	0.44069640914036995	1838
VT2018	Decidua	Perivascular	EOMES	0.001632208922742111	1838
VT2018	Decidua	Perivascular	TBX21	0.000544069640914037	1838
VT2018	Decidua	Perivascular	MKI67	0.011425462459194777	1838
VT2018	Decidua	Plasma	ENTPD1	0.05223880597014925	134
VT2018	Decidua	Plasma	ITGAE	0.1865671641791045	134
VT2018	Decidua	Plasma	ITGB2	0.2835820895522388	134
VT2018	Decidua	Plasma	CD160	0.0	134
VT2018	Decidua	Plasma	KLRB1	0.20149253731343283	134
VT2018	Decidua	Plasma	ITGA1	0.0	134
VT2018	Decidua	Plasma	CD9	0.09701492537313433	134
VT2018	Decidua	Plasma	EOMES	0.022388059701492536	134
VT2018	Decidua	Plasma	TBX21	0.014925373134328358	134
VT2018	Decidua	Plasma	MKI67	0.029850746268656716	134
VT2018	Decidua	Stromal	ENTPD1	0.021060160534053882	12583
VT2018	Decidua	Stromal	ITGAE	0.3813875864261305	12583
VT2018	Decidua	Stromal	ITGB2	0.0067551458316776605	12583
VT2018	Decidua	Stromal	CD160	0.001271556862433442	12583
VT2018	Decidua	Stromal	KLRB1	0.012000317889215609	12583
VT2018	Decidua	Stromal	ITGA1	0.09441309703568307	12583
VT2018	Decidua	Stromal	CD9	0.05022649606612096	12583
VT2018	Decidua	Stromal	EOMES	0.0027815306365731544	12583
VT2018	Decidua	Stromal	TBX21	0.0003178892156083605	12583
VT2018	Decidua	Stromal	MKI67	0.0029404752443773345	12583
VT2018	Decidua	T	ENTPD1	0.0752571737953438	1847
VT2018	Decidua	T	ITGAE	0.14834867352463454	1847
VT2018	Decidua	T	ITGB2	0.6215484569572279	1847
VT2018	Decidua	T	CD160	0.05576610720086627	1847
VT2018	Decidua	T	KLRB1	0.6394152680021656	1847
VT2018	Decidua	T	ITGA1	0.08337845154304277	1847
VT2018	Decidua	T	CD9	0.1261505143475907	1847
VT2018	Decidua	T	EOMES	0.08337845154304277	1847
VT2018	Decidua	T	TBX21	0.09745533297238766	1847
VT2018	Decidua	T	MKI67	0.04547915538711424	1847
VT2018	Decidua	Trophoblast	ENTPD1	0.1830065359477124	306
VT2018	Decidua	Trophoblast	ITGAE	0.34967320261437906	306
VT2018	Decidua	Trophoblast	ITGB2	0.032679738562091505	306
VT2018	Decidua	Trophoblast	CD160	0.006535947712418301	306
VT2018	Decidua	Trophoblast	KLRB1	0.0457516339869281	306
VT2018	Decidua	Trophoblast	ITGA1	0.5751633986928104	306
VT2018	Decidua	Trophoblast	CD9	0.8104575163398693	306
VT2018	Decidua	Trophoblast	EOMES	0.016339869281045753	306
VT2018	Decidua	Trophoblast	TBX21	0.0	306
VT2018	Decidua	Trophoblast	MKI67	0.1437908496732026	306
VT2018	Decidua	cDC1	ENTPD1	0.46774193548387094	310
VT2018	Decidua	cDC1	ITGAE	0.1967741935483871	310
VT2018	Decidua	cDC1	ITGB2	0.8483870967741935	310
VT2018	Decidua	cDC1	CD160	0.03225806451612903	310
VT2018	Decidua	cDC1	KLRB1	0.35161290322580646	310
VT2018	Decidua	cDC1	ITGA1	0.05806451612903226	310
VT2018	Decidua	cDC1	CD9	0.24838709677419354	310
VT2018	Decidua	cDC1	EOMES	0.03870967741935484	310
VT2018	Decidua	cDC1	TBX21	0.01935483870967742	310
VT2018	Decidua	cDC1	MKI67	0.12903225806451613	310
VT2018	Decidua	dNK1	ENTPD1	0.5508162190626645	3798
VT2018	Decidua	dNK1	ITGAE	0.15666140073723012	3798
VT2018	Decidua	dNK1	ITGB2	0.22064244339125855	3798
VT2018	Decidua	dNK1	CD160	0.012901527119536599	3798
VT2018	Decidua	dNK1	KLRB1	0.627172195892575	3798
VT2018	Decidua	dNK1	ITGA1	0.3657187993680885	3798
VT2018	Decidua	dNK1	CD9	0.4215376513954713	3798
VT2018	Decidua	dNK1	EOMES	0.344391785150079	3798
VT2018	Decidua	dNK1	TBX21	0.02659294365455503	3798
VT2018	Decidua	dNK1	MKI67	0.05476566614007372	3798
VT2018	Decidua	dNK2	ENTPD1	0.03587278106508876	5408
VT2018	Decidua	dNK2	ITGAE	0.14071745562130178	5408
VT2018	Decidua	dNK2	ITGB2	0.7054363905325444	5408
VT2018	Decidua	dNK2	CD160	0.010909763313609468	5408
VT2018	Decidua	dNK2	KLRB1	0.7518491124260355	5408
VT2018	Decidua	dNK2	ITGA1	0.22725591715976332	5408
VT2018	Decidua	dNK2	CD9	0.3243343195266272	5408
VT2018	Decidua	dNK2	EOMES	0.33505917159763315	5408
