dataset_id	donor_id	compartment	subset	gene	n_cells	n_detected	detection_rate	mean_cpm	depth_floor	cells_retained_frac	qc_flag
VT2018	D12	Decidua	ILC3	CCL5	16	5	0.3125	204.72625175479646	2137	0.34782608695652173	below_min_cells
VT2018	D12	Decidua	ILC3	CCL20	16	2	0.125	87.73982218062706	2137	0.34782608695652173	below_min_cells
VT2018	D12	Decidua	ILC3	XCL1	16	15	0.9375	1111.3710809546094	2137	0.34782608695652173	below_min_cells
VT2018	D12	Decidua	ILC3	XCL2	16	13	0.8125	1491.57697707066	2137	0.34782608695652173	below_min_cells
VT2018	D12	Decidua	ILC3	CXCL8	16	9	0.5625	1052.8778661675246	2137	0.34782608695652173	below_min_cells
VT2018	D12	Decidua	ILC3	CXCL10	16	0	0.0	0.0	2137	0.34782608695652173	below_min_cells
VT2018	D12	Decidua	ILC3	CXCL12	16	0	0.0	0.0	2137	0.34782608695652173	below_min_cells
VT2018	D12	Decidua	ILC3	CXCL16	16	0	0.0	0.0	2137	0.34782608695652173	below_min_cells
VT2018	D12	Decidua	ILC3	CCL1	16	0	0.0	0.0	2137	0.34782608695652173	below_min_cells
VT2018	D12	Decidua	ILC3	CCL3L1	16	5	0.3125	233.9728591483388	2137	0.34782608695652173	below_min_cells
VT2018	D12	Decidua	ILC3	CCL4L2	16	0	0.0	0.0	2137	0.34782608695652173	below_min_cells
VT2018	D12	Decidua	ILC3	PPBP	16	0	0.0	0.0	2137	0.34782608695652173	below_min_cells
VT2018	D12	Decidua	ILC3	CCR1	16	0	0.0	0.0	2137	0.34782608695652173	below_min_cells
VT2018	D12	Decidua	ILC3	CCR2	16	0	0.0	0.0	2137	0.34782608695652173	below_min_cells
VT2018	D12	Decidua	ILC3	CCR5	16	0	0.0	0.0	2137	0.34782608695652173	below_min_cells
VT2018	D12	Decidua	ILC3	CCR9	16	0	0.0	0.0	2137	0.34782608695652173	below_min_cells
VT2018	D12	Decidua	ILC3	CXCR3	16	0	0.0	0.0	2137	0.34782608695652173	below_min_cells
VT2018	D12	Decidua	ILC3	CXCR4	16	13	0.8125	1403.8371548900327	2137	0.34782608695652173	below_min_cells
VT2018	D12	Decidua	ILC3	CXCR6	16	0	0.0	0.0	2137	0.34782608695652173	below_min_cells
VT2018	D12	Decidua	ILC3	CX3CR1	16	0	0.0	0.0	2137	0.34782608695652173	below_min_cells
VT2018	D12	Decidua	ILC3	S1PR1	16	0	0.0	0.0	2137	0.34782608695652173	below_min_cells
VT2018	D12	Decidua	ILC3	S1PR5	16	0	0.0	0.0	2137	0.34782608695652173	below_min_cells
VT2018	D12	Decidua	ILC3	SELL	16	1	0.0625	29.24660739354235	2137	0.34782608695652173	below_min_cells
VT2018	D12	Decidua	ILC3	ACKR2	16	0	0.0	0.0	2137	0.34782608695652173	below_min_cells
VT2018	D12	Decidua	ILC3	XCR1	16	0	0.0	0.0	2137	0.34782608695652173	below_min_cells
VT2018	D12	Decidua	ILC3	KLRD1	16	0	0.0	0.0	2137	0.34782608695652173	below_min_cells
VT2018	D12	Decidua	ILC3	NKG7	16	10	0.625	672.6719700514741	2137	0.34782608695652173	below_min_cells
VT2018	D12	Decidua	ILC3	GNLY	16	14	0.875	5293.635938231166	2137	0.34782608695652173	below_min_cells
VT2018	D12	Decidua	ILC3	PRF1	16	1	0.0625	29.24660739354235	2137	0.34782608695652173	below_min_cells
VT2018	D12	Decidua	ILC3	GZMB	16	7	0.4375	409.45250350959293	2137	0.34782608695652173	below_min_cells
VT2018	D12	Decidua	ILC3	NCR1	16	0	0.0	0.0	2137	0.34782608695652173	below_min_cells
VT2018	D12	Decidua	ILC3	IGKC	16	4	0.25	146.23303696771177	2137	0.34782608695652173	below_min_cells
VT2018	D12	Decidua	ILC3	LYZ	16	3	0.1875	87.73982218062706	2137	0.34782608695652173	below_min_cells
VT2018	D12	Decidua	ILC3	C1QA	16	7	0.4375	350.95928872250823	2137	0.34782608695652173	below_min_cells
VT2018	D12	Decidua	ILC3	DCN	16	1	0.0625	29.24660739354235	2137	0.34782608695652173	below_min_cells
VT2018	D12	Decidua	ILC3	COL1A1	16	0	0.0	0.0	2137	0.34782608695652173	below_min_cells
VT2018	D12	Decidua	ILC3	IGFBP1	16	0	0.0	0.0	2137	0.34782608695652173	below_min_cells
VT2018	D12	Decidua	ILC3	HLA-G	16	0	0.0	0.0	2137	0.34782608695652173	below_min_cells
VT2018	D12	Decidua	ILC3	CSH1	16	0	0.0	0.0	2137	0.34782608695652173	below_min_cells
VT2018	D12	Decidua	ILC3	HBB	16	0	0.0	0.0	2137	0.34782608695652173	below_min_cells
VT2018	D12	Decidua	ILC3	CD3E	16	5	0.3125	175.47964436125412	2137	0.34782608695652173	below_min_cells
VT2018	D12	Decidua	ILC3	CD3D	16	2	0.125	87.73982218062706	2137	0.34782608695652173	below_min_cells
VT2018	D12	Decidua	ILC3	TRBC2	16	2	0.125	146.23303696771174	2137	0.34782608695652173	below_min_cells
VT2018	D12	Decidua	ILC3	TRAC	16	6	0.375	263.21946654188116	2137	0.34782608695652173	below_min_cells
VT2018	D12	Decidua	ILC3	ENTPD1	16	2	0.125	58.4932147870847	2137	0.34782608695652173	below_min_cells
VT2018	D12	Decidua	ILC3	ITGAE	16	4	0.25	116.9864295741694	2137	0.34782608695652173	below_min_cells
VT2018	D12	Decidua	ILC3	ITGB2	16	4	0.25	146.23303696771177	2137	0.34782608695652173	below_min_cells
VT2018	D12	Decidua	ILC3	CD160	16	0	0.0	0.0	2137	0.34782608695652173	below_min_cells
VT2018	D12	Decidua	ILC3	KLRB1	16	16	1.0	3451.099672437997	2137	0.34782608695652173	below_min_cells
VT2018	D12	Decidua	ILC3	ITGA1	16	0	0.0	0.0	2137	0.34782608695652173	below_min_cells
VT2018	D12	Decidua	ILC3	CD9	16	0	0.0	0.0	2137	0.34782608695652173	below_min_cells
VT2018	D12	Decidua	ILC3	EOMES	16	0	0.0	0.0	2137	0.34782608695652173	below_min_cells
VT2018	D12	Decidua	ILC3	TBX21	16	0	0.0	0.0	2137	0.34782608695652173	below_min_cells
VT2018	D12	Decidua	ILC3	MKI67	16	1	0.0625	29.24660739354235	2137	0.34782608695652173	below_min_cells
VT2018	D12	Decidua	ILC3	PTN	16	0	0.0	0.0	2137	0.34782608695652173	below_min_cells
VT2018	D12	Decidua	ILC3	OGN	16	0	0.0	0.0	2137	0.34782608695652173	below_min_cells
VT2018	D12	Decidua	ILC3	SPP1	16	2	0.125	87.73982218062706	2137	0.34782608695652173	below_min_cells
VT2018	D12	Decidua	ILC3	VEGFA	16	0	0.0	0.0	2137	0.34782608695652173	below_min_cells
VT2018	D12	Decidua	ILC3	PGF	16	0	0.0	0.0	2137	0.34782608695652173	below_min_cells
VT2018	D12	Decidua	ILC3	IGF2	16	1	0.0625	29.24660739354235	2137	0.34782608695652173	below_min_cells
VT2018	D12	Decidua	ILC3	ITGAD	16	0	0.0	0.0	2137	0.34782608695652173	below_min_cells
VT2018	D12	Decidua	ILC3	ANGPT2	16	0	0.0	0.0	2137	0.34782608695652173	below_min_cells
VT2018	D12	Decidua	ILC3	ANG	16	0	0.0	0.0	2137	0.34782608695652173	below_min_cells
VT2018	D12	Decidua	ILC3	IL10	16	0	0.0	0.0	2137	0.34782608695652173	below_min_cells
VT2018	D12	Decidua	Myeloid	CCL2	270	76	0.2814814814814815	519.9396869963081	2137	0.43548387096774194	ok
VT2018	D12	Decidua	Myeloid	CCL3	270	265	0.9814814814814815	9076.413802665558	2137	0.43548387096774194	uninterpretable_ceiling
VT2018	D12	Decidua	Myeloid	CCL4	270	242	0.8962962962962963	3708.903100573672	2137	0.43548387096774194	uninterpretable_ceiling
VT2018	D12	Decidua	Myeloid	CCL5	270	92	0.34074074074074073	280.76743097800653	2137	0.43548387096774194	ok
VT2018	D12	Decidua	Myeloid	CCL20	270	118	0.43703703703703706	1100.5390041421867	2137	0.43548387096774194	ok
VT2018	D12	Decidua	Myeloid	XCL1	270	63	0.23333333333333334	149.0493769389418	2137	0.43548387096774194	ok
VT2018	D12	Decidua	Myeloid	XCL2	270	60	0.2222222222222222	129.98492174907707	2137	0.43548387096774194	ok
VT2018	D12	Decidua	Myeloid	CXCL8	270	227	0.8407407407407408	3920.345239952172	2137	0.43548387096774194	ok
VT2018	D12	Decidua	Myeloid	CXCL10	270	30	0.1111111111111111	190.64455189864643	2137	0.43548387096774194	ok
VT2018	D12	Decidua	Myeloid	CXCL12	270	4	0.014814814814814815	6.9325291599507795	2137	0.43548387096774194	uninterpretable_floor
VT2018	D12	Decidua	Myeloid	CXCL16	270	56	0.2074074074074074	123.05239258912623	2137	0.43548387096774194	ok
VT2018	D12	Decidua	Myeloid	CCL1	270	0	0.0	0.0	2137	0.43548387096774194	uninterpretable_floor
VT2018	D12	Decidua	Myeloid	CCL3L1	270	212	0.7851851851851852	3175.0983552574626	2137	0.43548387096774194	ok
VT2018	D12	Decidua	Myeloid	CCL4L2	270	182	0.674074074074074	1954.9732231061228	2137	0.43548387096774194	ok
VT2018	D12	Decidua	Myeloid	PPBP	270	0	0.0	0.0	2137	0.43548387096774194	uninterpretable_floor
VT2018	D12	Decidua	Myeloid	CCR1	270	20	0.07407407407407407	36.395778089741604	2137	0.43548387096774194	ok
VT2018	D12	Decidua	Myeloid	CCR2	270	3	0.011111111111111112	6.9325291599507795	2137	0.43548387096774194	uninterpretable_floor
VT2018	D12	Decidua	Myeloid	CCR5	270	4	0.014814814814814815	6.9325291599507795	2137	0.43548387096774194	uninterpretable_floor
VT2018	D12	Decidua	Myeloid	CCR9	270	0	0.0	0.0	2137	0.43548387096774194	uninterpretable_floor
VT2018	D12	Decidua	Myeloid	CXCR3	270	7	0.025925925925925925	12.131926029913865	2137	0.43548387096774194	uninterpretable_floor
VT2018	D12	Decidua	Myeloid	CXCR4	270	128	0.4740740740740741	350.09272257751417	2137	0.43548387096774194	ok
VT2018	D12	Decidua	Myeloid	CXCR6	270	1	0.003703703703703704	1.7331322899876949	2137	0.43548387096774194	uninterpretable_floor
VT2018	D12	Decidua	Myeloid	CX3CR1	270	2	0.007407407407407408	3.4662645799753897	2137	0.43548387096774194	uninterpretable_floor
VT2018	D12	Decidua	Myeloid	S1PR1	270	0	0.0	0.0	2137	0.43548387096774194	uninterpretable_floor
VT2018	D12	Decidua	Myeloid	S1PR5	270	0	0.0	0.0	2137	0.43548387096774194	uninterpretable_floor
VT2018	D12	Decidua	Myeloid	SELL	270	8	0.02962962962962963	13.865058319901559	2137	0.43548387096774194	uninterpretable_floor
VT2018	D12	Decidua	Myeloid	ACKR2	270	0	0.0	0.0	2137	0.43548387096774194	uninterpretable_floor
VT2018	D12	Decidua	Myeloid	XCR1	270	1	0.003703703703703704	1.7331322899876949	2137	0.43548387096774194	uninterpretable_floor
VT2018	D12	Decidua	Myeloid	KLRD1	270	34	0.1259259259259259	69.32529159950782	2137	0.43548387096774194	ok
VT2018	D12	Decidua	Myeloid	NKG7	270	216	0.8	844.0354252240077	2137	0.43548387096774194	ok
VT2018	D12	Decidua	Myeloid	GNLY	270	267	0.9888888888888889	6100.625660756687	2137	0.43548387096774194	uninterpretable_ceiling
VT2018	D12	Decidua	Myeloid	PRF1	270	21	0.07777777777777778	36.39577808974161	2137	0.43548387096774194	ok
VT2018	D12	Decidua	Myeloid	GZMB	270	161	0.5962962962962963	409.019220437096	2137	0.43548387096774194	ok
VT2018	D12	Decidua	Myeloid	NCR1	270	2	0.007407407407407408	3.4662645799753897	2137	0.43548387096774194	uninterpretable_floor
VT2018	D12	Decidua	Myeloid	IGKC	270	106	0.3925925925925926	221.84093311842503	2137	0.43548387096774194	ok
VT2018	D12	Decidua	Myeloid	LYZ	270	221	0.8185185185185185	3719.3018943135976	2137	0.43548387096774194	ok
VT2018	D12	Decidua	Myeloid	C1QA	270	207	0.7666666666666667	2667.2905942910675	2137	0.43548387096774194	ok
VT2018	D12	Decidua	Myeloid	DCN	270	10	0.037037037037037035	19.064455189864645	2137	0.43548387096774194	uninterpretable_floor
VT2018	D12	Decidua	Myeloid	COL1A1	270	3	0.011111111111111112	5.199396869963085	2137	0.43548387096774194	uninterpretable_floor
VT2018	D12	Decidua	Myeloid	IGFBP1	270	3	0.011111111111111112	5.199396869963085	2137	0.43548387096774194	uninterpretable_floor
VT2018	D12	Decidua	Myeloid	HLA-G	270	2	0.007407407407407408	3.4662645799753897	2137	0.43548387096774194	uninterpretable_floor
VT2018	D12	Decidua	Myeloid	CSH1	270	1	0.003703703703703704	1.7331322899876949	2137	0.43548387096774194	uninterpretable_floor
VT2018	D12	Decidua	Myeloid	HBB	270	7	0.025925925925925925	12.131926029913865	2137	0.43548387096774194	uninterpretable_floor
VT2018	D12	Decidua	Myeloid	CD3E	270	35	0.12962962962962962	72.7915561794832	2137	0.43548387096774194	ok
VT2018	D12	Decidua	Myeloid	CD3D	270	50	0.18518518518518517	119.58612800915091	2137	0.43548387096774194	ok
VT2018	D12	Decidua	Myeloid	TRBC2	270	55	0.2037037037037037	121.31926029913852	2137	0.43548387096774194	ok
VT2018	D12	Decidua	Myeloid	TRAC	270	43	0.15925925925925927	88.3897467893724	2137	0.43548387096774194	ok
VT2018	D12	Decidua	Myeloid	ENTPD1	270	16	0.05925925925925926	29.463248929790826	2137	0.43548387096774194	ok
VT2018	D12	Decidua	Myeloid	ITGAE	270	21	0.07777777777777778	38.128910379729305	2137	0.43548387096774194	ok
VT2018	D12	Decidua	Myeloid	ITGB2	270	176	0.6518518518518519	558.0685973760379	2137	0.43548387096774194	ok
VT2018	D12	Decidua	Myeloid	CD160	270	1	0.003703703703703704	1.7331322899876949	2137	0.43548387096774194	uninterpretable_floor
VT2018	D12	Decidua	Myeloid	KLRB1	270	76	0.2814814814814815	175.0463612887572	2137	0.43548387096774194	ok
VT2018	D12	Decidua	Myeloid	ITGA1	270	3	0.011111111111111112	5.199396869963085	2137	0.43548387096774194	uninterpretable_floor
VT2018	D12	Decidua	Myeloid	CD9	270	59	0.21851851851851853	169.84696441879413	2137	0.43548387096774194	ok
VT2018	D12	Decidua	Myeloid	EOMES	270	6	0.022222222222222223	10.39879373992617	2137	0.43548387096774194	uninterpretable_floor
VT2018	D12	Decidua	Myeloid	TBX21	270	1	0.003703703703703704	1.7331322899876949	2137	0.43548387096774194	uninterpretable_floor
VT2018	D12	Decidua	Myeloid	MKI67	270	5	0.018518518518518517	8.665661449938476	2137	0.43548387096774194	uninterpretable_floor
VT2018	D12	Decidua	Myeloid	PTN	270	1	0.003703703703703704	1.7331322899876949	2137	0.43548387096774194	uninterpretable_floor
VT2018	D12	Decidua	Myeloid	OGN	270	0	0.0	0.0	2137	0.43548387096774194	uninterpretable_floor
VT2018	D12	Decidua	Myeloid	SPP1	270	113	0.4185185185185185	2360.5261789632427	2137	0.43548387096774194	ok
VT2018	D12	Decidua	Myeloid	VEGFA	270	65	0.24074074074074073	155.98190609889255	2137	0.43548387096774194	ok
VT2018	D12	Decidua	Myeloid	PGF	270	3	0.011111111111111112	5.199396869963085	2137	0.43548387096774194	uninterpretable_floor
VT2018	D12	Decidua	Myeloid	IGF2	270	9	0.03333333333333333	22.53071976984004	2137	0.43548387096774194	uninterpretable_floor
VT2018	D12	Decidua	Myeloid	ITGAD	270	9	0.03333333333333333	15.598190609889254	2137	0.43548387096774194	uninterpretable_floor
VT2018	D12	Decidua	Myeloid	ANGPT2	270	1	0.003703703703703704	1.7331322899876949	2137	0.43548387096774194	uninterpretable_floor
VT2018	D12	Decidua	Myeloid	ANG	270	3	0.011111111111111112	5.199396869963085	2137	0.43548387096774194	uninterpretable_floor
VT2018	D12	Decidua	Myeloid	IL10	270	29	0.10740740740740741	58.92649785958165	2137	0.43548387096774194	ok
VT2018	D12	Decidua	Perivascular	CCL2	20	4	0.2	163.78100140383717	2137	1.0	below_min_cells
VT2018	D12	Decidua	Perivascular	CCL3	20	1	0.05	93.58914365933552	2137	1.0	below_min_cells
VT2018	D12	Decidua	Perivascular	CCL4	20	0	0.0	0.0	2137	1.0	below_min_cells
VT2018	D12	Decidua	Perivascular	CCL5	20	1	0.05	23.39728591483388	2137	1.0	below_min_cells
VT2018	D12	Decidua	Perivascular	CCL20	20	1	0.05	23.39728591483388	2137	1.0	below_min_cells
VT2018	D12	Decidua	Perivascular	XCL1	20	0	0.0	0.0	2137	1.0	below_min_cells
VT2018	D12	Decidua	Perivascular	XCL2	20	0	0.0	0.0	2137	1.0	below_min_cells
VT2018	D12	Decidua	Perivascular	CXCL8	20	1	0.05	421.1511464670099	2137	1.0	below_min_cells
VT2018	D12	Decidua	Perivascular	CXCL10	20	0	0.0	0.0	2137	1.0	below_min_cells
VT2018	D12	Decidua	Perivascular	CXCL12	20	2	0.1	46.79457182966776	2137	1.0	below_min_cells
