library	n_cells_lib	T_frac_in_library	n_dNK1	dNK1_triple_pos_depthmatched
FCA7474062	1745	0.04699140401146132	481	0.04158004158004158
FCA7196218	5277	0.04851241235550502	1298	0.10015408320493066
FCA7167219	419	0.0954653937947494	107	0.04672897196261682
FCA7196224	6266	0.10596872007660389	156	0.04487179487179487
FCA7167223	4167	0.11999040076793857	1093	0.036596523330283626
FCA7167221	554	0.12815884476534295	95	0.021052631578947368
FCA7511881	1601	0.14490943160524672	53	0.1320754716981132
