dataset_id	donor	compartment	subset	n_cells_post_qc	stage	reason
VT2018	D8	Placenta	dNKp	1	post_cell_qc	n_cells < 30 after cell QC; below the admission threshold for donor-level statistics
VT2018	D8	Placenta	pbNK_CD56dim	2	post_cell_qc	n_cells < 30 after cell QC; below the admission threshold for donor-level statistics
VT2018	D9	Blood	Stromal	1	post_cell_qc	n_cells < 30 after cell QC; below the admission threshold for donor-level statistics
VT2018	D9	Blood	cDC1	9	post_cell_qc	n_cells < 30 after cell QC; below the admission threshold for donor-level statistics
VT2018	D9	Blood	dNK2	1	post_cell_qc	n_cells < 30 after cell QC; below the admission threshold for donor-level statistics
VT2018	D9	Blood	dNKp	1	post_cell_qc	n_cells < 30 after cell QC; below the admission threshold for donor-level statistics
VT2018	D9	Decidua	Granulocyte	27	post_cell_qc	n_cells < 30 after cell QC; below the admission threshold for donor-level statistics
VT2018	D9	Decidua	pbNK_CD56bright	7	post_cell_qc	n_cells < 30 after cell QC; below the admission threshold for donor-level statistics
VT2018	D9	Decidua	pbNK_CD56dim	27	post_cell_qc	n_cells < 30 after cell QC; below the admission threshold for donor-level statistics
VT2018	D9	Placenta	Endothelial	8	post_cell_qc	n_cells < 30 after cell QC; below the admission threshold for donor-level statistics
VT2018	D9	Placenta	Epithelial	1	post_cell_qc	n_cells < 30 after cell QC; below the admission threshold for donor-level statistics
VT2018	D9	Placenta	Granulocyte	27	post_cell_qc	n_cells < 30 after cell QC; below the admission threshold for donor-level statistics
VT2018	D9	Placenta	ILC3	1	post_cell_qc	n_cells < 30 after cell QC; below the admission threshold for donor-level statistics
VT2018	D9	Placenta	Plasma	2	post_cell_qc	n_cells < 30 after cell QC; below the admission threshold for donor-level statistics
VT2018	D9	Placenta	T	2	post_cell_qc	n_cells < 30 after cell QC; below the admission threshold for donor-level statistics
VT2018	D9	Placenta	dNK1	4	post_cell_qc	n_cells < 30 after cell QC; below the admission threshold for donor-level statistics
VT2018	D9	Placenta	dNK2	1	post_cell_qc	n_cells < 30 after cell QC; below the admission threshold for donor-level statistics
VT2018	D12	Decidua	ILC3	16	post_downsample	cleared 30 cells after QC but fell below it after depth matching to 2137 UMI
VT2018	D12	Decidua	Plasma	22	post_downsample	cleared 30 cells after QC but fell below it after depth matching to 2137 UMI
VT2018	D6	Blood	Plasma	28	post_downsample	cleared 30 cells after QC but fell below it after depth matching to 2137 UMI
VT2018	D7	Blood	Myeloid	25	post_downsample	cleared 30 cells after QC but fell below it after depth matching to 2137 UMI
