cell_type,cortex_GM_rel_astro,WM_Absinta_rel_astro,WM_Lerma_rel_astro
endothelial,10.39699,0.6833217577470472,5.435910933160701
microglia,2.7986414,1.1765810994284993,2.7500784950125046
astrocyte,1.0,1.0,1.0
oligodendrocyte,0.6992699,0.28501279547108116,0.4590283559843781
OPC,0.29456636,0.2024695734975052,0.505362667131283
neuron,0.15575753,0.0,0.1693363126915081
