cell_type,n_ctrl,n_MS,ctrl_pct,MS_pct,OR,fisher_p,donor_MW_p,n_MS_don,n_ctrl_don
OPC,1255,2690,1.9920318725099602,2.193308550185874,1.1033067274800457,0.723980807792219,0.9452214452214451,7,6
T cells,55,775,12.727272727272727,13.161290322580646,1.0392697940989175,1.0,,6,2
astrocytes,2504,11483,4.792332268370607,5.782461029347732,1.2192870567212004,0.054987321426500244,0.2948717948717949,7,6
endothelial/vascular,428,1802,19.39252336448598,26.637069922308548,1.509213859978492,0.0019361855216711323,0.2948717948717949,7,6
microglia,2005,7234,3.790523690773067,13.989494055847388,4.128279957366899,7.768713274245807e-44,0.003361339474765026,7,6
neurons,1351,6820,3.1088082901554404,1.6715542521994136,0.5298240381747689,0.0009788121220173113,0.5611486537974869,6,6
oligodendrocytes,21496,43338,1.5770375883885375,4.358761364160783,2.8442796140489244,1.0206989155014599e-84,0.002331002331002331,7,6
