细胞类型,ΔWM,ΔGM,交互,p_WM,p_GM,p_交互,n白质,n灰质,q_WM,q_GM,q_交互
OPC,-0.27551677004715924,3.032161948872198,-3.307678718919357,0.5438891222175557,0.013419731605367892,0.006999860002799944,"[('白质|GSE180759', 5, 3), ('白质|GSE279180', 7, 6)]","[('灰质|Schirmer 2019', 11, 8)]",0.7251854962900742,0.05367892642147157,0.027999440011199778
astrocyte,-0.17668055259900922,0.443295772987478,-0.6199763255864872,0.747145057098858,0.5019499610007799,0.39917201655966883,"[('白质|GSE180759', 5, 3), ('白质|GSE279180', 7, 6)]","[('灰质|Schirmer 2019', 12, 9)]",0.747145057098858,0.5019499610007799,0.44605107897842045
endothelial,-0.23423628480363856,,,,,,"[('白质|GSE279180', 7, 6)]",[],,,
lymphocyte,,,,,,,[],[],,,
microglia,0.9032397385842721,,,,,,"[('白质|GSE279180', 7, 6)]",[],,,
neuron,2.2678446826918757,0.4106812949375002,1.8571633877543754,0.17855642887142256,0.31403371932561347,0.30769384612307754,"[('白质|GSE279180', 6, 6)]","[('灰质|Schirmer 2019', 12, 9)]",0.3571128577428451,0.5019499610007799,0.44605107897842045
oligodendrocyte,1.2064478272911725,0.6010267810865322,0.6054210462046403,0.0009399812003759925,0.4361712765744685,0.44605107897842045,"[('白质|GSE180759', 5, 3), ('白质|GSE279180', 7, 6)]","[('灰质|Schirmer 2019', 12, 7)]",0.00375992480150397,0.5019499610007799,0.44605107897842045
stromal,,,,,,,[],[],,,
