cell_type,n_ctrl_donors,n_MS_donors,ctrl_median_rel,MS_median_rel,ratio,MW_p,separation
microglia/macrophage,8,12,1.0,2.0694827590345515,2.0694827590345515,0.006145513185645535,overlap
oligodendrocyte,9,12,1.0,2.4196792925745285,2.4196792925745285,0.007698627281707499,overlap
astrocyte,9,12,1.0,0.8718259648072999,0.8718259648072999,0.37435986931078846,overlap
OPC,9,12,1.0,0.8192099117885011,0.8192099117885011,0.8035039136966754,overlap
endothelial/vascular,5,12,1.0,1.318825582242925,1.318825582242925,0.5058177117000646,overlap
