区室,队列,细胞类型,供体,状态,核数,值
白质,GSE279180,lymphocyte,MS497 A3C2,MS,145,69.24648285572495
白质,GSE279180,lymphocyte,MS549 P2D5,MS,301,63.17038572317298
白质,GSE279180,microglia,CO37 P5B3,Control,403,25.170463653188104
白质,GSE279180,microglia,CO41 A1C4,Control,771,32.49155219642893
白质,GSE279180,microglia,CO45 A1D4,Control,400,39.59607206965069
白质,GSE279180,microglia,CO74 A1A2,Control,93,0.0
白质,GSE279180,microglia,CO85 A3C2,Control,97,0.0
白质,GSE279180,microglia,MS197 P2D3,MS,831,91.03274213782866
白质,GSE279180,microglia,MS229 P2C2,MS,439,24.480350166928787
白质,GSE279180,microglia,MS377 A2D2,MS,867,28.74384471096832
白质,GSE279180,microglia,MS377 A2D4,MS,1237,28.802779076463082
白质,GSE279180,microglia,MS411 A2A2,MS,1036,50.65509357501745
白质,GSE279180,microglia,MS497 A3C2,MS,476,49.220883350786536
白质,GSE279180,microglia,MS549 P2D5,MS,2348,45.3160479366567
白质,GSE279180,microglia,PDCO40 A1B2,Control,241,23.05647239519503
白质,GSE279180,neuron,CO37 P5B3,Control,51,0.9193119869089973
白质,GSE279180,neuron,CO41 A1C4,Control,85,0.0
白质,GSE279180,neuron,CO45 A1D4,Control,1143,1.7979283854236598
白质,GSE279180,neuron,CO74 A1A2,Control,22,0.0
白质,GSE279180,neuron,CO85 A3C2,Control,26,0.0
白质,GSE279180,neuron,MS197 P2D3,MS,2319,1.4008785402593058
白质,GSE279180,neuron,MS229 P2C2,MS,45,0.0
白质,GSE279180,neuron,MS377 A2D2,MS,466,0.29386831276022496
白质,GSE279180,neuron,MS377 A2D4,MS,901,0.5071369667067399
白质,GSE279180,neuron,MS497 A3C2,MS,151,4.979720089933745
白质,GSE279180,neuron,MS549 P2D5,MS,2925,3.086446475566728
白质,GSE279180,neuron,PDCO40 A1B2,Control,24,0.0
白质,GSE279180,oligodendrocyte,CO37 P5B3,Control,4916,4.262007026052413
白质,GSE279180,oligodendrocyte,CO41 A1C4,Control,3325,10.182300200128482
白质,GSE279180,oligodendrocyte,CO45 A1D4,Control,3224,10.297722049035313
白质,GSE279180,oligodendrocyte,CO74 A1A2,Control,2687,3.9422884805434624
白质,GSE279180,oligodendrocyte,CO85 A3C2,Control,2723,5.090549302664162
白质,GSE279180,oligodendrocyte,MS197 P2D3,MS,6042,15.614236208889654
白质,GSE279180,oligodendrocyte,MS229 P2C2,MS,4672,6.547240020322633
白质,GSE279180,oligodendrocyte,MS377 A2D2,MS,3876,11.716837068237883
白质,GSE279180,oligodendrocyte,MS377 A2D4,MS,8385,9.58142686953774
白质,GSE279180,oligodendrocyte,MS411 A2A2,MS,4395,10.91334981299447
白质,GSE279180,oligodendrocyte,MS497 A3C2,MS,6372,12.98575440241985
白质,GSE279180,oligodendrocyte,MS549 P2D5,MS,9596,12.060690119961443
白质,GSE279180,oligodendrocyte,PDCO40 A1B2,Control,4621,3.3142184331596276
白质,GSE279180,stromal,MS197 P2D3,MS,40,46.52948224318634
白质,GSE279180,stromal,MS377 A2D2,MS,27,9.354361938972144
白质,GSE279180,stromal,MS377 A2D4,MS,72,8.734895909157082
白质,GSE279180,stromal,MS411 A2A2,MS,36,0.0
白质,GSE279180,stromal,MS497 A3C2,MS,20,29.490115896155473
白质,GSE279180,stromal,MS549 P2D5,MS,68,30.517298730785544
灰质,Schirmer 2019,OPC,C1,Control,161,6.109554290771484
灰质,Schirmer 2019,OPC,C2,Control,63,0.0
灰质,Schirmer 2019,OPC,C3,Control,250,0.4132119119167328
灰质,Schirmer 2019,OPC,C4,Control,254,0.7163056135177612
灰质,Schirmer 2019,OPC,C5,Control,193,2.3442676067352295
灰质,Schirmer 2019,OPC,C6,Control,143,0.0
灰质,Schirmer 2019,OPC,C7,Control,40,0.0
灰质,Schirmer 2019,OPC,C8,Control,56,0.0
灰质,Schirmer 2019,OPC,MS1,MS,302,3.5018646717071533
灰质,Schirmer 2019,OPC,MS10,MS,129,0.0
灰质,Schirmer 2019,OPC,MS12,MS,374,1.9857300519943237
灰质,Schirmer 2019,OPC,MS2,MS,227,2.308443546295166
灰质,Schirmer 2019,OPC,MS3,MS,125,4.591095924377441
灰质,Schirmer 2019,OPC,MS4,MS,401,3.4851949214935303
灰质,Schirmer 2019,OPC,MS5,MS,193,4.163109302520752
灰质,Schirmer 2019,OPC,MS6,MS,323,1.8794358968734741
灰质,Schirmer 2019,OPC,MS7,MS,125,0.8469364643096924
灰质,Schirmer 2019,OPC,MS8,MS,80,4.446905612945557
