细胞类型,键,ΔWM,ΔWM_lo,ΔWM_hi,p_WM,ΔGM,ΔGM_lo,ΔGM_hi,p_GM,交互,交互_lo,交互_hi
少突胶质,oligodendrocyte,1.3449169048874932,0.49671050026248664,2.2361858249894975,0.009038000115953336,0.1500004677286748,-0.4069882170515653,1.005922667974926,0.8111888111888111,1.1949164371588183,-0.051095127202217316,2.335739632480702
小胶质/巨噬,microglia,0.39121654129539474,-0.0681399626080137,1.7015461715507274,0.18333333333333338,,,,,,,
星形胶质,astrocyte,0.07691542420833834,-1.6987854705601162,0.5648267873679246,0.9159261925430724,0.2058377758171961,-0.8741326612060876,1.3397278139926945,0.6611721611721613,-0.12892235160885773,-2.17820076717551,0.939317393220208
OPC,OPC,2.338036865979414,-4.716837653713522,3.0305005492093455,0.4028473092341631,0.8830696967212202,-1.2041363014366855,6.736521033368278,0.3633589315678788,1.454967169258194,-7.499397396619052,3.4880200025367953
神经元,neuron,,,,,0.829281139362786,-1.6551614894713145,6.011049725731171,0.5871536918062479,,,
内皮/血管,endothelial,,,,,,,,,,,
