suspension,cell_type,n,pos,umi,tot,donors,datasets,pct_pos,CP10k
nucleus,lamp5 GABAergic cortical interneuron,150442,2863,8411.0,6578269161.0,524,16,1.903058986187368,0.0127860380810586
nucleus,VIP GABAergic cortical interneuron,270521,3380,12291.0,9613213795.0,537,17,1.2494408936829304,0.012785526528488
nucleus,glial cell,42607,52,54.0,42979344.0,14,3,0.1220456732461802,0.0125641750139322
nucleus,progenitor cell,2348,7,10.0,8789231.0,15,2,0.2981260647359455,0.0113775596522608
nucleus,GABAergic neuron,487838,1843,2208.0,2040436264.0,550,15,0.3777893481032638,0.01082121524184
nucleus,radial glial cell,60997,310,375.0,369968384.0,20,3,0.5082217158220896,0.010136001242744
nucleus,central nervous system neuron,3968,81,93.0,96822213.0,22,1,2.0413306451612905,0.0096052338733468
nucleus,neural crest cell,4074,28,31.0,33001486.0,1,1,0.6872852233676976,0.0093935164010493
nucleus,near-projecting glutamatergic cortical neuron,39979,399,1994.0,2242429755.0,86,11,0.9980239625803546,0.0088921403025175
nucleus,neural cell,518980,2151,2330.0,2647247991.0,103,1,0.414466838799183,0.008801593231618
nucleus,neuron,2750564,42659,52624.0,60034471440.0,58,113,1.5509182843954912,0.0087656306015109
nucleus,L4 intratelencephalic projecting glutamatergic neuron,20288,169,185.0,219218915.0,27,1,0.8330047318611987,0.0084390528070992
nucleus,medial ganglionic eminence derived interneuron,2386,8,8.0,9831927.0,11,1,0.3352891869237217,0.0081367569144888
nucleus,L5 intratelencephalic projecting glutamatergic neuron,9638,86,89.0,111596778.0,24,1,0.8923013073251712,0.0079751406442935
nucleus,L5/6 near-projecting glutamatergic neuron of the primary motor cortex,1215,13,13.0,16433403.0,4,1,1.0699588477366255,0.0079107169707941
nucleus,cerebral cortex pyramidal neuron,9133,34,38.0,48356104.0,2,1,0.3722763604511113,0.0078583667534506
nucleus,Cajal-Retzius cell,865,4,4.0,5140075.0,26,1,0.4624277456647399,0.0077819876169122
nucleus,hippocampal interneuron,9976,69,77.0,99287748.0,9,1,0.6916599839615076,0.0077552368294222
nucleus,inhibitory interneuron,150254,171,198.0,256838914.0,56,8,0.1138072863284837,0.0077091121791614
nucleus,glycinergic neuron,2458,2,7.0,9856496.0,8,1,0.081366965012205,0.0071019153256897
nucleus,neuroblast (sensu Nematoda and Protostomia),1889,5,5.0,7166988.0,8,1,0.2646903123345686,0.0069764313823324
nucleus,brainstem motor neuron,2412,4,4.0,5786693.0,8,1,0.165837479270315,0.0069124109400654
nucleus,L6b glutamatergic neuron of the primary motor cortex,12895,260,298.0,437999455.0,393,3,2.016285381930981,0.0068036614337796
nucleus,medial ganglionic eminence derived GABAergic cortical interneuron,4213,8,11.0,17449406.0,25,1,0.189888440541182,0.0063039395151903
nucleus,sst GABAergic cortical interneuron,254320,1443,4323.0,7100728094.0,533,17,0.5673954073608053,0.006088108068316
nucleus,unipolar brush cell,56478,20,20.0,33533585.0,18,2,0.035412018839194,0.0059641699508119
nucleus,cerebellar granule cell precursor,4526,9,10.0,16862100.0,23,2,0.1988510826336721,0.0059304594326922
nucleus,interneuron,28114,51,56.0,108832709.0,43,5,0.1814042825638472,0.0051455119067191
nucleus,sncg GABAergic cortical interneuron,37565,249,275.0,548739423.0,87,10,0.6628510581658459,0.005011486116608
nucleus,L5/6 near-projecting glutamatergic neuron,10961,130,139.0,289490714.0,395,3,1.1860231730681507,0.0048015357065995
nucleus,Purkinje cell,380123,367,381.0,796819874.0,33,4,0.0965476964035325,0.0047815072443838
nucleus,hippocampal pyramidal neuron,12345,109,118.0,269631872.0,9,1,0.8829485621709194,0.0043763372306371
nucleus,cerebellar granule cell,56124,83,85.0,207101147.0,33,2,0.1478868220369182,0.004104274709787
nucleus,intratelencephalic-projecting glutamatergic cortical neuron,14400,34,38.0,99729978.0,27,1,0.2361111111111111,0.0038102886175308
nucleus,hippocampal granule cell,34220,120,124.0,337073024.0,9,1,0.3506721215663355,0.0036787280847487
nucleus,dopaminergic neuron,17676,194,210.0,583886549.0,12,3,1.0975333785924417,0.0035965891038192
nucleus,midbrain dopaminergic neuron,10617,24,28.0,83331152.0,1,1,0.2260525572195535,0.0033600879536622
nucleus,granule cell,97265,26,27.0,85486274.0,13,2,0.0267310954608543,0.003158401780384
nucleus,stellate neuron,60284,15,16.0,57020712.0,5,1,0.024882224139075,0.0028059979328213
nucleus,TAC3-positive striatal interneuron,728,9,9.0,36030898.0,2,1,1.2362637362637363,0.0024978561455781
nucleus,GABAergic interneuron,5020,21,21.0,99095413.0,16,6,0.4183266932270916,0.0021191697339209
nucleus,direct pathway medium spiny neuron,7989,44,57.0,297252695.0,14,2,0.5507572912755038,0.0019175604110166
nucleus,indirect pathway medium spiny neuron,7320,35,44.0,252512605.0,14,2,0.4781420765027322,0.0017424872710809
nucleus,neuron associated cell (sensu Vertebrata),63657,5,5.0,52722353.0,5,1,0.007854595723958,0.000948364349368
nucleus,caudal ganglionic eminence derived cortical interneuron,19126,62,71.0,838412471.0,100,12,0.324166056676775,0.0008468385485167
nucleus,serotonergic neuron,547,0,0.0,2096677.0,4,1,0.0,0.0
