group,n_ctrl_don,n_MS_don,lin_ctrl,lin_MS,ratio,MW_p,separation
neuron,9,12,0.02868031896650791,0.0414463859051466,1.445115933108922,0.10981940881523716,overlap
oligodendrocyte,7,12,0.1336784064769745,0.20797491073608398,1.5557853823751762,0.37401762312642306,overlap
astrocyte,9,12,0.1168258786201477,0.16247674077749252,1.3907598444500113,0.4758533560682996,overlap
OPC,8,11,0.008334803394973278,0.14059816300868988,16.868803779281066,0.04125046129301999,overlap
