subtype,n,med_counts,pct_pos,cp10k
MG_CA,547.0,4753.0,25.045703839122485,0.6901059820628493
MG_Rim,916.0,3664.0,17.139737991266376,0.5889728975579807
MG_Dis,1281.0,3680.0,15.144418423106949,0.5083127934991806
MG_Homeo3,1243.0,4917.0,15.446500402252614,0.4193647415138709
MG_NA,342.0,4959.5,16.08187134502924,0.39083936769685856
MG_Phago1,1008.0,3299.0,10.615079365079366,0.3568822870734284
MG_Homeo1,1825.0,651.0,2.410958904109589,0.35314804832397934
MG_Homeo2,2077.0,3075.0,9.725565719788156,0.3295479173966884
