细胞类型,键,正常_白比灰,正常_lo,正常_hi,正常_p,n正常白,n正常灰,Δ白质,Δ白质_lo,Δ白质_hi,p白质,n白质对照,n白质MS,Δ灰质,Δ灰质_lo,Δ灰质_hi,p灰质,n灰质对照,n灰质MS,交互,交互_lo,交互_hi,p交互,q正常_p,q白质,q灰质,q交互
少突胶质细胞,Oligodendrocytes,-0.010036241356135012,-0.6345275843785476,0.5985030222605716,1.0,13.0,15.0,0.5405548884283364,0.3619201747080516,0.8186683619609672,0.006249687515624219,13.0,34.0,0.19015609859757232,-0.447760407038896,0.8791151271507998,0.5627218639068047,15,20,0.3503987898307641,-0.31249866614843586,1.0722669260442126,0.35993200339983,1.0,0.03749812509374531,0.5627218639068047,0.5398980050997451
小胶质细胞,Microglia,-0.18436542752403984,-0.7158299358911275,0.7967066148286239,0.5012749362531873,12.0,12.0,0.16511881526139582,-0.24698178425484496,0.6182707236241116,0.3482825858707065,12.0,33.0,0.26502953203341306,-0.2748470196074333,1.3148532754975406,0.3899305034748263,12,20,-0.09991071677201724,-1.1794195670499152,0.6141115730082225,0.7775111244437778,0.7519124043797809,0.4913754312284386,0.4549189207206306,0.7775111244437779
星形胶质细胞,Astrocytes,0.7110599286727193,-0.15099790876873342,1.6688975150338208,0.11739413029348533,13.0,14.0,-0.19641957874936367,-0.8061072396762592,0.5019629076628687,0.6600169991500425,13.0,32.0,0.2067717781247418,-0.41233543600234945,1.0549049336695278,0.2918854057297135,14,20,-0.40319135687410546,-1.4506310125012218,0.4726860903368113,0.28528573571321436,0.352182390880456,0.6600169991500425,0.4086395680215989,0.5398980050997451
少突胶质前体细胞,OPCs + COPs,1.5496042742460654,-0.7535571641248835,6.427802219220159,0.20453977301134943,13.0,15.0,-0.4598394617792909,-1.272277190839914,0.3951211988244103,0.25408729563521826,13.0,32.0,2.154771952474072,0.0033976227449206142,7.0308378347790494,9.99950002499875e-05,15,20,-2.6146114142533627,-7.821746365720918,-0.11737108606946858,0.0010999450027498626,0.40907954602269886,0.4913754312284386,0.0006999650017499125,0.0065996700164991755
兴奋性神经元,Excitatory neurons,-0.6847675721370398,-5.6746732776972575,-0.0858872664755046,0.06404679766011699,10.0,15.0,-0.7358752147704704,-3.2592880990734154,4.254030490789748,0.3985300734963252,10.0,31.0,-0.45970776436760674,-1.3187731495135602,0.010869916872321417,0.071946402679866,15,20,-0.2761674504028636,-2.8569147459149153,4.870542317988198,0.7624618769061547,0.352182390880456,0.4913754312284386,0.12590620468976552,0.7775111244437779
抑制性神经元,Inhibitory neurons,0.48432805377468924,-0.7248500380277049,1.2941240950790704,0.7449627518624069,7.0,15.0,-0.4711830264619679,-2.181125460686852,0.5052862868827167,0.4094795260236988,7.0,22.0,0.9051276971566219,-0.15439813019480833,1.595873225356187,0.05264736763161842,15,20,-1.3763107236185899,-2.9094942217770123,0.1428548963417855,0.07174641267936603,0.8939553022348882,0.4913754312284386,0.12284385780710964,0.21523923803809808
内皮/周细胞,Endo + Peri,,,,,,,,,,,,,-0.8037887613601811,-1.1205646271683607,-0.32598292732422784,0.006049697515124244,15,20,,,,,,,0.021173941302934856,
