compartment,cohort,cell_type,n_per_group,ctrl_pct,MS_pct,OR,p
white matter,GSE180759 Absinta,endothelial,54,1.8518518518518519,7.407407407407407,4.24,0.36315086782376504
white matter,GSE180759 Absinta,microglia,289,1.3840830449826989,3.4602076124567476,2.553763440860215,0.17424365991083002
white matter,GSE180759 Absinta,astrocyte,328,2.4390243902439024,1.2195121951219512,0.49382716049382713,0.38322969510771254
white matter,GSE180759 Absinta,oligodendrocyte,4264,0.9615384615384616,1.7589118198874296,1.8441155407018381,0.0019095996070187752
white matter,GSE180759 Absinta,OPC,295,0.6779661016949152,1.3559322033898304,2.013745704467354,0.6859001613544726
white matter,GSE279180 Lerma-Martin,endothelial,428,19.39252336448598,16.588785046728972,0.8266680166042321,0.3276809232896217
white matter,GSE279180 Lerma-Martin,microglia,1467,4.839809134287662,7.702794819359236,1.6409178854515571,0.0017296675495317641
white matter,GSE279180 Lerma-Martin,astrocyte,2504,4.792332268370607,5.431309904153355,1.140990990990991,0.33584927601697667
white matter,GSE279180 Lerma-Martin,oligodendrocyte,18608,1.746560619088564,4.084264832330181,2.3954556425197393,7.394828648010739e-42
white matter,GSE279180 Lerma-Martin,OPC,1254,1.9936204146730463,1.4354066985645932,0.7159223300970874,0.3562028392394509
white matter,GSE279180 Lerma-Martin,neuron,1351,3.1088082901554404,2.7387120651369354,0.8776002029426687,0.6481066936516517
cortex / grey matter,Schirmer 2019,endothelial,90,12.222222222222221,21.11111111111111,1.9218950064020486,0.16076374991810133
cortex / grey matter,Schirmer 2019,microglia,159,2.5157232704402515,4.40251572327044,1.7845394736842106,0.5415741114462631
cortex / grey matter,Schirmer 2019,astrocyte,1571,1.464035646085296,1.400381922342457,0.9559042299379684,1.0
cortex / grey matter,Schirmer 2019,oligodendrocyte,3070,0.7166123778501629,0.8143322475570033,1.1374832064487237,0.7700038963502394
cortex / grey matter,Schirmer 2019,OPC,1173,0.5967604433077579,1.278772378516624,2.157660991857883,0.1319775584329494
cortex / grey matter,Schirmer 2019,neuron,10134,1.1051904479968424,1.2334714821393329,1.1175210167991665,0.4330541306240063
