cell_type,n_obs,n_ctrl,n_MS,fold_change,ci_low,ci_high,p
microglia,20,8,12,1.9943020000399125,0.9667166096169583,4.114174131071459,0.06171384855154424
oligodendrocyte,21,9,12,1.9737352759948066,1.0521345988346182,3.7025975041798223,0.034150049224966575
astrocyte,21,9,12,0.776657017048188,0.38831993324152314,1.553348335984133,0.47480740418477696
OPC,21,9,12,0.9728882377399041,0.4344943181557262,2.1784209449510428,0.9467161010597681
endothelial,17,5,12,0.971552249255085,0.41850159878195975,2.2554603752527025,0.9464525368702797
