lesion_type,n,med_counts,pct_pos,cp10k
CA,4410.0,3888.0,14.603174603174605,0.4669271994242914
CI,2824.0,3144.5,13.031161473087819,0.45802889975588396
Ctrl,2005.0,927.0,3.790523690773067,0.2833445405349194
