cell_type,n_per_group,ctrl_pct,MS_pct,OR,p
OPC,1254,1.9936204146730463,1.4354066985645932,0.7159223300970874,0.3562028392394509
astrocytes,2504,4.792332268370607,5.431309904153355,1.140990990990991,0.33584927601697667
endothelial/vascular,428,19.39252336448598,16.588785046728972,0.8266680166042321,0.3276809232896217
microglia,1467,4.839809134287662,7.702794819359236,1.6409178854515571,0.0017296675495317641
neurons,1351,3.1088082901554404,2.7387120651369354,0.8776002029426687,0.6481066936516517
oligodendrocytes,18608,1.746560619088564,4.084264832330181,2.3954556425197393,7.394828648010739e-42
