cell_type,n_ctrl_don,n_MS_don,cp10k_ctrl,cp10k_MS,MW_p,separation
oligodendrocytes,3,5,0.022427303298065776,0.05042265880287546,0.25,overlap
astrocytes,3,5,0.0967141371890036,0.07971851686947155,0.25,overlap
immune,2,5,0.1279751066260991,0.3462194982961322,0.19047619047619047,overlap
opc,3,5,0.03260834121368246,0.02721851294376383,0.7857142857142857,overlap
