cell_type,n_ctrl,n_MS,ctrl_pct,MS_pct,OR,fisher_p,cp10k_ctrl,cp10k_MS
astrocyte,454,788,0.4405286343612335,0.5076142131979695,1.153061224489796,1.0,0.02409989890092411,0.04607997640705208
endothelial cell,116,720,11.206896551724139,4.166666666666666,0.34448160535117056,0.004765531143462329,0.7473283013227711,0.5665420274206341
microglial cell,78,350,0.0,3.1428571428571432,inf,0.2275701902456802,0.0,0.46429207066525313
neuron,1768,3263,0.8484162895927602,0.6129328838492185,0.7207318326652277,0.37527746127734835,0.024826727695631327,0.026821975269883353
oligodendrocyte,3611,4569,0.8861811132650235,0.5471656817684395,0.6153375330105634,0.08123312163977037,0.05761060380773685,0.056930632756656385
oligodendrocyte precursor cell,153,89,4.57516339869281,1.1235955056179776,0.237012987012987,0.26395842531680347,0.10589566553912996,0.06386389327066157
pericyte,134,451,9.701492537313433,5.099778270509978,0.5001797268152408,0.06428925312046838,0.4424658280237434,0.3985257734588211
progenitor cell,273,79,0.3663003663003663,0.0,0.0,1.0,0.027266084263106807,0.0
