cell_type,n_ctrl_don,n_MS_don,cp10k_ctrl,cp10k_MS,MW_p,separation
OPC,6,7,0.04570574790210359,0.03673415234646961,0.6282051282051282,overlap
astrocytes,6,7,0.11557882481000181,0.10626113674354727,0.6282051282051282,overlap
microglia,6,7,0.24113468024191567,0.453160479366567,0.05345510556768995,overlap
neurons,3,5,0.009193119869089973,0.014008785402593057,0.5714285714285714,overlap
oligodendrocytes,6,7,0.04676278164358288,0.11716837068237883,0.013986013986013986,overlap
