cell_type,n,cp10k_all,pct_pos,n_ctrl,cp10k_ctrl
oligodendrocytes,45697,0.061301266548244866,1.6762588353721253,4264,0.028682168422626816
astrocytes,8211,0.08197282703809644,2.0216782365119963,328,0.10063466931447664
immune,5432,0.28347510822067773,5.8541973490427095,289,0.11840484986265037
neurons,2803,0.029793494667681705,0.9632536567962896,34,0.0
opc,2175,0.029498105131503194,1.011494252873563,295,0.020375458575164557
vascular_cells,1708,0.35871865695734834,6.791569086651054,65,0.068765859126261
lymphocytes,406,0.40643436402547833,7.389162561576355,16,0.3518401238477236
