dataset,grp,n,umi,tot,CP10k
d5452b83-7c3d-4d7c-ab7a-c7fece7196c5,neuron,4796,48.0,205893404.0,0.002331303435053218
d5452b83-7c3d-4d7c-ab7a-c7fece7196c5,oligodendrocyte,1987,111.0,14429254.0,0.0769270538865003
d5452b83-7c3d-4d7c-ab7a-c7fece7196c5,OPC,288,24.0,3039781.0,0.07895305615766399
07dd8c34-4625-480a-8ee4-273a06c3082b,oligodendrocyte,5455,195.0,35748717.0,0.054547412149084956
07dd8c34-4625-480a-8ee4-273a06c3082b,neuron,2388,98.0,88981320.0,0.011013547562567064
07dd8c34-4625-480a-8ee4-273a06c3082b,astrocyte,782,48.0,4889813.0,0.09816326309411014
07dd8c34-4625-480a-8ee4-273a06c3082b,microglia,388,46.0,1562284.0,0.29444070348284945
07dd8c34-4625-480a-8ee4-273a06c3082b,OPC,572,23.0,5426627.0,0.04238360218972117
c5cfa2b7-abb1-4a50-908f-707b54ca606b,neuron,10665,58.0,136986412.0,0.004233996580624361
c5cfa2b7-abb1-4a50-908f-707b54ca606b,endothelial,14,4.0,49707.0,0.804715633612972
c5cfa2b7-abb1-4a50-908f-707b54ca606b,mural,18,1.0,55408.0,0.18047935316199826
c5cfa2b7-abb1-4a50-908f-707b54ca606b,astrocyte,669,32.0,2756889.0,0.11607286328901889
c5cfa2b7-abb1-4a50-908f-707b54ca606b,OPC,381,20.0,2531428.0,0.07900678984351915
c5cfa2b7-abb1-4a50-908f-707b54ca606b,oligodendrocyte,1889,54.0,10195352.0,0.05296531203630831
c5cfa2b7-abb1-4a50-908f-707b54ca606b,microglia,283,35.0,881938.0,0.3968532935421764
2727d83a-0af0-443a-bff8-58dc7028289a,neuron,5549,16.0,13873811.0,0.011532519795750425
2727d83a-0af0-443a-bff8-58dc7028289a,OPC,894,2.0,431028.0,0.046400697866495914
2727d83a-0af0-443a-bff8-58dc7028289a,oligodendrocyte,1520,0.0,568396.0,0.0
2727d83a-0af0-443a-bff8-58dc7028289a,endothelial,62,1.0,43618.0,0.22926314824155164
364348b4-bc34-4fe1-a851-60d99e36cafa,microglia,284,43.0,944537.0,0.45524950319574564
364348b4-bc34-4fe1-a851-60d99e36cafa,endothelial,5,2.0,17058.0,1.172470395122523
364348b4-bc34-4fe1-a851-60d99e36cafa,mural,129,7.0,463097.0,0.15115623724619248
364348b4-bc34-4fe1-a851-60d99e36cafa,astrocyte,437,20.0,1832874.0,0.10911824817199654
364348b4-bc34-4fe1-a851-60d99e36cafa,neuron,5997,38.0,141406400.0,0.0026872899670736263
364348b4-bc34-4fe1-a851-60d99e36cafa,OPC,436,19.0,2749377.0,0.06910656486905943
364348b4-bc34-4fe1-a851-60d99e36cafa,oligodendrocyte,5522,201.0,37058701.0,0.05423827456877131
1a018108-b4b6-457b-ba15-046d5e98c169,oligodendrocyte,7304,128.0,28320588.0,0.04519680170482336
1a018108-b4b6-457b-ba15-046d5e98c169,OPC,925,22.0,3169036.0,0.06942174213230774
1a018108-b4b6-457b-ba15-046d5e98c169,neuron,10446,32.0,98856149.0,0.0032370267629988295
1a018108-b4b6-457b-ba15-046d5e98c169,astrocyte,1251,48.0,4519745.0,0.1062006816756255
1a018108-b4b6-457b-ba15-046d5e98c169,mural,51,3.0,119757.0,0.2505072772364037
1a018108-b4b6-457b-ba15-046d5e98c169,endothelial,134,24.0,361182.0,0.6644849411100221
1a018108-b4b6-457b-ba15-046d5e98c169,microglia,1057,29.0,2144043.0,0.13525848128978757
77044335-0ac5-4406-9b3f-8cdd3656d67b,oligodendrocyte,6422,146.0,27638717.0,0.052824449123307714
77044335-0ac5-4406-9b3f-8cdd3656d67b,neuron,13666,29.0,81894445.0,0.0035411437247056254
77044335-0ac5-4406-9b3f-8cdd3656d67b,OPC,785,28.0,3414093.0,0.0820129973026511
77044335-0ac5-4406-9b3f-8cdd3656d67b,astrocyte,1141,35.0,2747209.0,0.1274020287499058
77044335-0ac5-4406-9b3f-8cdd3656d67b,mural,36,3.0,134318.0,0.2233505561428848
77044335-0ac5-4406-9b3f-8cdd3656d67b,endothelial,55,29.0,198711.0,1.459405870837548
77044335-0ac5-4406-9b3f-8cdd3656d67b,microglia,824,37.0,1506697.0,0.24557027723556893
adda0684-f8ea-4403-b393-2a25607077c4,endothelial,4,0.0,6593.0,0.0
adda0684-f8ea-4403-b393-2a25607077c4,mural,15,0.0,31019.0,0.0
adda0684-f8ea-4403-b393-2a25607077c4,astrocyte,299,4.0,843462.0,0.04742359466105171
adda0684-f8ea-4403-b393-2a25607077c4,neuron,10529,57.0,149033849.0,0.0038246344962881555
adda0684-f8ea-4403-b393-2a25607077c4,oligodendrocyte,2951,33.0,8341932.0,0.03955918125441445
adda0684-f8ea-4403-b393-2a25607077c4,OPC,204,4.0,572357.0,0.0698864519871339
adda0684-f8ea-4403-b393-2a25607077c4,microglia,185,10.0,306498.0,0.32626640304341303
