gene,baseline_normal,diff_pp_unpaired,se_pp_unpaired,diff_pp_paired,se_pp_paired,sd_of_diff_pp,within_patient_r,n_pairs,t,p,prop_change_paired,mdpc_1se_paired,mdpc_1se_unpaired,mdpc_t_paired
CCL3,0.4952895786923702,-12.620409513306324,4.797531733647306,-13.412314736914075,4.427604928317179,19.299482444457237,0.17744543011657907,19,-3.029248307845694,0.007211397443506933,-0.2707974347516932,0.08939426789488768,0.09686316732755455,0.18781038769158137
CCL4,0.7750015860041255,-16.695071657167336,5.2143165220583505,-18.323936628876872,5.219390424802363,22.75079540859733,-0.07112428029876976,19,-3.5107426610207497,0.002496457283708354,-0.23643740812653422,0.06734683540085787,0.06728136582201256,0.14149045083414769
CCL5,0.740766597823677,-16.333119769160387,5.98076410074811,-17.509568287651607,6.15489959081671,26.828585324009886,-0.046287332012694735,19,-2.844817860843156,0.01075092542473757,-0.23637092086891545,0.08308824410953997,0.08073749705128709,0.17456192333466017
XCL1,0.093011095815247,0.7295793073741508,2.0770658473153185,0.7845118339363718,2.2274622513570494,9.709282854216974,-0.08862829209461333,19,0.3521998334465237,0.7287783260012974,0.08434604786236369,0.23948349730031987,0.22331377015932674,0.5031361577522472
