dataset	compartment	n_donors	n_nk	det_CD69	floor_B_CD69	floor_Erythroid_CD69	det_CD69_min_donor	det_CD69_max_donor	gate_CD69_pass	det_CXCR6	floor_B_CXCR6	floor_Erythroid_CXCR6	det_CXCR6_min_donor	det_CXCR6_max_donor	gate_CXCR6_pass	gate_pass
GSE120221	BM	8	2576	0.6052018633540373	0.7323518320569324	0.3074138776205996	0.47285464098073554	0.7258064516129032	True	0.006211180124223535	0.00042720560627725323	0.000905783902797074	0.0	0.014010507880910628	False	False
GSE233304	BM	7	726	0.8746556473829201	0.7664667742160055	0.1088120618457697	0.8252427184466019	0.9444444444444444	False	0.008264462809917338	0.0009937092068024375	0.019527513684817036	0.0	0.0303030303030303	False	False
GSE233304	BMMC	3	2337	0.858793324775353	0.7697082466510401	0.06980022731246716	0.8310648518815053	0.9532467532467532	False	0.012836970474967825	0.002245570885607127	0.013649676516873537	0.0112089671737389	0.0156472261735419	False	False
GSE233304	PB	8	1212	0.8143564356435643	0.770368633740701		0.6938775510204082	0.926829268292683	True	0.013201320132013163	0.0016427384488870366		0.0	0.048076923076923	False	False
HCA_ICA	BM	8	22362	0.32917449244253644	0.3695323178432038	0.0424403940421306	0.20570415250480273	0.6152073732718893	True	0.004382434487076256	0.00010727406391393793	0.0003166433588404139	0.0008810572687224666	0.008025682182985522	False	False
HCA_ICA	PB	8	32780	0.2533862111043319	0.3251818867600408		0.20314618931380524	0.36053480866758875	True	0.002928615009151884	0.00039650810406668285		0.0011825922421948541	0.006238133984269015	False	False
