outcome	n_donors	slope_per_year	ci_lo	ci_hi	p	r2	datasets	gate_passed_in
frac_ltNK	8	-2.7891384239825468e-05	-0.0002850814952830131	0.00022929872680336216	0.7996144346253111	0.01159978223611402	GSE120221	NONE
frac_bright	8	-0.0019275952356799112	-0.005278818084374089	0.0014236276130142663	0.2089326546980748	0.24820473234789575	GSE120221	NONE
frac_dim	8	0.003983109076890583	-0.0045215222317607825	0.012487740385541948	0.29543567317720326	0.17957901200733184	GSE120221	NONE
