lineage,hours,subcluster,frac_green,frac_red,delta_pp
NK,24,NK 1,0.845360824742268,0.034934497816593885,-81.04263269256742
NK,24,NK 2,0.15463917525773196,0.8951965065502183,74.05573312924864
NK,24,NK 3,0.0,0.06986899563318777,6.986899563318777
NK,24,__TVD__,,,0.8104263269256741
NK,72,NK 1,0.5451388888888888,0.0166270783847981,-52.85118105040907
NK,72,NK 2,0.4548611111111111,0.8859857482185273,43.112463710741615
NK,72,NK 3,0.0,0.09738717339667459,9.73871733966746
NK,72,__TVD__,,,0.5285118105040908
CD8T,24,CD8T 1,0.30597014925373134,0.02127659574468085,-28.46935535090505
CD8T,24,CD8T 2,0.5895522388059702,0.6340425531914894,4.44903143855192
CD8T,24,CD8T 3,0.1044776119402985,0.3446808510638298,24.020323912353128
CD8T,24,__TVD__,,,0.2846935535090505
CD8T,72,CD8T 1,0.26337448559670784,0.00535475234270415,-25.80197332540037
CD8T,72,CD8T 2,0.2839506172839506,0.05220883534136546,-23.174178194258516
CD8T,72,CD8T 3,0.45267489711934156,0.9424364123159303,48.97615151965888
CD8T,72,__TVD__,,,0.48976151519658884
