dataset,comparison,group,gene,role,symbol_used,present,unit,ortholog_note,n,log2FC,ci_lo,ci_hi,p,test,note,mean_log2,linear_cpm,pct_all_genes,pct_expressed_genes,below_1_cpm,near_floor,q_BH,max_effect_still_compatible,informative_null
GSE236394,CD56bright vs CD56dim (blood),1,PIEZO1,channel,PIEZO1,True,moderated log2 CPM (as deposited),,6.0,0.39191071763031077,0.043043659024362024,0.7407777762362595,0.03427690329769128,paired_t,,4.2079524753917585,18.480763757859794,88.48765432098766,87.88127818974084,False,False,0.05876040565318504,0.7407777762362595,False
GSE236394,CD56bright vs CD56dim (blood),1,PIEZO2,channel,PIEZO2,True,moderated log2 CPM (as deposited),,6.0,0.8175495364312718,0.159208043785955,1.4758910290765885,0.02420450279837401,paired_t,,1.2751289652561868,2.4202045154580714,79.51888162672476,78.44010396758657,False,False,0.04670167692235319,1.4758910290765885,False
GSE236394,CD56bright vs CD56dim (blood),1,TRPV2,channel,TRPV2,True,moderated log2 CPM (as deposited),,6.0,0.3907014231064587,0.10980720881385841,0.671595637399059,0.01595101972165853,paired_t,,5.3651010249289,41.215098136475305,92.84313725490196,92.4661723109854,False,False,0.03828244733198047,0.671595637399059,False
GSE236394,CD56bright vs CD56dim (blood),1,TRPV4,channel,TRPV4,True,moderated log2 CPM (as deposited),,6.0,1.4399878702542,-0.013843974439365248,2.893819714947765,0.05150965159947609,paired_t,,-3.1873537089831645,0.10977689096809588,56.49782135076252,54.206482684810034,True,True,0.07726447739921413,2.893819714947765,False
GSE236394,CD56bright vs CD56dim (blood),1,TRPM7,channel,TRPM7,True,moderated log2 CPM (as deposited),,6.0,-0.6595258518667926,-0.9368519591897844,-0.38219974454380085,0.0016976596790245337,paired_t,,6.40130842027591,84.52512973033194,96.30537400145244,96.11077134775628,False,False,0.008148766459317763,0.9368519591897844,False
GSE236394,CD56bright vs CD56dim (blood),1,TRPC1,channel,TRPC1,True,moderated log2 CPM (as deposited),,6.0,2.1889437776194174,1.3990665495319872,2.9788210057068474,0.000845645742542078,paired_t,,-2.1824582026304897,0.2203000606553373,64.30101670297749,62.420686491858426,True,True,0.005073874455252468,2.9788210057068474,False
GSE236394,CD56bright vs CD56dim (blood),1,TRPC6,channel,TRPC6,True,moderated log2 CPM (as deposited),,6.0,1.2011129008772257,-0.33948207306752165,2.741707874821973,0.1014027727194641,paired_t,,-3.9427858907327282,0.06502841675910496,48.87799564270153,46.18530693372067,True,True,0.11864861039274195,2.741707874821973,False
GSE236394,CD56bright vs CD56dim (blood),1,TMEM63A,channel,TMEM63A,True,moderated log2 CPM (as deposited),,6.0,0.5619845120434674,0.24747269948933032,0.8764963245976045,0.005876303873339814,paired_t,,6.250005967692434,76.10957018593699,95.84785766158315,95.62915679229417,False,False,0.020147327565736506,0.8764963245976045,False
GSE236394,CD56bright vs CD56dim (blood),1,TMEM63B,channel,TMEM63B,True,moderated log2 CPM (as deposited),,6.0,-0.4143351258417332,-0.6125164728175772,-0.2161537788658892,0.0030042511895992815,paired_t,,2.1239219591964256,4.358772660060922,82.02251270878722,81.07560584053208,False,False,0.012017004758397126,0.6125164728175772,False
GSE236394,CD56bright vs CD56dim (blood),1,KCNK2,channel,KCNK2,True,moderated log2 CPM (as deposited),,6.0,1.5644401479049306,0.28893434231889503,2.8399459534909663,0.025296741666274644,paired_t,,-4.414013771555337,0.04690827402218353,43.07007988380537,40.07147771577097,True,True,0.04670167692235319,2.8399459534909663,False
GSE236394,CD56bright vs CD56dim (blood),1,KCNK4,channel,KCNK4,True,moderated log2 CPM (as deposited),,6.0,1.0908291290563754,0.028119993238632013,2.153538264874119,0.04605367373434195,paired_t,,-5.144872698174778,0.028264349453892536,31.85366739288308,28.264276431465486,True,True,0.07368587797494713,2.153538264874119,False
GSE236394,CD56bright vs CD56dim (blood),1,YAP1,mechano_downstream,YAP1,True,moderated log2 CPM (as deposited),,6.0,3.2071475864992878,0.916626669043306,5.4976685039552695,0.015554990881216027,paired_t,,-1.6671499741428486,0.3148747607459941,67.4400871459695,65.72509746961242,True,True,0.03828244733198047,5.4976685039552695,False
GSE236394,CD56bright vs CD56dim (blood),1,WWTR1,mechano_downstream,WWTR1,True,moderated log2 CPM (as deposited),,6.0,-0.012631680226854902,-0.37848426779769917,0.35322090734398937,0.9327229675884684,paired_t,,3.468354251719552,11.068242489673391,86.00944081336237,85.2725326809877,False,False,0.9327229675884684,0.37848426779769917,True
GSE236394,CD56bright vs CD56dim (blood),1,ANKRD1,mechano_downstream,ANKRD1,True,moderated log2 CPM (as deposited),,6.0,1.6053492379214447,0.30171049864305166,2.9089879771998377,0.024940308451905036,paired_t,,-2.697677876156827,0.15414095331495567,60.62999273783588,58.556303034936164,True,True,0.04670167692235319,2.9089879771998377,False
GSE236394,CD56bright vs CD56dim (blood),1,CCN2,mechano_downstream,CCN2,True,moderated log2 CPM (as deposited),,6.0,1.844611530695101,-0.3927759724214719,4.081999033811674,0.08758177382342197,paired_t,,-3.778383599237197,0.07287745559556102,50.59368191721133,47.99136151670362,True,True,0.11334990152784263,4.081999033811674,False
GSE236394,CD56bright vs CD56dim (blood),1,IFNG,state_activation,IFNG,True,moderated log2 CPM (as deposited),,6.0,-1.1867177535665998,-2.639254254030946,0.2658187468977462,0.08973533870954209,paired_t,,5.535876696381153,46.39433327240425,93.50762527233115,93.165660117728,False,False,0.11334990152784263,2.639254254030946,False
GSE236394,CD56bright vs CD56dim (blood),1,GZMB,state_activation,GZMB,True,moderated log2 CPM (as deposited),,6.0,0.5173950520455334,-0.07835876807572817,1.113148872166795,0.07592849101714308,paired_t,,11.159469707155443,2287.363135899423,99.9273783587509,99.92355324516474,False,False,0.10719316378890788,1.113148872166795,False
GSE236394,CD56bright vs CD56dim (blood),1,MKI67,state_activation,MKI67,True,moderated log2 CPM (as deposited),,6.0,2.0168042651854523,1.3791623455669189,2.6544461848039855,0.00045685495435999243,paired_t,,1.3870140343599096,2.615368138929341,79.83660130718955,78.77455851999082,False,False,0.003654839634879939,2.6544461848039855,False
GSE236394,CD56bright vs CD56dim (blood),1,ITGA1,state_residency,ITGA1,True,moderated log2 CPM (as deposited),,6.0,2.6995662181331856,0.9991946492189028,4.3999377870474685,0.009529189271183337,paired_t,,0.8561053574659503,1.810145112633543,78.26615831517792,77.12139744667839,False,False,0.02858756781355001,4.3999377870474685,False
GSE236394,CD56bright vs CD56dim (blood),1,CD69,state_residency,CD69,True,moderated log2 CPM (as deposited),,6.0,0.07158601909511979,-0.4964734756648617,0.6396455138551013,0.7590945685549864,paired_t,,10.285447276140081,1248.0389773023699,99.8602033405955,99.85283999694214,False,False,0.7920986802312902,0.6396455138551013,False
GSE236394,CD56bright vs CD56dim (blood),1,ITGAE,state_residency,ITGAE,True,moderated log2 CPM (as deposited),,6.0,-1.1775562874886383,-1.3210327315216897,-1.034079843455587,4.433469942505613e-06,paired_t,,6.346022153135156,81.34727722458427,96.15831517792303,95.95596666921489,False,False,0.00010640327862013471,1.3210327315216897,False
GSE236394,CD56bright vs CD56dim (blood),1,KLF2,state_egress,KLF2,True,moderated log2 CPM (as deposited),,6.0,0.3292457540800117,-0.09697608794517648,0.7554675961052,0.10381753409364922,paired_t,,3.876688317865227,14.689244766148917,87.37291212781409,86.70782050301965,False,False,0.11864861039274195,0.7554675961052,False
