tissue,assay,IL15_nonNK,IL15RA_nonNK,IL2RB_NK,IL2RG_NK,CISH_NK,BCL2_NK,SOCS1_NK,PIM1_NK,CCL3_NK,CCL4_NK,CCL5_NK,XCL1_NK
blood,10x 3' v3,0.008524386834066268,0.031572249413850915,0.5458582173904108,0.7018089151030642,0.006875911958733225,0.12387924125033396,0.1982224254505847,0.29341992231652936,0.3928481884132432,0.6881018927639285,0.7352751803366283,0.0935361392548141
blood,10x 5' v1,0.018497557307763052,0.0638630448389494,0.8396296296296296,0.9171851851851851,0.02725925925925926,0.08555555555555555,0.09503703703703703,0.3991111111111111,0.17881481481481482,0.6860987654320988,0.9065679012345679,0.1885925925925926
blood,10x 5' v2,0.005220417633410673,0.027302649328225327,0.7735266159695817,0.8517110266159695,0.0076045627376425855,0.03231939163498099,0.4757604562737643,0.5090304182509506,0.5812737642585551,0.8973384030418251,0.8887832699619771,0.2647338403041825
bone marrow,10x 3' v3,0.018493044919671502,0.025364810823075616,0.5985942695590436,0.8541969942298884,0.03222830334203362,0.19798056737443748,0.2956187205982255,0.3980773601867412,0.7229178052804438,0.9218373565772291,0.7464330529151066,0.11843424218123497
bone marrow,10x 5' v1,0.025757575757575757,0.030664395229982964,0.7317073170731707,0.7675675675675676,0.02702702702702703,0.10526315789473684,0.3027027027027027,0.3108108108108108,0.6216216216216216,0.8432432432432433,0.7702702702702703,0.20270270270270271
bone marrow,10x 5' v2,0.026287214232831535,0.030487385567542012,0.7205255681818181,0.7855113636363636,0.030776515151515152,0.22052556818181818,0.34604978354978355,0.3848248106060606,0.6262175324675325,0.8325892857142857,0.8262310606060606,0.2672991071428571
caecum,10x 5' v1,0.0,0.04402472527472527,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0
duodenum,10x 5' v1,0.0,0.021359223300970873,1.0,0.8125,0.0625,0.4375,0.0625,0.4375,0.625,0.8125,1.0,0.125
ileum,10x 5' v1,0.0,0.037037037037037035,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
jejunal epithelium,10x 3' v3,0.03713121816520872,0.01836903228594002,0.6964285714285714,0.53125,0.004464285714285714,0.049107142857142856,0.0625,0.28125,0.14732142857142858,0.9196428571428572,0.7991071428571428,0.5
jejunal epithelium,10x 5' v2,0.01877313590692755,0.015557027027436554,0.7423076923076923,0.8,0.11483516483516484,0.08571428571428572,0.19065934065934068,0.23461538461538461,0.41538461538461535,0.47307692307692306,0.6879120879120879,0.7428571428571429
jejunum lamina propria,10x 3' v3,0.04195142390032677,0.03848127896473055,0.8086363636363636,0.7895454545454546,0.0,0.10318181818181818,0.19727272727272727,0.40272727272727277,0.6090909090909091,0.7213636363636363,0.7672727272727272,0.21727272727272728
jejunum lamina propria,10x 5' v2,0.05127641077675957,0.04369008360550042,0.5833333333333333,0.6666666666666667,0.041666666666666664,0.20833333333333331,0.3810606060606061,0.5,0.5,0.5,0.4166666666666667,0.4772727272727273
liver,10x 5' v1,0.021409455842997322,0.031222123104371096,0.7872340425531915,0.84375,0.07801418439716312,0.09523809523809523,0.11330049261083744,0.4326241134751773,0.7586206896551724,0.8652482269503546,0.75,0.603448275862069
liver,10x 5' v2,0.0330710416477528,0.06475395096129,0.8244151546541549,0.8862833787210507,0.061742372754245434,0.20264639296545067,0.3881402128926116,0.50352243059429,0.7484996273676218,0.858608511017263,0.8525289786123076,0.37462139144211076
lung,10x 3' v3,0.017984920589415747,0.03045395906198039,0.6798914809434612,0.7749746741083374,0.02001103826598876,0.25007167705187505,0.3546365495622921,0.4722633701594098,0.7643377996100769,0.8995720880003059,0.7422744084253985,0.15441148361940443
lung,10x 5' v1,0.025871459694989107,0.06467685758513932,0.6354166666666666,0.7083333333333333,0.08660130718954248,0.028594771241830064,0.17241379310344826,0.5,0.5049019607843137,0.8511029411764706,0.7929766734279919,0.3771551724137931
