gene,observed_r,inter_donor_sd_pp,tech_case,tech_sd_pp,sd_ratio,reliability,corrected_r
CCL3,0.177445430116579,14.958932592045976,mean tech,3.244369447812518,0.2168850904199961,0.9529608575535101,0.18620432173061757
CCL3,0.177445430116579,14.958932592045976,worst tech,5.819401847848722,0.38902520698188303,0.848659388332703,0.20908910283216525
CCL4,-0.0711242802987697,16.199556916326046,mean tech,2.1226924959326614,0.13103398487358592,0.9828300948081489,-0.07236681159285559
CCL4,-0.0711242802987697,16.199556916326046,worst tech,2.2629966853389547,0.1396949741914415,0.9804853141856524,-0.07253987313195238
CCL5,-0.0462873320126947,18.672584977136893,mean tech,2.8062732772942223,0.15028841913052116,0.9774133910752488,-0.04735696526704446
CCL5,-0.0462873320126947,18.672584977136893,worst tech,4.512921404670216,0.2416870192421634,0.9415873847298382,-0.049158827702407606
XCL1,-0.0886282920946133,6.485554660857187,mean tech,2.1590925291826455,0.3329079226197256,0.8891723150570188,-0.09967504677530356
XCL1,-0.0886282920946133,6.485554660857187,worst tech,2.3739203005388534,0.3660319625191618,0.8660206024143708,-0.10233970398340098
