dataset,gene,lineage,condition,n_donors,n_cells_total,det_pooled,det_pooled_lo95,det_pooled_hi95,det_donor_median,det_donor_q1,det_donor_q3,cpm_donor_median,cpm_donor_q1,cpm_donor_q3,donors_zero_count,umi_per_cell_median,band_pooled,band_donor_median,donors_in_floor_band,source
GSE154826,TRPM7,CD8T,Normal,27,11495,0.051930563077213665,0.03805033614123185,0.06397914296283137,0.05014595718904902,0.028044346205037818,0.06954472163537367,23.76665894250251,18.439326951498742,30.185338732034133,0,2086.4798534798533,measurable,measurable,13,"pseudobulk_raw (balanced, raw counts)"
GSE154826,TRPM7,CD4T,Tumor,27,7559,0.06065684063767429,0.04844106812317332,0.06896721156984409,0.04937242895879712,0.03721917520428197,0.0732914114755322,17.29086696406958,15.197328882753656,24.703880159029445,0,2635.1960784313724,measurable,floor,14,"pseudobulk_raw (balanced, raw counts)"
GSE154826,TRPM7,CD4T,Normal,27,11495,0.05522389692669083,0.03883955354065713,0.06992815544111466,0.05193606150660446,0.03853735693231708,0.07330539013568566,21.370318230751355,16.488549189895505,27.28488737396161,0,2618.294498381877,measurable,measurable,13,"pseudobulk_raw (balanced, raw counts)"
GSE154826,TRPM7,B,Tumor,27,7559,0.0651198589788684,0.0462619667666784,0.08299530864549964,0.04596872354708459,0.03718806256573465,0.061872523447292604,9.152501264189237,7.46992982118005,14.618128629589446,0,5167.088607594937,measurable,floor,15,"pseudobulk_raw (balanced, raw counts)"
GSE154826,TRPM7,B,Normal,27,11495,0.05259014697053965,0.03904402262195316,0.06668577632670723,0.043215127884950855,0.03735022528796128,0.059266504194084635,15.845760250766359,14.022330722640548,19.279428436614303,0,3175.8724035608307,measurable,floor,17,"pseudobulk_raw (balanced, raw counts)"
GSE154826,TRPM7,Myeloid,Tumor,27,7559,0.09553358618418395,0.07661024344219354,0.10899116610682545,0.08386472114790122,0.0689399107477664,0.10686919002504391,13.157523754029492,12.062454396007283,17.9309575242103,0,5761.231481481482,measurable,measurable,3,"pseudobulk_raw (balanced, raw counts)"
GSE154826,TRPM7,Myeloid,Normal,27,11495,0.0838757741701891,0.0699340105864772,0.09609699176582864,0.08076228800606455,0.061519700583757275,0.10023402197786985,13.23727484222823,10.706553103797521,15.96582619928851,0,6278.738853503185,measurable,measurable,2,"pseudobulk_raw (balanced, raw counts)"
GSE154826,TRPC1,NK,Tumor,27,7559,0.0006612444379758831,0.0001510636836266982,0.0011597283031350187,0.0,0.0,0.0,0.0,0.0,0.0,23,1684.3950617283951,floor,floor,27,"pseudobulk_raw (balanced, raw counts)"
GSE154826,TRPC1,NK,Normal,27,11495,0.0011302872334222336,0.00027560981795280993,0.0019358093459411168,0.0,0.0,0.0,0.0,0.0,0.0,22,1802.787162162162,floor,floor,27,"pseudobulk_raw (balanced, raw counts)"
GSE154826,TRPC1,CD8T,Tumor,27,7559,0.0017183261910713732,0.00079547845873153,0.002425421205397052,0.0,0.0,0.001823824163939447,0.0,0.0,0.6728405729322351,19,2210.1570512820513,floor,floor,27,"pseudobulk_raw (balanced, raw counts)"
GSE154826,TRPC1,CD8T,Normal,27,11495,0.0017383741815769627,0.00094529160753766,0.002519693399844724,0.0,0.0,0.003299574592868171,0.0,0.0,1.3904502948771402,16,2086.4798534798533,floor,floor,27,"pseudobulk_raw (balanced, raw counts)"
GSE154826,TRPC1,CD4T,Tumor,27,7559,0.0017183261910713732,0.0009210636253044579,0.002454601175877155,0.0,0.0,0.002125633090108825,0.0,0.0,0.7335627228682899,18,2635.1960784313724,floor,floor,27,"pseudobulk_raw (balanced, raw counts)"
GSE154826,TRPC1,CD4T,Normal,27,11495,0.0021724953427347815,0.0014241983507629092,0.0030189611097034288,0.0016168145222036356,0.0,0.003512218639784459,0.6180064841240315,0.0,1.5605690469214886,12,2618.294498381877,floor,floor,27,"pseudobulk_raw (balanced, raw counts)"
GSE154826,TRPC1,B,Tumor,27,7559,0.001982421870432738,0.0009184415821942293,0.003390384497889112,0.0,0.0,0.0023779098353052253,0.0,0.0,0.3854928819725971,18,5167.088607594937,floor,floor,27,"pseudobulk_raw (balanced, raw counts)"
GSE154826,TRPC1,B,Normal,27,11495,0.0032136160251996504,0.0015820965820478427,0.004905997938284667,0.0,0.0,0.004027898650365014,0.0,0.0,0.9318472734763885,14,3175.8724035608307,floor,floor,27,"pseudobulk_raw (balanced, raw counts)"
GSE154826,TRPC1,Myeloid,Tumor,27,7559,0.0026423554429729768,0.0007673927519291718,0.004972116356872921,0.0,0.0,0.0020319123004701733,0.0,0.0,0.30834533995823515,19,5761.231481481482,floor,floor,27,"pseudobulk_raw (balanced, raw counts)"
GSE154826,TRPC1,Myeloid,Normal,27,11495,0.0009564800800819784,0.0002948282583199097,0.0015281975339858503,0.0,0.0,0.0,0.0,0.0,0.0,21,6278.738853503185,floor,floor,27,"pseudobulk_raw (balanced, raw counts)"
GSE154826,TMEM63A,NK,Tumor,27,7559,0.03903768200241464,0.03207606215026627,0.047365671876754396,0.03493088221031959,0.02575722049317447,0.04371433518833007,21.228819608636098,13.958750534069068,27.113756801057384,1,1684.3950617283951,floor,floor,22,"pseudobulk_raw (balanced, raw counts)"
GSE154826,TMEM63A,NK,Normal,27,11495,0.03663274480898593,0.03153858071821186,0.04209891000006638,0.037573781960138275,0.028752801879897316,0.04603229874470066,23.07461561536154,16.051451887486923,26.351590856818213,0,1802.787162162162,floor,floor,21,"pseudobulk_raw (balanced, raw counts)"
GSE154826,TMEM63A,CD8T,Tumor,27,7559,0.054672989322669285,0.044788540400281025,0.06809026043895257,0.05198426181613791,0.03466034335483592,0.06883806539586607,24.15052678336546,16.763048464319294,31.226484362805174,0,2210.1570512820513,measurable,measurable,13,"pseudobulk_raw (balanced, raw counts)"
GSE154826,TMEM63A,CD8T,Normal,27,11495,0.04622255782997731,0.034751415797930785,0.05997673869479451,0.053122123913974306,0.03242562522789627,0.06982688394852016,23.76665894250251,17.13277158257024,33.28028520426369,0,2086.4798534798533,floor,measurable,13,"pseudobulk_raw (balanced, raw counts)"
GSE154826,TMEM63A,CD4T,Tumor,27,7559,0.08033079705490775,0.06745366012576055,0.09608180899869381,0.0787122328789307,0.0529534685014057,0.10273091863798994,27.9464657502089,22.857198098353965,39.00871437309546,0,2635.1960784313724,measurable,measurable,6,"pseudobulk_raw (balanced, raw counts)"
GSE154826,TMEM63A,CD4T,Normal,27,11495,0.06014245986103428,0.04505880550020948,0.07806403477780664,0.06390446073485923,0.04349316814883031,0.09068879701728577,24.79363724429348,17.906949693309375,37.02272768650644,0,2618.294498381877,measurable,measurable,10,"pseudobulk_raw (balanced, raw counts)"
GSE154826,TMEM63A,B,Tumor,27,7559,0.05617251632169262,0.05038773511967265,0.0619601918002488,0.05216176414534157,0.04052266578593816,0.06873087705809705,9.893153937475267,6.408337116521098,16.410385402208593,0,5167.088607594937,measurable,measurable,11,"pseudobulk_raw (balanced, raw counts)"
GSE154826,TMEM63A,B,Normal,27,11495,0.0470519294665378,0.03964151057187707,0.05583995343191015,0.055712723460846325,0.03583759722497093,0.06346730173390891,17.633859361154666,13.469220772252275,20.59534871300068,0,3175.8724035608307,floor,measurable,12,"pseudobulk_raw (balanced, raw counts)"
GSE154826,TMEM63A,Myeloid,Tumor,27,7559,0.10694775945104018,0.08219924524238015,0.1362433684503752,0.08191939340685273,0.06292253315210661,0.11234757820445823,14.725439321674028,11.240008578624419,19.327928992879002,0,5761.231481481482,measurable,measurable,4,"pseudobulk_raw (balanced, raw counts)"
GSE154826,TMEM63A,Myeloid,Normal,27,11495,0.10949224025829973,0.08416812767030332,0.14437693673109397,0.10933728849955693,0.06292440371775604,0.16800129378090306,18.26243854689429,14.847295180876973,22.6925558859716,0,6278.738853503185,measurable,measurable,4,"pseudobulk_raw (balanced, raw counts)"
GSE154826,TMEM63B,NK,Tumor,27,7559,0.014968205812707414,0.011075680262468694,0.019132919264216376,0.012048046148026681,0.00570159766625894,0.02466418337136672,5.914692391635442,3.8782538147912415,14.136506253110056,4,1684.3950617283951,floor,floor,26,"pseudobulk_raw (balanced, raw counts)"
GSE154826,TMEM63B,NK,Normal,27,11495,0.01493733618626869,0.00969748633282958,0.019248787322646402,0.009433891964903296,0.0016474449650985545,0.017559791708617045,5.127692358969231,1.389444666755591,10.454333204829812,7,1802.787162162162,floor,floor,27,"pseudobulk_raw (balanced, raw counts)"
GSE154826,TMEM63B,CD8T,Tumor,27,7559,0.009872887219355642,0.008031463938235265,0.011773931243137914,0.007272695099806992,0.003990031228031932,0.01466769036705251,3.450804468791787,1.828435242657096,5.08795835181345,5,2210.1570512820513,floor,floor,27,"pseudobulk_raw (balanced, raw counts)"
GSE154826,TMEM63B,CD8T,Normal,27,11495,0.009437567611406017,0.006921030995491448,0.011854488271995695,0.010083947729413456,0.005096531075768518,0.013401114584453977,4.435383121001687,3.234780256574956,6.051388814083352,0,2086.4798534798533,floor,floor,26,"pseudobulk_raw (balanced, raw counts)"
GSE154826,TMEM63B,CD4T,Tumor,27,7559,0.010658494514369288,0.00874373363709463,0.012378016243003713,0.008510586709241985,0.005701579209909546,0.01572995958793033,3.4084241637796504,2.498095295031278,4.439259121810517,4,2635.1960784313724,floor,floor,27,"pseudobulk_raw (balanced, raw counts)"
GSE154826,TMEM63B,CD4T,Normal,27,11495,0.010901431503581915,0.008872670315240572,0.012569583729169323,0.009389602049280077,0.006763820979144519,0.013413619780146435,4.07273082711054,3.15170059277031,5.554930429337954,1,2618.294498381877,floor,floor,27,"pseudobulk_raw (balanced, raw counts)"
GSE154826,TMEM63B,B,Tumor,27,7559,0.027656398824149053,0.01842763935079845,0.03789662740995262,0.017543405700095605,0.007195051334428326,0.04273759878755817,3.0980867829615297,1.8631676018861034,6.414797152460938,2,5167.088607594937,floor,floor,23,"pseudobulk_raw (balanced, raw counts)"
GSE154826,TMEM63B,B,Normal,27,11495,0.03721921874715228,0.026755536680137144,0.04842397437373257,0.025766642880344914,0.01805370196409345,0.04526046647215387,10.939677252171867,5.805721835631383,14.29304976666917,2,3175.8724035608307,floor,floor,21,"pseudobulk_raw (balanced, raw counts)"
GSE154826,TMEM63B,Myeloid,Tumor,27,7559,0.05841734807220711,0.04192281966234442,0.0732363369987867,0.04218769908931086,0.03210465851420119,0.07279930440077237,7.650093713647992,5.381795817224322,11.28751196248084,0,5761.231481481482,measurable,floor,15,"pseudobulk_raw (balanced, raw counts)"
GSE154826,TMEM63B,Myeloid,Normal,27,11495,0.03830743757278665,0.026558245197192958,0.04905089047379828,0.03921056084767682,0.01944829616893884,0.048650073627853674,4.628803057655048,4.023185499590667,7.11321637429821,0,6278.738853503185,floor,floor,20,"pseudobulk_raw (balanced, raw counts)"
GSE154826,KCNK2,NK,Tumor,27,7559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,1684.3950617283951,floor,floor,27,"pseudobulk_raw (balanced, raw counts)"
GSE154826,KCNK2,NK,Normal,27,11495,0.0002609489829925593,0.0,0.0005982814362852889,0.0,0.0,0.0,0.0,0.0,0.0,25,1802.787162162162,floor,floor,27,"pseudobulk_raw (balanced, raw counts)"
GSE154826,KCNK2,CD8T,Tumor,27,7559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,2210.1570512820513,floor,floor,27,"pseudobulk_raw (balanced, raw counts)"
GSE154826,KCNK2,CD8T,Normal,27,11495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,2086.4798534798533,floor,floor,27,"pseudobulk_raw (balanced, raw counts)"
GSE154826,KCNK2,CD4T,Tumor,27,7559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,2635.1960784313724,floor,floor,27,"pseudobulk_raw (balanced, raw counts)"
GSE154826,KCNK2,CD4T,Normal,27,11495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,2618.294498381877,floor,floor,27,"pseudobulk_raw (balanced, raw counts)"
GSE154826,KCNK2,B,Tumor,27,7559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,5167.088607594937,floor,floor,27,"pseudobulk_raw (balanced, raw counts)"
GSE154826,KCNK2,B,Normal,27,11495,8.699056146921347e-05,0.0,0.0003263321717910827,0.0,0.0,0.0,0.0,0.0,0.0,26,3175.8724035608307,floor,floor,27,"pseudobulk_raw (balanced, raw counts)"
GSE154826,KCNK2,Myeloid,Tumor,27,7559,0.00026455026300720164,0.0,0.0007397273636729758,0.0,0.0,0.0,0.0,0.0,0.0,26,5761.231481481482,floor,floor,27,"pseudobulk_raw (balanced, raw counts)"
GSE154826,KCNK2,Myeloid,Normal,27,11495,8.699056146921347e-05,0.0,0.0003124943149312692,0.0,0.0,0.0,0.0,0.0,0.0,26,6278.738853503185,floor,floor,27,"pseudobulk_raw (balanced, raw counts)"
GSE154826,KCNK4,NK,Tumor,27,7559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,1684.3950617283951,floor,floor,27,"pseudobulk_raw (balanced, raw counts)"
GSE154826,KCNK4,NK,Normal,27,11495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,1802.787162162162,floor,floor,27,"pseudobulk_raw (balanced, raw counts)"
GSE154826,KCNK4,CD8T,Tumor,27,7559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,2210.1570512820513,floor,floor,27,"pseudobulk_raw (balanced, raw counts)"
GSE154826,KCNK4,CD8T,Normal,27,11495,8.699056146921347e-05,0.0,0.0003243956839475534,0.0,0.0,0.0,0.0,0.0,0.0,26,2086.4798534798533,floor,floor,27,"pseudobulk_raw (balanced, raw counts)"
GSE154826,KCNK4,CD4T,Tumor,27,7559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,2635.1960784313724,floor,floor,27,"pseudobulk_raw (balanced, raw counts)"
GSE154826,KCNK4,CD4T,Normal,27,11495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,2618.294498381877,floor,floor,27,"pseudobulk_raw (balanced, raw counts)"
GSE154826,KCNK4,B,Tumor,27,7559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,5167.088607594937,floor,floor,27,"pseudobulk_raw (balanced, raw counts)"
GSE154826,KCNK4,B,Normal,27,11495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,3175.8724035608307,floor,floor,27,"pseudobulk_raw (balanced, raw counts)"
GSE154826,KCNK4,Myeloid,Tumor,27,7559,0.00013228388101615973,0.0,0.0004914317513477039,0.0,0.0,0.0,0.0,0.0,0.0,26,5761.231481481482,floor,floor,27,"pseudobulk_raw (balanced, raw counts)"
GSE154826,KCNK4,Myeloid,Normal,27,11495,8.699056146921347e-05,0.0,0.0002480053670766894,0.0,0.0,0.0,0.0,0.0,0.0,26,6278.738853503185,floor,floor,27,"pseudobulk_raw (balanced, raw counts)"
