mean_pairwise_r,min_pairwise_r,max_pairwise_r,r_NK_vs_rest,frac_ge4_concordant,n_genes,median_abs_lfc_NK,group,draw,n_patients
0.2912834611682026,0.12186057115164266,0.6502202555285232,0.28496652803709693,0.0037569060773480663,4525,0.14926679507291446,shared_soup,-1,7
0.547777173168648,0.30325984153781477,0.9048431997803162,0.5925881976446411,0.025193370165745858,4525,0.17214758703500524,separate_full,-1,19
0.49245834081717027,0.28862282189294775,0.8142861187768923,0.6326494556218132,0.02298342541436464,4525,0.2775707951893967,separate_matched,0,7
0.4482736746042998,0.22658037090141403,0.8129173606658581,0.4774354502905313,0.01701657458563536,4525,0.22013158611921488,separate_matched,1,7
0.43292570212184567,0.23469815018979942,0.7895846463607529,0.4593922335925889,0.009723756906077349,4525,0.1834335463143679,separate_matched,2,7
0.46129585402648887,0.21707914217391827,0.7886568018752595,0.5118367373685516,0.020773480662983426,4525,0.25433844747981393,separate_matched,3,7
0.4986428794414034,0.2554424091895883,0.8644343512487254,0.4927268331305939,0.02983425414364641,4525,0.27063533188758554,separate_matched,4,7
0.512852612378865,0.2799373676519335,0.8150311670055849,0.5098397335773582,0.029613259668508286,4525,0.2433703224542117,separate_matched,5,7
0.5488315643120496,0.3425942478408028,0.875143369995913,0.5653080681936861,0.03602209944751381,4525,0.2667881968581242,separate_matched,6,7
0.47135499612643084,0.28854202912978877,0.8178461937145073,0.4341252015016645,0.011933701657458563,4525,0.18673045573795938,separate_matched,7,7
0.5312628825419932,0.3367954370982935,0.8585580535563281,0.569552661466488,0.03160220994475138,4525,0.25567419975638983,separate_matched,8,7
0.5833205358588198,0.40957853304796393,0.8698882459404945,0.6852740820395653,0.03248618784530387,4525,0.20204627673790243,separate_matched,9,7
0.5165625944160285,0.26283120074997035,0.8058743655916192,0.6780494960828,0.018121546961325966,4525,0.15369329039946722,separate_matched,10,7
0.5318546496012241,0.22166673784858107,0.8738572620923085,0.6521510651120106,0.02121546961325967,4525,0.19096942094057312,separate_matched,11,7
0.39298095758288254,0.08854484776546312,0.778749246939104,0.3867616711881862,0.015027624309392265,4525,0.25827363653750185,separate_matched,12,7
0.492807704340136,0.22040077965168695,0.8396211845175389,0.5572714516238428,0.018342541436464087,4525,0.18479782469402378,separate_matched,13,7
0.4177008400754364,0.16095631197957824,0.74427954732182,0.4226572751106159,0.014143646408839779,4525,0.23083081914435058,separate_matched,14,7
0.5212663537204996,0.28718221852304154,0.8605414754387283,0.5909356535895037,0.030718232044198896,4525,0.24976857998632437,separate_matched,15,7
0.5709364173613583,0.1992861746119544,0.8819092084962513,0.7662456213077393,0.025193370165745858,4525,0.20778259979953248,separate_matched,16,7
0.42137304109205365,0.1611505929206848,0.7966557211649875,0.4650676393069858,0.017900552486187844,4525,0.26509138049602576,separate_matched,17,7
0.5091948304475756,0.30100716401772215,0.8580375104842723,0.5775248344625601,0.011712707182320443,4525,0.19150851563067947,separate_matched,18,7
0.5528075868417066,0.2999783868696722,0.8688510249904284,0.6552613305156751,0.02585635359116022,4525,0.20790366083470962,separate_matched,19,7
0.4898563880652593,0.24085766403482614,0.8382055038341932,0.4769365732631334,0.02850828729281768,4525,0.2473025899884806,separate_matched,20,7
0.43885648074922373,0.19832947021074662,0.7968139442100757,0.4744107133663445,0.017458563535911603,4525,0.19698392224391242,separate_matched,21,7
0.5066407090183092,0.2610979589671172,0.8494953509079302,0.5329667134313478,0.03425414364640884,4525,0.2450606764598118,separate_matched,22,7
0.495751175571203,0.25698724791648486,0.8492118164148587,0.4664057551790684,0.035138121546961325,4525,0.28040467445052103,separate_matched,23,7
0.42138170794029256,0.0716027798292507,0.7529684011493706,0.5443654175826447,0.016574585635359115,4525,0.2209197538738642,separate_matched,24,7
