gene,direction,green,red,delta_pp,cd8t_green,cd8t_red,cd8t_delta_pp,T_diff_pp,cosynchronous_with_CD8T,n_pos_green,n_pos_red,ceiling_touched,f,green_24h,red_24h,f_24h,dir_24h,green_72h,red_72h,f_72h,dir_72h,dir_stable,f_lo,f_hi
Mrpl15,fall,0.21558441558441563,0.20769230769230818,0.7892107892107453,0.27320954907161776,0.2586558044806506,1.4553744590967144,-0.6661636698859691,True,83,135,False,0.009960912873533685,0.15463917525773196,0.18777292576419222,0.17645648525533475,rise,0.23611111111111074,0.21852731591448948,0.022500844309354263,fall,False,0.0017770531,0.1910297
Lypla1,rise,0.15844155844155847,0.16615384615384649,-0.7712287712288018,0.2546419098143234,0.18533604887983657,6.930586093448682,-7.701814864677483,False,61,108,False,0.04641654641654813,0.11340206185567012,0.19213973799126646,0.4097938144329899,rise,0.17361111111111097,0.15201900237529686,0.025462962962962847,fall,False,0.0020725233,0.28039175
Tcea1,rise,0.27792207792207796,0.3246153846153855,-4.669330669330757,0.4164456233421744,0.35743380855397194,5.901181478820244,-10.570512148151,False,107,211,False,0.14384194005047313,0.2577319587628865,0.3144104803493453,0.18026918671248682,rise,0.2847222222222217,0.3301662707838485,0.13763988808953131,rise,True,0.007373553,0.3003972
Atp6v1h,fall,0.23116883116883122,0.1492307692307695,8.193806193806171,0.18567639257294427,0.1670061099796331,1.867028259331116,6.326777934475055,False,89,97,False,0.09631056104835467,0.2577319587628865,0.16157205240174674,0.11469072164948442,fall,0.2222222222222219,0.14251781472684077,0.09295167743921177,fall,True,0.041275375,0.15148868
Rb1cc1,fall,0.5142857142857143,0.34307692307692406,17.120879120879028,0.45092838196286394,0.38798370672097854,6.294467524188541,10.826411596690487,False,198,223,False,0.2606222816995641,0.5567010309278352,0.3144104803493453,0.35340468842340256,fall,0.4999999999999987,0.3586698337292168,0.2203703703703676,fall,True,0.17049977,0.348859
4732440D04Rik,rise,0.09870129870129872,0.14000000000000024,-4.1298701298701515,0.09549071618037143,0.17718940936863503,-8.16986931882636,4.039999188956208,True,38,91,False,0.29499072356215317,0.09278350515463918,0.14410480349344976,0.35613870665417047,rise,0.10069444444444448,0.13776722090261273,0.26909722222222143,rise,True,0.015386808,0.5155804
Pcmtd1,fall,0.3870129870129871,0.3692307692307703,1.778221778221678,0.3315649867374001,0.2688391038696528,6.272588286774727,-4.49436650855305,True,149,240,False,0.028191320874246167,0.3711340206185568,0.3406113537117908,0.04628934252747963,fall,0.3923611111111102,0.38479809976247104,0.012293543543540923,fall,True,0.002361275,0.13292848
Rrs1,rise,0.07012987012987014,0.11692307692307709,-4.6793206793206945,0.09018567639257301,0.08859470468431783,0.15909717082551733,-4.838417850146212,False,27,76,False,0.4002050580997957,0.041237113402061855,0.10917030567685583,0.6222680412371132,rise,0.07986111111111113,0.1211401425178146,0.34075435729847414,rise,True,0.114328295,0.62481964
Vcpip1,fall,0.32467532467532473,0.26615384615384685,5.852147852147787,0.37665782493368644,0.2586558044806506,11.800202045303582,-5.948054193155794,True,125,173,False,0.07974624955756951,0.4020618556701033,0.2925764192139741,0.15476645029909628,fall,0.29861111111111055,0.2517814726840858,0.06258818342151565,fall,True,0.012481848,0.15762189
Snhg6,rise,0.18961038961038965,0.1984615384615389,-0.8851148851149265,0.19893899204244025,0.20366598778004003,-0.47269957375997707,-0.41241531135494947,True,73,129,False,0.04459881204067451,0.19587628865979378,0.2052401746724892,0.04562404035972867,rise,0.1874999999999998,0.19477434679334926,0.037347560975611205,rise,True,0.0017755968,0.26596412
