batch,condition,lineage,n_cells,n_empty_droplets,total_counts,rho,removed_frac,val_before,val_after,est_before,est_after
2,Tumor,NK,53,154153,103807.0,0.026904487956657903,0.024576419820162898,9.633261726087836e-06,3.067306477974598e-06,0.00015413218761740538,5.463958820365404e-06
2,Tumor,CD8T,264,154153,515587.0,0.009479544319977768,0.0088877241594425,9.69768438692209e-06,9.350224121620766e-06,5.4307032566763705e-05,5.951062491951403e-06
2,Tumor,CD4T,415,154153,915504.0,0.010486578975380178,0.009884100420333275,1.5292123245775004e-05,1.2349283956085762e-05,6.007619846554466e-05,1.4678892674290557e-06
2,Tumor,B,203,154153,1021777.0,0.5699291039042765,0.4549368404260421,7.535890903788204e-05,9.695959837179707e-06,0.0001350588239899704,2.522745105784718e-05
2,Tumor,Myeloid,829,154153,7791241.0,0.017923166420579128,0.017897405030019686,5.942570637976671e-05,4.4651274115876146e-05,0.00010267940627173515,8.517215119454629e-06
1,Normal,NK,311,159086,498565.0,0.010887545965959047,0.010561316738722404,1.6046052169727118e-05,1.7264127274805226e-06,8.825328693349915e-05,8.161004194503244e-07
1,Normal,CD8T,474,159086,881401.0,0.011197357914003588,0.010977784446215999,1.5883803172449315e-05,8.95392577049265e-07,9.076458955685323e-05,7.015047696525928e-06
1,Normal,CD4T,528,159086,1037783.0,0.010461048898504547,0.0101220394214796,6.745148070454035e-06,0.0,8.479614717142216e-05,6.6244584340411315e-06
1,Normal,B,400,159086,1380992.0,0.8386506882765055,0.6509631722054638,0.0008421482528501251,0.0003016136836853976,0.0008073906293447029,7.288907733272986e-05
1,Normal,Myeloid,896,159086,6680326.0,0.011191133584710107,0.011146357273269958,9.730064071723447e-06,0.0,9.071413580714474e-05,1.552750419814484e-05
3,Normal,NK,746,213493,1516556.0,0.00743795940750827,0.007347860957953922,4.483843656284371e-05,2.1931790910625167e-05,6.593887729829957e-06,4.3558671123386625e-07
3,Normal,CD8T,547,213493,1285266.0,0.013164685715501436,0.013029872772652662,4.823904156804895e-05,7.353352821312187e-06,1.1670735863237649e-05,7.172426741350211e-07
3,Normal,CD4T,687,213493,1728623.0,0.0058729253113558024,0.005836484859459312,7.636135814460411e-05,5.8419982438519444e-05,5.206456237132099e-06,1.5653830897359721e-06
3,Normal,B,337,213493,1075452.0,1.0,0.765625830397741,0.0020781959585365038,0.0028805785480210274,0.0011195292769923715,0.00024432698412948077
3,Normal,Myeloid,1117,213493,10334507.0,0.011460717057498505,0.011347201923121997,8.99897789028543e-06,8.024046853823133e-06,1.0160136327741614e-05,1.8235011496440693e-06
6,Tumor,NK,85,104379,148958.0,0.16919563113004665,0.16210344437844815,0.0007787430013829401,0.00014428938492787617,0.00627022382147988,0.0002929604074962797
