gene,p_green,p_red,drop_ratio,null_drop,resid,mean_umi,n_pos_green,resid_pct,drop_pct
Mrpl15,0.21558441558441557,0.2076923076923077,0.036607970342909996,0.12481927710843374,-0.08821130676552374,0.24415584415584415,83,0.29948887967951376,0.3581986462218538
Lypla1,0.15844155844155844,0.16615384615384615,-0.048675914249684746,0.10950819672131175,-0.1581841109709965,0.1974025974025974,61,0.2128747064511673,0.21688078463876226
Tcea1,0.2779220779220779,0.32461538461538464,-0.16800862688713172,0.10280373831775705,-0.27081236520488877,0.36363636363636365,107,0.1308191739190496,0.12626053322282083
Atp6v1h,0.23116883116883116,0.14923076923076922,0.35445116681071737,0.12044943820224717,0.23400172860847018,0.2701298701298701,89,0.8789888106092002,0.8901091310954552
Rb1cc1,0.5142857142857142,0.34307692307692306,0.3329059829059829,0.07555555555555547,0.2573504273504274,0.9090909090909091,198,0.8994336234286504,0.8718054979969609
4732440D04Rik,0.0987012987012987,0.14,-0.418421052631579,0.11263157894736861,-0.5310526315789477,0.10649350649350649,38,0.04033706313026661,0.04075148501174195
Pcmtd1,0.38701298701298703,0.36923076923076925,0.045947341249354665,0.08939597315436235,-0.04344863190500768,0.574025974025974,149,0.37422295897223373,0.3764332090067689
Rrs1,0.07012987012987013,0.11692307692307692,-0.6672364672364673,0.1362962962962963,-0.8035327635327636,0.07532467532467532,27,0.013123359580052493,0.01457383616521619
Vcpip1,0.3246753246753247,0.26615384615384613,0.18024615384615392,0.1110400000000002,0.06920615384615372,0.44935064935064933,125,0.632822213012847,0.6560298383754662
Sgk3,0.05714285714285714,0.047692307692307694,0.16538461538461532,0.1509090909090908,0.014475524475524526,0.05974025974025974,22,0.499378367177787,0.6274347285536677
Snhg6,0.18961038961038962,0.19846153846153847,-0.04668071654373023,0.10410958904109581,-0.15079030558482603,0.22337662337662337,73,0.22074872219919878,0.21943638624119355
Cops5,0.2649350649350649,0.2630769230769231,0.007013574660633323,0.1145098039215684,-0.10749622926093508,0.3220779220779221,102,0.27268959801077497,0.29520652023760185
Cspp1,0.24935064935064935,0.2276923076923077,0.08685897435897436,0.08124999999999999,0.005608974358974367,0.4051948051948052,96,0.47755214808675234,0.45586406962287607
Arfgef1,0.43376623376623374,0.38153846153846155,0.12040534315983412,0.08862275449101785,0.03178258866881627,0.6363636363636364,167,0.5488327117005111,0.5318414145600221
Ncoa2,0.3012987012987013,0.20461538461538462,0.3208885941644562,0.09827586206896581,0.22261273209549037,0.4103896103896104,116,0.8689045448266335,0.8608923884514436
Tram1,0.5558441558441558,0.4876923076923077,0.12260963335729683,0.08280373831775711,0.03980589503953971,0.8623376623376623,214,0.5676198369940599,0.5372288990192016
Lactb2,0.12467532467532468,0.09538461538461539,0.2349358974358974,0.11083333333333352,0.12410256410256389,0.15064935064935064,48,0.738085370907584,0.7518303633098494
Eya1,0.21038961038961038,0.1123076923076923,0.4661918328584995,0.09728395061728383,0.3689078822412157,0.2805194805194805,81,0.9613206243956347,0.9571764055808814
Terf1,0.17922077922077922,0.14307692307692307,0.20167224080267562,0.11652173913043483,0.0851505016722408,0.22077922077922077,69,0.6669429479209835,0.697333885895842
Rpl7,0.9688311688311688,0.936923076923077,0.03293462569601974,0.005576407506701961,0.027358218189317777,9.264935064935065,373,0.5358474927476171,0.35142975549108996
Ube2w,0.18181818181818182,0.11538461538461539,0.36538461538461536,0.10342857142857138,0.261956043956044,0.21038961038961038,70,0.9035778422434038,0.9001933968780218
Eloc,0.4857142857142857,0.4369230769230769,0.10045248868778281,0.0780748663101604,0.022377622377622405,0.7246753246753247,187,0.5220334300317724,0.48556430446194226
Tmem70,0.09090909090909091,0.12461538461538461,-0.37076923076923074,0.14514285714285724,-0.515912087912088,0.09610389610389611,35,0.04268545379196022,0.049523414836303355
Mcm3,0.08051948051948052,0.09692307692307692,-0.2037220843672456,0.09935483870967751,-0.30307692307692313,0.10909090909090909,31,0.11023622047244094,0.10512501726757839
