gene,quadrant,reason,delta,NK_log2FC,NK_SE,NK_CI95_lo,NK_CI95_hi,NK_changed,NK_equivalent,NK_TOST_p,CD8T_log2FC,CD8T_SE,CD8T_CI95_lo,CD8T_CI95_hi,CD8T_changed,CD8T_equivalent,CD8T_TOST_p,CD4T_log2FC,CD4T_SE,CD4T_CI95_lo,CD4T_CI95_hi,CD4T_changed,CD4T_equivalent,CD4T_TOST_p,B_log2FC,B_SE,B_CI95_lo,B_CI95_hi,B_changed,B_equivalent,B_TOST_p,Myeloid_log2FC,Myeloid_SE,Myeloid_CI95_lo,Myeloid_CI95_hi,Myeloid_changed,Myeloid_equivalent,Myeloid_TOST_p
FO538757.2,unclassified,no quadrant rule satisfied,0.5,-0.03577916693589038,0.1008196969539668,-0.2410148332482801,0.16945649937649931,False,True,3.0293009870166888e-05,-0.2551377053137094,0.08004734741225993,-0.41795500451502887,-0.09232040611238992,False,False,0.0021847877781684603,-0.0979870581719336,0.07749982440010075,-0.25578538640121184,0.059811270057344657,False,True,5.605511904843148e-06,-0.4076544258035675,0.10121851375973447,-0.6140289495946083,-0.2012799020125266,False,False,0.18428975369833592,0.058022731473466496,0.08866224664310819,-0.12292230436734534,0.23896776731427832,False,True,1.1656405746463598e-05
NOC2L,unclassified,no quadrant rule satisfied,0.5,-0.0379196601151733,0.14318950094586916,-0.32940627953024726,0.2535669592999007,False,True,0.0014263028667976282,-0.0075931519253040185,0.08273996466773027,-0.17588726807922878,0.16070096422862074,False,True,5.433113093395933e-07,0.0022566496540368497,0.0928813252492198,-0.18686013817739056,0.19137343748546426,False,True,3.392542607288389e-06,0.220752353055065,0.08433749028255402,0.04879656405673338,0.3927081420533966,False,False,0.0011767695594332341,0.09613973414993593,0.0781672281632492,-0.06338669831809887,0.2556661666179707,False,True,6.9502231653287555e-06
ISG15,unclassified,no quadrant rule satisfied,0.5,0.5631685837901022,0.18718026075754696,0.1821312795950462,0.944205887985158,True,False,0.6310358996123026,0.6122412111115867,0.12583483861625838,0.3562915859052033,0.86819083631797,True,False,0.8105879503001714,0.4378689645531288,0.12408669334318989,0.18521454995771952,0.6905233791485381,False,False,0.309984580204145,0.7230340045376016,0.1880104836640297,0.3396992509174335,1.1063687581577697,True,False,0.8777718961083213,0.3035817902675978,0.2038306904706723,-0.11240306223828117,0.7195666427734768,False,False,0.17140244167635338
TNFRSF4,Q3,4 lineages moved concordantly,0.5,0.5942302451525441,0.1671950925947088,0.2538761549343961,0.9345843353706921,True,False,0.7115515904371656,1.5126525004615874,0.17986083753227503,1.1468133222028563,1.8784916787203185,True,False,0.9999985953114388,1.593823433871166,0.12165910429863278,1.346111862641197,1.8415350051011352,True,False,0.9999999998696765,0.05478092857696308,0.21354209015627926,-0.38061024175730146,0.49017209891122765,False,True,0.022670475724958138,0.8388906804782461,0.24201687186327706,0.3449741239797783,1.3328072369767139,True,False,0.9142412745910663
SDF4,unclassified,no quadrant rule satisfied,0.5,-0.05584779294824538,0.08010692270027601,-0.218919079148728,0.10722349325223723,False,True,1.9365515705407726e-06,0.08422471992515933,0.06055798827184516,-0.03895098063499293,0.2074004204853116,False,True,3.7376522689434934e-08,0.049659534025657405,0.060877768599473685,-0.07429442568567979,0.1736134937369946,False,True,9.602439461494034e-09,0.40732552415275114,0.1096909109298411,0.1836766217287681,0.6309744265767342,False,False,0.20230490429439282,0.04923596189355125,0.05654892862969375,-0.06617108343936565,0.16464300722646816,False,True,2.9880179108577455e-09
UBE2J2,unclassified,no quadrant rule satisfied,0.5,-0.1450669956609059,0.09677832559257482,-0.34207576217860763,0.051941770856795855,False,True,0.00043408549028910507,-0.08434897340555846,0.08518774050580315,-0.25762189602701935,0.08892394921590242,False,True,1.296774434437895e-05,-0.06661037080922012,0.060271378628411115,-0.1893296525786477,0.05610891096020745,False,True,1.7150367116325466e-08,0.06681190849420043,0.09117670607285804,-0.1190883640714214,0.2527121810598223,False,True,2.1545385905345905e-05,0.052203012271888345,0.06722686916864565,-0.08499595021494488,0.18940197475872156,False,True,1.0272169937877597e-07
CPSF3L,unclassified,no quadrant rule satisfied,0.5,-0.04831055916699673,0.1388700761720513,-0.3310042537040529,0.23438313537005945,False,True,0.0013331950598818021,0.04230602273062801,0.06573586875286495,-0.09140155106156284,0.17601359652281884,False,True,2.825256197343203e-08,0.002111768849750243,0.07810476506097738,-0.15691828636346838,0.1611418240629689,False,True,1.7603107917774345e-07,-0.055160790169749105,0.08672186705568911,-0.2319780872343049,0.12165650689480668,False,True,7.2649949848736335e-06,0.14304781555216892,0.0744947669275476,-0.008983728673377711,0.29507935977771554,False,True,2.0192277512502645e-05
AURKAIP1,unclassified,no quadrant rule satisfied,0.5,0.05676957303261153,0.07932015263987406,-0.10470010869513634,0.21823925476035938,False,True,1.70524543482437e-06,0.0734119467142401,0.05498830686266594,-0.038434952657985855,0.18525884608646606,False,True,2.943586318632587e-09,0.10565572968930542,0.05787511613509727,-0.012184493083919376,0.22349595246253023,False,True,4.9911772800690945e-08,0.3968206906276243,0.09833339853269217,0.196328631011828,0.5973127502434207,False,False,0.15105064033064744,0.11559299690645736,0.05220097126060398,0.009059416117599847,0.22212657769531485,False,False,1.50289363309566e-08
CCNL2,unclassified,no quadrant rule satisfied,0.5,0.18546259303446597,0.11256586507259411,-0.043684399271539276,0.4146095853404712,False,True,0.004326906388315155,-0.13973472941123194,0.07606779344665854,-0.2944575664017289,0.014988107579264998,False,False,1.9760879541457384e-05,-0.020219120283012617,0.06352178952144644,-0.14955660291869327,0.10911836235266803,False,True,6.226566083061601e-09,0.01400671087678503,0.0720839502851972,-0.1329653237887007,0.1609787455422708,False,True,7.294558134634092e-08,0.3231325318618656,0.09084939917973657,0.13772387808767816,0.508541185636053,False,False,0.030406524477386565
MRPL20,unclassified,no quadrant rule satisfied,0.5,0.039915396348386596,0.06808659791467003,-0.09868647126426211,0.1785172639610353,False,True,5.698608816780773e-08,0.1984858547812236,0.0612316626538907,0.07393989215778438,0.3230318174046628,False,False,1.135886770870987e-05,0.15156652366533824,0.05488938501724705,0.039805584072247796,0.2633274632584287,False,False,1.9014396283816012e-07,0.15561667038197122,0.08309275618833717,-0.013801229090040695,0.32503456985398316,False,True,0.00012068522620599171,0.08337017754307799,0.04486689150234915,-0.00819575495170205,0.17493611003785803,False,False,1.0612316742224969e-10
