x,y,rho,lo,hi,excludes_zero
CISH_NK,CCL3_NK,0.49999999999999994,-0.49999999999999994,0.8999999999999998,False
CISH_NK,CCL4_NK,0.09999999999999999,-0.49999999999999994,0.9999999999999999,False
CISH_NK,CCL5_NK,0.39999999999999997,-0.7,0.8999999999999998,False
CISH_NK,XCL1_NK,-0.3,-0.8999999999999998,0.7,False
IL15_nonNK,CCL3_NK,0.19999999999999998,-0.7999999999999999,0.8999999999999998,False
IL15_nonNK,CCL4_NK,0.7,-0.6,0.9999999999999999,False
IL15_nonNK,CCL5_NK,0.7,-0.7,0.8999999999999998,False
IL15_nonNK,XCL1_NK,-0.6,-0.9999999999999999,0.3,False
IL15RA_nonNK,CCL3_NK,0.09999999999999999,-0.8999999999999998,0.8999999999999998,False
IL15RA_nonNK,CCL4_NK,0.09999999999999999,-0.6,0.8999999999999998,False
IL15RA_nonNK,CCL5_NK,0.6,-0.7,0.8999999999999998,False
IL15RA_nonNK,XCL1_NK,-0.3,-0.7,0.49999999999999994,False
IL2RB_NK,CCL3_NK,-0.3,-0.7,0.8999999999999998,False
IL2RB_NK,CCL4_NK,-0.7,-0.8999999999999998,0.7,False
IL2RB_NK,CCL5_NK,-0.9999999999999999,-0.9999999999999999,0.6,False
IL2RB_NK,XCL1_NK,0.8999999999999998,-0.09999999999999999,0.9999999999999999,False
BCL2_NK,CCL3_NK,0.3,-0.8999999999999998,0.9024999999999862,False
BCL2_NK,CCL4_NK,0.3,-0.7999999999999999,0.8999999999999998,False
BCL2_NK,CCL5_NK,-0.3,-0.7,0.8999999999999998,False
BCL2_NK,XCL1_NK,-0.09999999999999999,-0.8999999999999998,0.8999999999999998,False
SOCS1_NK,CCL3_NK,-0.49999999999999994,-0.7999999999999999,0.7,False
SOCS1_NK,CCL4_NK,-0.09999999999999999,-0.7999999999999999,0.8207826816681233,False
SOCS1_NK,CCL5_NK,-0.39999999999999997,-0.8999999999999998,0.7999999999999999,False
SOCS1_NK,XCL1_NK,0.3,-0.6,0.7999999999999999,False
PIM1_NK,CCL3_NK,0.49999999999999994,-0.7,0.8999999999999998,False
PIM1_NK,CCL4_NK,0.09999999999999999,-0.6003896752812773,0.8999999999999998,False
PIM1_NK,CCL5_NK,0.39999999999999997,-0.8999999999999998,0.8999999999999998,False
PIM1_NK,XCL1_NK,-0.3,-0.7999999999999999,0.7999999999999999,False
