set,n,median,iqr,q25,q75,p10,p90,min,max
"no filter, all rise",2040,0.12618931870268946,0.17181795656641696,0.051219097706696026,0.223037054273113,0.0171299624932325,0.33010747296461646,2.1094237467877974e-15,0.8440515307985172
"no filter, dir-stable",1251,0.1818181818181835,0.16969729404721934,0.1095255038503591,0.2792227978975784,0.052778616732106,0.3696969696969685,0.0020202020202046,0.8440515307985172
"OLD filtered, all rise",1261,0.1277056277056283,0.172884640335494,0.0539632781012109,0.2268479184367049,0.0172514053111076,0.3310463121783877,0.00012608750473,0.761771970360928
"OLD filtered, dir-stable",781,0.1786591786591795,0.16736457206564762,0.1114149008885845,0.2787794729542321,0.0576864995469641,0.3668831168831171,0.0020202020202046,0.761771970360928
