library,lineage,n_cells,cd3_triple_pos_n,cd3_triple_pos_pct,cd3_any_pos_pct,batch,patient,probe_pos_frac
GSE154826_amp_batch_ID_11,B,1603,9,0.561447286338116,8.796007485963818,11,403,0.11728009981285091
GSE154826_amp_batch_ID_11,Myeloid,1312,8,0.6097560975609756,10.060975609756099,11,403,0.10518292682926829
GSE154826_amp_batch_ID_14,NK,106,0,0.0,0.0,14,406,0.6037735849056604
GSE154826_amp_batch_ID_14,CD8T,272,107,39.338235294117645,94.48529411764706,14,406,0.8713235294117647
GSE154826_amp_batch_ID_14,CD4T,492,181,36.78861788617886,96.34146341463415,14,406,
GSE154826_amp_batch_ID_14,B,563,18,3.197158081705151,13.321492007104796,14,406,0.2468916518650089
GSE154826_amp_batch_ID_14,Myeloid,969,45,4.643962848297214,26.006191950464398,14,406,0.25077399380804954
GSE154826_amp_batch_ID_15,NK,116,0,0.0,0.0,15,406,0.4482758620689655
GSE154826_amp_batch_ID_15,CD8T,429,193,44.988344988344984,95.1048951048951,15,406,0.8951048951048951
GSE154826_amp_batch_ID_15,CD4T,661,256,38.72919818456884,96.97428139183056,15,406,
GSE154826_amp_batch_ID_15,B,914,47,5.142231947483589,19.36542669584245,15,406,0.3085339168490153
GSE154826_amp_batch_ID_15,Myeloid,1410,57,4.042553191489362,22.5531914893617,15,406,0.21134751773049645
GSE154826_amp_batch_ID_16,NK,370,0,0.0,0.0,16,408,0.6027027027027027
GSE154826_amp_batch_ID_16,CD8T,211,76,36.018957345971565,89.57345971563981,16,408,0.8530805687203792
GSE154826_amp_batch_ID_16,CD4T,395,121,30.632911392405067,96.20253164556962,16,408,
GSE154826_amp_batch_ID_16,B,1147,4,0.34873583260680036,2.964254577157803,16,408,0.11595466434176112
GSE154826_amp_batch_ID_16,Myeloid,1648,4,0.24271844660194172,16.38349514563107,16,408,0.12439320388349515
GSE154826_amp_batch_ID_17,NK,226,0,0.0,0.0,17,408,0.6460176991150443
GSE154826_amp_batch_ID_17,CD8T,652,253,38.80368098159509,93.09815950920245,17,408,0.8496932515337423
GSE154826_amp_batch_ID_17,CD4T,773,358,46.3130659767141,97.15394566623544,17,408,
GSE154826_amp_batch_ID_17,B,1907,86,4.509701101206083,23.964341898269534,17,408,0.21342422653382276
GSE154826_amp_batch_ID_17,Myeloid,1140,30,2.631578947368421,16.403508771929825,17,408,0.25526315789473686
GSE154826_amp_batch_ID_18,NK,189,0,0.0,0.0,18,410,0.5978835978835979
GSE154826_amp_batch_ID_18,CD8T,529,261,49.33837429111531,99.8109640831758,18,410,0.941398865784499
GSE154826_amp_batch_ID_18,CD4T,924,432,46.75324675324675,98.48484848484848,18,410,
GSE154826_amp_batch_ID_18,B,464,31,6.68103448275862,21.336206896551722,18,410,0.34913793103448276
GSE154826_amp_batch_ID_18,Myeloid,2342,100,4.269854824935952,20.79419299743809,18,410,0.20111016225448336
GSE154826_amp_batch_ID_19,NK,530,0,0.0,0.0,19,410,0.35283018867924526
GSE154826_amp_batch_ID_19,CD8T,428,189,44.1588785046729,90.18691588785047,19,410,0.8434579439252337
GSE154826_amp_batch_ID_19,CD4T,1110,499,44.95495495495496,95.4954954954955,19,410,
GSE154826_amp_batch_ID_19,B,2277,50,2.1958717610891525,13.790074659639878,19,410,0.23100570926657882
GSE154826_amp_batch_ID_19,Myeloid,1606,42,2.6151930261519305,18.244084682440846,19,410,0.19115815691158156
GSE154826_amp_batch_ID_22,NK,74,0,0.0,0.0,22,458,0.7162162162162162
GSE154826_amp_batch_ID_22,CD8T,82,31,37.80487804878049,97.5609756097561,22,458,0.8780487804878049
GSE154826_amp_batch_ID_22,CD4T,119,53,44.537815126050425,95.7983193277311,22,458,
GSE154826_amp_batch_ID_22,B,142,9,6.338028169014084,27.464788732394368,22,458,0.6126760563380281
GSE154826_amp_batch_ID_22,Myeloid,126,0,0.0,7.142857142857142,22,458,0.18253968253968253
GSE154826_amp_batch_ID_23,NK,51,0,0.0,0.0,23,458,0.6862745098039216
GSE154826_amp_batch_ID_23,CD8T,94,34,36.17021276595745,93.61702127659575,23,458,0.8617021276595744
GSE154826_amp_batch_ID_23,CD4T,241,104,43.15352697095436,97.5103734439834,23,458,
GSE154826_amp_batch_ID_23,B,81,2,2.4691358024691357,20.98765432098765,23,458,0.2962962962962963
GSE154826_amp_batch_ID_23,Myeloid,156,0,0.0,8.333333333333332,23,458,0.2948717948717949
GSE154826_amp_batch_ID_24,NK,58,0,0.0,0.0,24,460,0.7241379310344828
GSE154826_amp_batch_ID_24,CD8T,86,37,43.02325581395349,100.0,24,460,0.9418604651162791
GSE154826_amp_batch_ID_24,CD4T,323,154,47.6780185758514,98.76160990712074,24,460,
GSE154826_amp_batch_ID_24,B,169,13,7.6923076923076925,25.443786982248522,24,460,0.6745562130177515
GSE154826_amp_batch_ID_24,Myeloid,201,0,0.0,6.965174129353234,24,460,0.12437810945273632
GSE154826_amp_batch_ID_25,NK,26,0,0.0,0.0,25,460,0.8461538461538461
GSE154826_amp_batch_ID_25,CD8T,72,32,44.44444444444444,95.83333333333334,25,460,0.875
GSE154826_amp_batch_ID_25,CD4T,236,127,53.813559322033896,99.15254237288136,25,460,
GSE154826_amp_batch_ID_25,B,40,2,5.0,37.5,25,460,0.475
GSE154826_amp_batch_ID_25,Myeloid,104,1,0.9615384615384616,8.653846153846153,25,460,0.3173076923076923
GSE154826_amp_batch_ID_26,NK,20,0,0.0,0.0,26,464,0.7
GSE154826_amp_batch_ID_26,CD8T,42,13,30.952380952380953,95.23809523809523,26,464,0.9047619047619048
GSE154826_amp_batch_ID_26,CD4T,130,64,49.23076923076923,96.92307692307692,26,464,
GSE154826_amp_batch_ID_26,B,76,6,7.894736842105263,31.57894736842105,26,464,0.6447368421052632
GSE154826_amp_batch_ID_26,Myeloid,95,0,0.0,18.947368421052634,26,464,0.25263157894736843
GSE154826_amp_batch_ID_27,NK,6,0,0.0,0.0,27,464,0.6666666666666666
GSE154826_amp_batch_ID_27,CD8T,21,13,61.904761904761905,100.0,27,464,1.0
GSE154826_amp_batch_ID_27,CD4T,116,78,67.24137931034483,98.27586206896551,27,464,
GSE154826_amp_batch_ID_27,B,28,0,0.0,21.428571428571427,27,464,0.25
GSE154826_amp_batch_ID_27,Myeloid,48,1,2.083333333333333,22.916666666666664,27,464,0.4166666666666667
GSE154826_amp_batch_ID_28,NK,157,0,0.0,0.0,28,514,0.4840764331210191
GSE154826_amp_batch_ID_28,CD8T,329,169,51.3677811550152,96.96048632218846,28,514,0.9331306990881459
GSE154826_amp_batch_ID_28,CD4T,745,270,36.241610738255034,96.7785234899329,28,514,
GSE154826_amp_batch_ID_28,B,708,15,2.11864406779661,14.26553672316384,28,514,0.3107344632768362
GSE154826_amp_batch_ID_28,Myeloid,993,15,1.5105740181268883,15.911379657603222,28,514,0.23564954682779457
GSE154826_amp_batch_ID_29,NK,140,0,0.0,0.0,29,514,0.4714285714285714
GSE154826_amp_batch_ID_29,CD8T,360,142,39.44444444444444,93.88888888888889,29,514,0.8861111111111111
GSE154826_amp_batch_ID_29,CD4T,744,241,32.39247311827957,95.83333333333334,29,514,
GSE154826_amp_batch_ID_29,B,555,17,3.063063063063063,28.64864864864865,29,514,0.2918918918918919
GSE154826_amp_batch_ID_29,Myeloid,985,26,2.6395939086294415,12.18274111675127,29,514,0.1736040609137056
GSE154826_amp_batch_ID_30,NK,153,0,0.0,0.0,30,522,0.7189542483660131
GSE154826_amp_batch_ID_30,CD8T,389,146,37.53213367609254,96.91516709511568,30,522,0.9357326478149101
GSE154826_amp_batch_ID_30,CD4T,680,191,28.08823529411765,96.17647058823529,30,522,
GSE154826_amp_batch_ID_30,B,835,20,2.3952095808383236,12.574850299401197,30,522,0.21916167664670658
GSE154826_amp_batch_ID_30,Myeloid,1163,20,1.7196904557179709,14.187446259673258,30,522,0.15563198624247634
GSE154826_amp_batch_ID_31,NK,133,0,0.0,0.0,31,522,0.6541353383458647
GSE154826_amp_batch_ID_31,CD8T,762,287,37.664041994750654,96.98162729658793,31,522,0.9422572178477691
GSE154826_amp_batch_ID_31,CD4T,839,283,33.730631704410015,95.47079856972587,31,522,
GSE154826_amp_batch_ID_31,B,1149,96,8.355091383812011,29.50391644908616,31,522,0.33246301131418626
GSE154826_amp_batch_ID_31,Myeloid,1901,99,5.207785376117833,24.1977906365071,31,522,0.26196738558653343
GSE154826_amp_batch_ID_32,NK,857,0,0.0,0.0,32,532,0.691948658109685
GSE154826_amp_batch_ID_32,CD8T,414,80,19.32367149758454,91.54589371980676,32,532,0.8188405797101449
GSE154826_amp_batch_ID_32,CD4T,354,89,25.141242937853107,92.09039548022598,32,532,
GSE154826_amp_batch_ID_32,B,303,0,0.0,8.91089108910891,32,532,0.24752475247524752
GSE154826_amp_batch_ID_32,Myeloid,1035,0,0.0,4.057971014492753,32,532,0.06376811594202898
GSE154826_amp_batch_ID_33,NK,280,0,0.0,0.0,33,532,0.625
GSE154826_amp_batch_ID_33,CD8T,440,82,18.636363636363637,91.5909090909091,33,532,0.8022727272727272
GSE154826_amp_batch_ID_33,CD4T,426,77,18.07511737089202,95.53990610328638,33,532,
GSE154826_amp_batch_ID_33,B,427,0,0.0,7.728337236533958,33,532,0.15456674473067916
GSE154826_amp_batch_ID_33,Myeloid,513,3,0.5847953216374269,7.017543859649122,33,532,0.09551656920077972
GSE154826_amp_batch_ID_36,NK,244,0,0.0,0.0,36,558,0.5491803278688525
GSE154826_amp_batch_ID_36,CD8T,551,50,9.074410163339383,85.48094373865699,36,558,0.7332123411978222
GSE154826_amp_batch_ID_36,CD4T,667,59,8.845577211394302,85.00749625187406,36,558,
GSE154826_amp_batch_ID_36,B,1075,2,0.18604651162790697,12.372093023255815,36,558,0.1702325581395349
GSE154826_amp_batch_ID_36,Myeloid,870,1,0.11494252873563218,19.195402298850574,36,558,0.19655172413793104
GSE154826_amp_batch_ID_37,NK,296,0,0.0,0.0,37,564,0.4358108108108108
GSE154826_amp_batch_ID_37,CD8T,798,190,23.809523809523807,91.60401002506265,37,564,0.8358395989974937
GSE154826_amp_batch_ID_37,CD4T,983,258,26.246185147507628,94.0996948118006,37,564,
GSE154826_amp_batch_ID_37,B,1857,35,1.884760366182014,10.662358642972535,37,564,0.13785675821217017
GSE154826_amp_batch_ID_37,Myeloid,3008,36,1.196808510638298,19.51462765957447,37,564,0.1545877659574468
GSE154826_amp_batch_ID_38,NK,292,0,0.0,0.0,38,564,0.3732876712328767
GSE154826_amp_batch_ID_38,CD8T,1661,529,31.84828416616496,95.8458759783263,38,564,0.8308248043347382
GSE154826_amp_batch_ID_38,CD4T,1185,318,26.83544303797468,93.24894514767934,38,564,
GSE154826_amp_batch_ID_38,B,2052,97,4.7270955165692,25.389863547758285,38,564,0.26169590643274854
GSE154826_amp_batch_ID_38,Myeloid,4140,100,2.4154589371980677,23.019323671497585,38,564,0.18067632850241547
GSE154826_amp_batch_ID_39,NK,165,0,0.0,0.0,39,569,0.7393939393939394
GSE154826_amp_batch_ID_39,CD8T,339,80,23.59882005899705,95.87020648967551,39,569,0.8997050147492626
GSE154826_amp_batch_ID_39,CD4T,820,272,33.170731707317074,98.04878048780488,39,569,
GSE154826_amp_batch_ID_39,B,464,8,1.7241379310344827,13.793103448275861,39,569,0.27370689655172414
GSE154826_amp_batch_ID_39,Myeloid,877,14,1.596351197263398,14.253135689851767,39,569,0.16419612314709237
GSE154826_amp_batch_ID_40,NK,117,0,0.0,0.0,40,569,0.6752136752136753
GSE154826_amp_batch_ID_40,CD8T,453,145,32.00883002207506,97.35099337748345,40,569,0.9315673289183223
GSE154826_amp_batch_ID_40,CD4T,1149,438,38.1201044386423,98.43342036553526,40,569,
GSE154826_amp_batch_ID_40,B,601,22,3.6605657237936775,29.783693843594012,40,569,0.3826955074875208
GSE154826_amp_batch_ID_40,Myeloid,869,28,3.222094361334868,18.296892980437285,40,569,0.21979286536248563
GSE154826_amp_batch_ID_41,NK,384,0,0.0,0.0,41,570,0.6145833333333334
GSE154826_amp_batch_ID_41,CD8T,569,145,25.48330404217926,94.37609841827768,41,570,0.8734622144112478
GSE154826_amp_batch_ID_41,CD4T,1226,382,31.158238172920065,96.8189233278956,41,570,
GSE154826_amp_batch_ID_41,B,597,12,2.0100502512562812,15.07537688442211,41,570,0.26800670016750416
GSE154826_amp_batch_ID_41,Myeloid,2009,39,1.9412643106022895,14.783474365355897,41,570,0.13937282229965156
GSE154826_amp_batch_ID_42,NK,79,0,0.0,0.0,42,570,0.4050632911392405
GSE154826_amp_batch_ID_42,CD8T,285,89,31.2280701754386,96.14035087719299,42,570,0.8771929824561403
GSE154826_amp_batch_ID_42,CD4T,720,308,42.77777777777778,98.75,42,570,
GSE154826_amp_batch_ID_42,B,354,9,2.5423728813559325,16.101694915254235,42,570,0.23728813559322035
GSE154826_amp_batch_ID_42,Myeloid,974,17,1.7453798767967144,19.815195071868583,42,570,0.16837782340862423
