gene,axis,lineage,detected,frac_ge_floor,detection_rate,mean_CPM,soup_frac
CCR1,receptor_inflammatory,NK,False,0.22413793103448276,0.8448275862068966,9.882992683726762,0.2894629321994126
CCR2,receptor_inflammatory,NK,False,0.0,0.5172413793103449,2.3202615649635474,0.3733461301230444
CCR3,receptor_inflammatory,NK,False,0.0,0.1206896551724138,0.17956234397678697,0.12094506244505356
CCR5,receptor_inflammatory,NK,False,0.06896551724137931,0.7758620689655172,6.8306473669635,0.2621069608831509
CXCR1,receptor_inflammatory,NK,False,0.20689655172413793,0.8103448275862069,9.223857072067304,0.00864207058755089
CXCR2,receptor_inflammatory,NK,False,0.4482758620689655,0.8793103448275862,18.338459235774426,0.01333191985148503
CXCR3,receptor_inflammatory,NK,False,0.4827586206896552,0.9482758620689655,24.3817671017418,0.1994118294648479
CXCR6,receptor_inflammatory,NK,False,0.3103448275862069,1.0,25.85296298841332,0.2619041843098068
CX3CR1,receptor_inflammatory,NK,True,0.6379310344827587,0.9827586206896551,75.84901990593885,0.013229793940471687
CCR4,receptor_homing,NK,False,0.0,0.5,4.362873894954943,0.2998969014665429
CCR6,receptor_homing,NK,False,0.10344827586206896,0.8448275862068966,8.843876438334163,0.33100876754410674
CCR7,receptor_homing,NK,False,0.29310344827586204,0.8448275862068966,18.147028549747485,0.37959598498896074
CCR8,receptor_homing,NK,False,0.0,0.034482758620689655,0.020640117528883926,0.8469894713402043
CCR9,receptor_homing,NK,False,0.0,0.10344827586206896,0.7461043633986819,0.07787426853205599
CCR10,receptor_homing,NK,False,0.017241379310344827,0.43103448275862066,1.5859064361993007,0.34206720769757887
CXCR4,receptor_homing,NK,True,1.0,1.0,1585.758555235525,0.1310968695374977
CXCR5,receptor_homing,NK,False,0.017241379310344827,0.25862068965517243,0.9831913973030758,0.5393025176414239
XCR1,receptor_homing,NK,False,0.0,0.13793103448275862,0.16504742757661992,0.3760568574905762
ACKR1,receptor_atypical,NK,False,0.1896551724137931,0.3275862068965517,46.90585193261341,0.09338341287392869
ACKR2,receptor_atypical,NK,False,0.0,0.1724137931034483,0.6128549724731824,0.06781781582097184
ACKR3,receptor_atypical,NK,False,0.08620689655172414,0.4482758620689655,1.9800841549594344,0.25624670596991717
ACKR4,receptor_atypical,NK,False,0.017241379310344827,0.3620689655172414,1.1596693370528266,0.1397108268898926
CCRL2,receptor_atypical,NK,False,0.20689655172413793,0.8448275862068966,12.403347199142116,0.4385323030249918
S1PR1,retention_egress,NK,False,0.39655172413793105,0.8103448275862069,18.68498841491335,0.05817987090183692
S1PR5,retention_egress,NK,True,0.8448275862068966,0.9827586206896551,147.93988004094578,0.009253146335867076
SELL,retention_egress,NK,True,0.7931034482758621,0.9827586206896551,71.938555605349,0.1003015624408379
SELPLG,retention_egress,NK,True,0.9137931034482759,0.9827586206896551,102.46867844867526,0.06603128190931896
CD69,retention_egress,NK,True,0.9827586206896551,0.9827586206896551,971.1125661037979,0.1065760320686557
ITGAE,retention_egress,NK,True,0.8275862068965517,0.9827586206896551,66.52892806593226,0.1311352368593659
ITGA1,retention_egress,NK,False,0.3275862068965517,0.9310344827586207,29.773635683327434,0.07511474387235148
KLRG1,retention_egress,NK,True,0.8103448275862069,0.9827586206896551,79.17873616359722,0.046152863821288304
CCL3,ligand_lymphoid,NK,True,0.9482758620689655,0.9655172413793104,2293.6113920802463,0.046052732958532405
CCL3L3,ligand_lymphoid,NK,True,0.896551724137931,0.9655172413793104,212.20625849301717,0.11632560996690136
CCL4,ligand_lymphoid,NK,True,0.9827586206896551,1.0,5294.977148401124,0.03852732702474464
CCL4L2,ligand_lymphoid,NK,True,0.9482758620689655,0.9827586206896551,856.7878116479106,0.05743524085284876
CCL5,ligand_lymphoid,NK,True,0.9827586206896551,1.0,2332.018355080179,0.03857687323995847
XCL1,ligand_lymphoid,NK,True,0.8448275862068966,0.9827586206896551,128.20332814447988,0.035241943486426335
XCL2,ligand_lymphoid,NK,True,0.9482758620689655,1.0,221.9611118260493,0.02052206433755239
CCL2,ligand_myeloid_stromal,NK,True,0.5,0.8620689655172413,76.38913635996025,0.2385911733962857
CCL7,ligand_myeloid_stromal,NK,False,0.034482758620689655,0.20689655172413793,3.3935577129287298,0.35677153288895386
CCL8,ligand_myeloid_stromal,NK,False,0.08620689655172414,0.41379310344827586,4.62318810812012,0.3679899336418199
CCL13,ligand_myeloid_stromal,NK,False,0.1724137931034483,0.5517241379310345,12.797674371579642,0.3426995007953615
CCL14,ligand_myeloid_stromal,NK,False,0.05172413793103448,0.20689655172413793,1.9297908689657546,0.06371646496789118
CCL15,ligand_myeloid_stromal,NK,False,0.0,0.10344827586206896,0.08085678283216707,0.7274759182369207
