labelling,tissue,assay,donors,n_nk,n_bright,n_unclass,median_umi,bright_frac,stress,CCL3,CCL3_bright,CCL4,CCL4_bright,CCL5,CCL5_bright,XCL1,XCL1_bright,XCL2,XCL2_bright,reportable
clean_loose,blood,10x 3' v3,2,3511,1590,0,3863.75,0.39915493536653035,1.2135720009742093,0.4804332189317495,0.41226545035789286,0.7025195750015414,0.6378141441054938,0.7852711728559978,0.7631669564432,0.16075648903594403,0.22392575699415176,0.3701387204833638,0.3863746697676519,False
clean_loose,blood,10x 5' v1,2,206,27,0,4461.0,0.12755555555555553,0.5696168881631081,0.2056296296296296,0.027777777777777776,0.7001975308641976,0.41666666666666663,0.9171358024691358,0.75,0.24918518518518518,0.6666666666666667,0.26790123456790127,0.5555555555555556,False
clean_loose,blood,10x 5' v2,2,267,69,0,4030.75,0.25427756653992395,1.1521296055539405,0.6625475285171103,0.35294117647058826,0.9315589353612168,0.875,0.9258555133079848,0.8897058823529411,0.3431558935361217,0.625,0.43441064638783267,0.6838235294117647,False
clean_loose,bone marrow,10x 3' v3,2,6872,1347,0,4276.75,0.1764772609251588,1.562895189801006,0.7351299168960921,0.6495023555413383,0.9370989312779545,0.8466553494052985,0.7923849510587618,0.7367264518568064,0.1535351510291366,0.2780247622648094,0.42667433687984924,0.4564733765667258,False
clean_loose,bone marrow,10x 5' v1,5,601,111,0,4302.0,0.16463414634146342,1.212909246358372,0.8170731707317073,0.8518518518518519,0.9024390243902439,0.9,0.8378378378378378,0.7096774193548387,0.3157894736842105,0.5,0.37735849056603776,0.3870967741935484,True
clean_loose,bone marrow,10x 5' v2,3,753,154,0,4549.0,0.2604166666666667,1.707079113749755,0.6363636363636364,0.5,0.84375,0.71,0.8645833333333334,0.75,0.2786458333333333,0.56,0.4401041666666667,0.6428571428571429,True
clean_loose,caecum,10x 5' v1,1,2,0,0,5145.5,0.0,2.887111925630573,1.0,,0.5,,0.5,,1.0,,1.0,,False
clean_loose,duodenum,10x 5' v1,2,5,2,0,4190.75,0.25,2.8845811715596557,0.75,0.5,0.875,1.0,1.0,1.0,0.25,0.5,0.125,0.0,False
clean_loose,ileum,10x 5' v1,1,1,0,0,3902.0,0.0,3.6995907300742954,1.0,,1.0,,1.0,,1.0,,1.0,,False
clean_loose,jejunal epithelium,10x 3' v3,2,60,44,0,3881.0,0.8571428571428572,1.5442312763008543,0.29464285714285715,0.325,0.9464285714285714,0.9375,0.8660714285714286,0.8625,0.5,0.4875,0.5803571428571428,0.575,False
