gene,p_green,p_red,n_pos_green,drop,d_null,resid
Nucks1,0.4909090909090909,0.45692307692307693,189,0.0692307692307692,0.08719576719576694,-0.01796499796499773
Elk4,0.37402597402597404,0.2753846153846154,144,0.2637286324786325,0.10055555555555566,0.1631730769230768
Mfsd4a,0.17922077922077922,0.14307692307692307,69,0.20167224080267562,0.11072463768115966,0.09094760312151597
Nuak2,0.08311688311688312,0.027692307692307693,32,0.666826923076923,0.1075,0.559326923076923
Rbbp5,0.08051948051948052,0.08,31,0.006451612903225774,0.13161290322580638,-0.1251612903225806
Mdm4,0.38441558441558443,0.3476923076923077,148,0.09553014553014558,0.09837837837837864,-0.0028482328482330593
Ppp1r15b,0.23116883116883116,0.19692307692307692,89,0.14814174589455487,0.10067415730337069,0.047467588591184176
Snrpe,0.7064935064935065,0.7123076923076923,272,-0.008229638009049755,0.053529411764705784,-0.06175904977375554
Lax1,0.3168831168831169,0.36153846153846153,122,-0.1409205548549811,0.10327868852458995,-0.24419924337957105
Atp2b4,0.5142857142857142,0.44461538461538463,198,0.13547008547008535,0.07090909090909084,0.06456099456099451
