gene,gap_rep
STX12,-0.02019629281825777
CDKN2C,-0.0064421919440113
GBP1,-0.09640148006162655
GBP2,0.2688125211021151
S100A10,0.4943752940061221
S100A6,0.44419945096662117
TAGLN2,0.37010107957222876
XCL2,0.28023969861354875
SELL,-0.047590030267258165
PTPN7,0.6052236256441867
LAX1,0.5387473798757089
FCMR,0.31212890816812977
ERO1B,0.1341308073264098
SCCPDH,0.3502197005253167
ADAM17,0.21973345390395527
RNF149,0.4019948224866947
TUBA4A,0.018609571898602018
LRRFIP1,0.36298704929939374
ANKRD28,0.6161997024547744
ABHD5,0.45576907613380496
TKT,-0.14004103657651684
TIGIT,0.8069006273578012
CD38,0.7336323396151397
SEPT11,0.9607958307674157
MSMO1,0.7452032295504035
CXXC5,0.4181600143681736
PRDM1,0.5321179126214768
IFNGR1,0.11247627788552084
HECA,0.2802764004057501
STX11,-0.013134038311625962
TAGAP,0.5578041979689421
POR,0.32386679559734255
PRKX,-0.1398509638349511
GPM6B,-0.21001849142595497
DOCK5,0.6262964456783877
RAB11FIP1,0.6214418386653711
TOX,0.4871797519692156
ST3GAL1,0.39126228170062916
AAED1,0.16780383508590796
PLA2G16,0.5731513924140987
PDLIM1,0.6849722204804052
CCND2,0.36321951002722314
FAM60A,0.03431062898918036
TMEM106C,0.19166173061035702
EPSTI1,0.7033427911737327
WARS,-0.26905325049204054
ANXA2,0.11833231260146682
ISG20,0.5962982597838937
IDH2,0.3051275426274239
ACAP1,0.570599714171785
ORMDL3,-0.21270077871048454
KRT10,0.18145501671041842
PECAM1,0.11311279636107463
WIPI1,0.12291571594000458
P4HB,0.23492740327434317
NARF,0.3542912141893538
DLGAP1-AS1,0.08341423428358646
GPCPD1,0.2345259573319729
PDE4A,0.7168884878207117
PRDX2,0.6263475228038428
KLF2,-0.0777616092215283
MYADM,0.2114646532469029
LGALS1,0.4372707776246576
TSPO,0.29890201933071003
