gene,lineage,detection,mean_CPM,soup_frac
C3,NK,0.6896551724137931,16.17787823818508,0.19142735750896797
C3AR1,NK,0.9137931034482759,20.72013382924669,0.3884748933172109
C5AR1,NK,0.8793103448275862,21.661058980754177,0.4707100139361284
CD46,NK,0.9827586206896551,68.45202697708189,0.14766344193371617
CTSL,NK,0.896551724137931,90.5806811086181,0.47577247746174206
CFB,NK,0.27586206896551724,0.7078724795991588,0.25207405152966134
KLRD1,NK,1.0,1049.8054798684084,0.012512585233943191
NKG7,NK,1.0,3614.67324636332,0.013048085979416646
GNLY,NK,1.0,5188.3815566576195,0.011854768589430624
C1QA,NK,0.9137931034482759,325.784988731491,0.5858651059911548
LYZ,NK,0.9655172413793104,377.74065954851864,1.0
IGKC,NK,0.9655172413793104,8338.036839122637,0.40173978788465303
C3,CD8T,0.6551724137931034,2.969883019793957,0.32467292446840734
C3AR1,CD8T,0.9482758620689655,13.417526310929413,0.24533481391260173
C5AR1,CD8T,0.8793103448275862,7.552065610270628,0.4996002540275284
CD46,CD8T,1.0,60.36450213060824,0.06847033430428993
CTSL,CD8T,0.9827586206896551,30.02061830925705,0.5547509191589306
CFB,CD8T,0.1724137931034483,0.10702960288591322,0.3136425554892917
KLRD1,CD8T,1.0,160.9425087416899,0.032992960818460856
NKG7,CD8T,1.0,701.2992058681334,0.026100524582414693
GNLY,CD8T,0.9482758620689655,367.6591669916636,0.09193182342095808
C1QA,CD8T,0.9310344827586207,112.57553587450006,0.6968596660728641
LYZ,CD8T,0.9827586206896551,183.40130266625235,0.9590630779998687
IGKC,CD8T,0.9827586206896551,3687.5253698163924,0.34518630717854415
C3,CD4T,0.8448275862068966,3.1541136056587753,0.5002549033098115
C3AR1,CD4T,1.0,15.89042625962529,0.24885159154098696
C5AR1,CD4T,0.896551724137931,8.265155906317709,0.5741914467153028
CD46,CD4T,1.0,60.13574465472926,0.07400609847398848
CTSL,CD4T,0.9827586206896551,42.62408861285993,0.45618894731982307
CFB,CD4T,0.22413793103448276,0.13474766742904068,0.5731468072881071
KLRD1,CD4T,0.9827586206896551,29.42698616285248,0.23599692163361816
NKG7,CD4T,1.0,181.90812105678512,0.13673372531438793
GNLY,CD4T,1.0,199.93862402082564,0.19667314480208878
C1QA,CD4T,0.9827586206896551,127.20691852138616,0.8309140925781338
LYZ,CD4T,1.0,204.43666650662644,1.0
IGKC,CD4T,1.0,3091.263328880418,0.44117589361569914
C3,B,0.8620689655172413,26.423864454677865,0.2755570453923201
C3AR1,B,0.9655172413793104,12.404679182599796,1.0
C5AR1,B,0.9137931034482759,17.545139025570606,1.0
CD46,B,1.0,57.397572427705136,0.32487890072888015
CTSL,B,1.0,44.597965861246685,1.0
CFB,B,0.6551724137931034,0.9715195731951094,0.3627043295426056
KLRD1,B,0.9310344827586207,27.794408480797898,1.0
NKG7,B,1.0,117.31982255690181,1.0
GNLY,B,0.9827586206896551,117.03005514905433,1.0
C1QA,B,0.9482758620689655,179.0592926270794,1.0
LYZ,B,1.0,284.61326480011337,1.0
IGKC,B,1.0,87469.38859761879,0.03847186025297074
C3,Myeloid,1.0,36.986946009506326,0.05359966636342171
C3AR1,Myeloid,1.0,99.83610011773466,0.04272992135863352
C5AR1,Myeloid,1.0,163.51940974717255,0.03648539124790926
CD46,Myeloid,1.0,73.68954670835677,0.06923742344077946
CTSL,Myeloid,1.0,481.73666412148424,0.04161662133949794
CFB,Myeloid,0.8448275862068966,1.8155643843675429,0.047228131392789106
KLRD1,Myeloid,1.0,4.971363746016803,1.0
NKG7,Myeloid,1.0,32.41473572679659,0.8567570632337843
GNLY,Myeloid,1.0,23.923839714091134,1.0
C1QA,Myeloid,1.0,2770.007071485729,0.032138999196342895
LYZ,Myeloid,1.0,5372.8582936190705,0.04714676521997682
IGKC,Myeloid,0.9827586206896551,2530.5800702073816,0.8773421169290154
