dataset,gene,lineage,condition,n_donors,n_cells_total,det_pooled,det_pooled_lo95,det_pooled_hi95,det_donor_median,det_donor_q1,det_donor_q3,cpm_donor_median,cpm_donor_q1,cpm_donor_q3,donors_zero_count,umi_per_cell_median,band_pooled,band_donor_median,donors_in_floor_band,source,side
GSE154826,ITGA1,NK,Tumor,27,7559,0.06462501704730839,0.03981576595417085,0.08652582997413281,0.044436963731715795,0.024376336216247574,0.07185922966812824,29.57346195817721,15.40539413581573,44.449608715061416,1,1684.3950617283951,measurable,floor,15,"pseudobulk_raw (balanced, raw counts)",residency
GSE154826,ITGA1,NK,Normal,27,11495,0.043230838756198486,0.017372811502365224,0.06704070794095081,0.01036260108500342,0.0045427075622802016,0.04505731340049529,5.165822915590454,2.5013876960015757,22.026668813660123,4,1802.787162162162,floor,floor,20,"pseudobulk_raw (balanced, raw counts)",residency
GSE154826,CD69,NK,Tumor,27,7559,0.8757830474806597,0.81063862253424,0.923119628787951,0.8197276855560329,0.7208210745189052,0.9488648735344694,1053.03185421359,741.0448408738753,1483.4358257599,0,1684.3950617283951,ceiling,measurable,0,"pseudobulk_raw (balanced, raw counts)",residency
GSE154826,CD69,NK,Normal,27,11495,0.7644532849980522,0.6923040221350063,0.820238381333944,0.7153849310933343,0.5961252573931302,0.8248514155391654,737.9839680496352,542.9327207302931,960.4587486181886,0,1802.787162162162,measurable,measurable,0,"pseudobulk_raw (balanced, raw counts)",residency
GSE154826,ITGAE,NK,Tumor,27,7559,0.09601207653874844,0.07998410901017824,0.12069649217473323,0.0884351970916758,0.06850485827647873,0.11234062813740531,49.35700559007892,43.039894105673405,67.60961395618945,1,1684.3950617283951,measurable,measurable,2,"pseudobulk_raw (balanced, raw counts)",residency
GSE154826,ITGAE,NK,Normal,27,11495,0.0949657712159232,0.08056148388214203,0.11200991665845061,0.10832153936626798,0.07545408706155854,0.12652415847701154,54.99323380795081,48.521097528186665,74.18025509575656,0,1802.787162162162,measurable,measurable,1,"pseudobulk_raw (balanced, raw counts)",residency
GSE154826,KLF2,NK,Tumor,27,7559,0.27116774872249383,0.21823704072622951,0.3171349169451186,0.23356842358619223,0.15318057728794404,0.3018198579785219,142.58419596771893,102.47291728013155,215.01674645034507,0,1684.3950617283951,measurable,measurable,0,"pseudobulk_raw (balanced, raw counts)",egress
GSE154826,KLF2,NK,Normal,27,11495,0.32956331571060316,0.22703436714122044,0.41457916965209674,0.2869385679099967,0.17983664863862397,0.41476769203944847,203.8980844752557,116.92663479919548,283.2512294706613,0,1802.787162162162,measurable,measurable,1,"pseudobulk_raw (balanced, raw counts)",egress
GSE154826,S1PR1,NK,Tumor,27,7559,0.02559607677354858,0.017002825917792414,0.03427992348765305,0.012269783764389475,0.0017094000415645016,0.038490371215624486,7.621428408112249,0.8799315765206097,27.035200323443867,7,1684.3950617283951,floor,floor,23,"pseudobulk_raw (balanced, raw counts)",egress
GSE154826,S1PR1,NK,Normal,27,11495,0.04754920623583858,0.029954857587988264,0.06257590762274336,0.029947810579138867,0.019231245265081687,0.04898925633693779,18.665050688055985,9.76747214268293,31.59811631909452,2,1802.787162162162,floor,floor,21,"pseudobulk_raw (balanced, raw counts)",egress
GSE154826,S1PR5,NK,Tumor,27,7559,0.15320092963619392,0.09729297299884207,0.21848652003278532,0.11907907813063778,0.05776449304421721,0.22591892430411575,79.03775984406384,40.39662400619734,146.06148490424164,0,1684.3950617283951,measurable,measurable,4,"pseudobulk_raw (balanced, raw counts)",egress
GSE154826,S1PR5,NK,Normal,27,11495,0.26011567162425997,0.20411018226434796,0.32595504995034996,0.3143297764754128,0.1901574109640765,0.37533301132127445,201.2369914659088,124.84575100791938,266.7592371690562,0,1802.787162162162,measurable,measurable,2,"pseudobulk_raw (balanced, raw counts)",egress
GSE154826,SELL,NK,Tumor,27,7559,0.1014965551116277,0.07544017062589498,0.13419061214102332,0.09192524223401466,0.04765939299871491,0.12119326857564511,58.63268576789274,29.485616145678463,85.01040168251785,0,1684.3950617283951,measurable,measurable,8,"pseudobulk_raw (balanced, raw counts)",egress
GSE154826,SELL,NK,Normal,27,11495,0.11705194522320272,0.09040486263083254,0.1466333309491428,0.11541928043068339,0.062254482600156424,0.13715343489633697,69.73860936047112,36.4521009618565,92.88585031847023,0,1802.787162162162,measurable,measurable,4,"pseudobulk_raw (balanced, raw counts)",egress
GSE154826,KLRD1,NK,Tumor,35,9230,0.7274455281286705,0.6277427813677083,0.8202208132046565,0.6677918057074812,0.4653916776579181,0.8677046339192567,1038.7092279649935,754.801512052705,1436.6199869942923,0,1344.054233949321,measurable,measurable,0,"pseudobulk_per_sample (all cells, ambient-subtracted; gene barred from pseudobulk_raw)",control
GSE154826,KLRD1,NK,Normal,29,13841,0.886598442499866,0.8276935466567096,0.930186478142092,0.9060936664717247,0.7798480772694693,0.9446060339338209,1553.6457252962714,1145.0351415525365,1820.8384283308048,0,1656.5501042636486,ceiling,ceiling,0,"pseudobulk_per_sample (all cells, ambient-subtracted; gene barred from pseudobulk_raw)",control
GSE154826,NKG7,NK,Tumor,35,9230,0.9841939766213873,0.9477121414797777,0.9968576933069564,0.9682408300787054,0.8818747804822309,0.9982460866377962,2857.4576014798354,1864.3429163868486,4639.628345127434,0,1344.054233949321,ceiling,ceiling,0,"pseudobulk_per_sample (all cells, ambient-subtracted; gene barred from pseudobulk_raw)",control
GSE154826,NKG7,NK,Normal,29,13841,0.9995493894887828,0.997587064380754,0.9999527847810817,0.9994350625232278,0.993654948172423,0.9999751487187964,5357.326788214529,3994.1367141217347,7144.284092179666,0,1656.5501042636486,ceiling,ceiling,0,"pseudobulk_per_sample (all cells, ambient-subtracted; gene barred from pseudobulk_raw)",control
