gene,quadrant,reason,delta,equiv_key,change_key,NK_log2FC,NK_SE,NK_CI95_lo,NK_CI95_hi,NK_CI90_lo,NK_CI90_hi,NK_null_change,NK_null_equiv,NK_saturated,NK_changed,NK_equivalent,NK_TOST_p,CD8T_log2FC,CD8T_SE,CD8T_CI95_lo,CD8T_CI95_hi,CD8T_CI90_lo,CD8T_CI90_hi,CD8T_null_change,CD8T_null_equiv,CD8T_saturated,CD8T_changed,CD8T_equivalent,CD8T_TOST_p,CD4T_log2FC,CD4T_SE,CD4T_CI95_lo,CD4T_CI95_hi,CD4T_CI90_lo,CD4T_CI90_hi,CD4T_null_change,CD4T_null_equiv,CD4T_saturated,CD4T_changed,CD4T_equivalent,CD4T_TOST_p,B_log2FC,B_SE,B_CI95_lo,B_CI95_hi,B_CI90_lo,B_CI90_hi,B_null_change,B_null_equiv,B_saturated,B_changed,B_equivalent,B_TOST_p,Myeloid_log2FC,Myeloid_SE,Myeloid_CI95_lo,Myeloid_CI95_hi,Myeloid_CI90_lo,Myeloid_CI90_hi,Myeloid_null_change,Myeloid_null_equiv,Myeloid_saturated,Myeloid_changed,Myeloid_equivalent,Myeloid_TOST_p,NK_normal,NK_tumor,wit_normal,wit_tumor
FO538757.2,unclassified,no quadrant rule satisfied,0.5,p95,p99,-0.0405122673609461,0.0988623548093155,-0.2419964129816028,0.1609718782597105,-0.208042414534886,0.1270178798129937,0.1931571718180587,0.173429803911668,False,False,True,2.834003027191128e-05,-0.195155975933707,0.0739291754540236,-0.3457306232108141,-0.0445813286565998,-0.3203748289737672,-0.0699371228936467,0.1546578701641048,0.124085231761401,False,False,False,0.0001232083605234,-0.1573002066650796,0.0740024745553495,-0.3081947826024275,-0.0064056307277316,-0.2827510223649266,-0.0318493909652325,0.1996285490798696,0.1666322416777201,False,False,True,3.0495995773475177e-05,-0.350377152672212,0.0962975447337112,-0.5469803717511708,-0.1537739335932531,-0.513779687667953,-0.1869746176764709,0.2708317316640568,0.233035402227035,False,False,False,0.0653254270862113,0.0736008195854849,0.0914107808943565,-0.1131001463584052,0.260301785529375,-0.0815567471727564,0.2287583863437262,0.2197240754070192,0.1872976786371925,False,False,True,3.010095086786244e-05,5.58092,5.2976604,5.0612264,4.7354674
NOC2L,unclassified,no quadrant rule satisfied,0.5,p95,p99,0.0035400828017163,0.1376517660963304,-0.2769979292513835,0.2840780948548164,-0.2297218163038673,0.2368019819073001,0.270259119521874,0.2346689454354193,False,False,True,0.0005281210202572,-0.0566575029079049,0.0733339244786604,-0.2060197775985979,0.092704771782788,-0.18086813904377,0.0675531332279602,0.1369005459948286,0.1251159788406765,False,False,True,4.7128707923202093e-07,-0.0188282646664151,0.0807375709688822,-0.1834560234915467,0.1457994941587164,-0.1556965815237787,0.1180400521909484,0.1777570213159388,0.1583153190915568,False,False,True,6.734503046736755e-07,0.2734699702275506,0.0843273476162259,0.101305373055464,0.4456345673996372,0.1303790699552551,0.416560870499846,0.2289575589245183,0.2121697449482529,False,False,False,0.0058124764495114,0.1127819473006484,0.0798966230151539,-0.0504020507643436,0.2759659453656404,-0.0228318774358288,0.2483957720371257,0.1954407058485001,0.1906330498824817,False,False,True,1.8044465763838256e-05,5.646676,5.3633804,4.9157634,4.8617826
ISG15,unclassified,no quadrant rule satisfied,0.5,p95,p99,0.5756409310324698,0.1889783745394648,0.1904979065889867,0.960783955475953,0.2554019992332723,0.8958798628316673,0.5683897561204353,0.4690789072161755,False,True,False,0.6541704197597155,0.6080972436954291,0.1268005911833973,0.3498371701221402,0.8663573172687179,0.3933264918876942,0.8228679955031639,0.4782358035833331,0.3660621275586887,False,True,False,0.7998707948710349,0.4419846660074397,0.1246353633987397,0.1878472142552865,0.6961221177595929,0.2306997313161783,0.653269600698701,0.3596390332534287,0.2755311646220328,False,False,False,0.3224114212766703,0.7609558764415353,0.19195483477458,0.369056596570896,1.1528551563121745,0.4352372229328687,1.086674529950202,0.6106373938267794,0.514533072683024,False,True,False,0.9079727036718296,0.3115271724702755,0.2042646033947037,-0.1056708690387565,0.7287252139793077,-0.0351846543785429,0.658238999319094,0.5162438008762908,0.4368068227071618,False,False,False,0.1817724696195501,7.404084,7.649404,7.297443,7.7778287
TNFRSF18,unclassified,no quadrant rule satisfied,0.5,p95,p99,0.4786627723576493,0.1556414445402725,0.16146131041749,0.7958642342978086,0.2149159279648682,0.7424096167504304,0.4904708689784361,0.3859722427610695,False,False,False,0.4459142791330855,1.1567074865001885,0.1676325018256982,0.8152833507707025,1.4981316222296746,0.8727769613463696,1.4406380116540074,0.6174247989634032,0.5700571448175359,False,True,False,0.9997800083795898,1.2950550331127195,0.1442199852980253,1.000983603015347,1.5891264632100923,1.0505697654974446,1.5395403007279949,0.6937365473105904,0.6417029394308285,False,True,False,0.999997575685627,0.1185857948794345,0.2426189748934283,-0.3767505255385739,0.613922115297443,-0.2931023291042264,0.5302739188630954,0.7138030942248436,0.5500092607731636,False,False,False,0.0631717389021355,1.1106126197095514,0.2056032721305897,0.690680428643722,1.5305448107753807,0.7616285818400718,1.4595966575790311,0.7822399984369934,0.641552483175355,False,True,False,0.9970899667110458,6.2541633,6.2708077,3.9980602,4.748385
TNFRSF4,unclassified,no quadrant rule satisfied,0.5,p95,p99,0.584018669544882,0.1583665016270985,0.2612634677614258,0.9067738713283382,0.315653998521389,0.852383340568375,0.3647932385284343,0.2986809458265802,False,True,False,0.7002724901916204,1.4929813638133396,0.1824750873844321,1.121326712574093,1.8646360150525856,1.183910945939231,1.802051781687448,0.6634326258023067,0.571896956696887,False,True,False,0.9999972729932122,1.5895725086929666,0.1218093279913933,1.3411974779535936,1.83794753943234,1.3830783387589447,1.7960666786269883,0.9137161366080327,0.7584952442143892,False,True,False,0.9999999997963864,0.1088348446422573,0.2067955399006076,-0.3133635504264581,0.5310332397109728,-0.2420662664817409,0.4597359557662556,0.5466839839534093,0.4468499309856378,False,False,True,0.0340828514440301,0.6500445917990169,0.2274129854735028,0.1855673863679003,1.1145217972301331,0.2640414843966779,1.036047699201356,0.6766805869000719,0.5234581416732508,False,False,False,0.7427836081839783,5.121312,5.4214597,4.250516,5.1528506
SDF4,unclassified,no quadrant rule satisfied,0.5,p95,p99,-0.0483988006096508,0.079087671968812,-0.2095816092378481,0.1127840080185464,-0.1824191701439894,0.0856215689246877,0.1626186140444345,0.1207410932308487,False,False,True,1.3179580947613555e-06,0.0847402605369672,0.0556377925745984,-0.0285795613161393,0.1980600823900738,-0.0094972381107039,0.1789777591846384,0.1152272772030062,0.1042207352444469,False,False,True,8.391626679207945e-09,0.0508409112153677,0.0599729070413396,-0.0714467072745297,0.1731285297052651,-0.050826636436703,0.1525084588674384,0.1295714150021086,0.1094018296958494,False,False,True,9.359342800358457e-09,0.4511829939984506,0.1042993269443108,0.2382431575600058,0.6641228304368954,0.2742026310185027,0.6281633569783985,0.3099564527125184,0.264441091331706,False,False,False,0.3215539917041442,0.0631071359624425,0.0552585316933994,-0.0497550575650572,0.1759693294899423,-0.030686826153358,0.1569010980782431,0.1308843268101053,0.110692082375156,False,False,True,4.050504614471559e-09,6.6474824,6.4989395,6.0860267,6.1407146
UBE2J2,unclassified,no quadrant rule satisfied,0.5,p95,p99,-0.1306815707271991,0.0948328181492635,-0.3239534119498505,0.0625902704954523,-0.29138334656603,0.0300202051116318,0.2158647556226323,0.1967240970465713,False,False,True,0.0002393139369387,-0.0951790299078296,0.0676234484392317,-0.2329105389347544,0.042552479119095,-0.2097174459008541,0.0193593860851947,0.1417774100600471,0.1233687188677089,False,False,True,5.59348298810702e-07,-0.060693900437202,0.0569742922923823,-0.1768672004038052,0.0554793995294012,-0.1572781225858138,0.0358903217114098,0.1379493670351369,0.1125939108614292,False,False,True,5.1431398044619e-09,0.1183235764740316,0.0841659212766722,-0.0535114490761806,0.290158602024244,-0.0244934074365215,0.261140560384585,0.2365212874210384,0.1770844366452633,False,False,True,4.254298719140212e-05,0.070951869376054,0.0691615482563406,-0.0703063907470793,0.2122101294991874,-0.0464406026682253,0.1883443414203335,0.131398622710439,0.1245277661523699,False,False,True,3.9845719948027794e-07,5.7468343,5.414353,5.1942296,5.038362
CPSF3L,unclassified,no quadrant rule satisfied,0.5,p95,p99,-0.0405141571230773,0.1331686743222271,-0.3119155072224293,0.2308871929762747,-0.2661790995694915,0.1851507853233369,0.2641549239336581,0.2218328292825447,False,False,True,0.0008053847733851,0.0296660768652861,0.0627158449261794,-0.0980699105909525,0.1574020643215248,-0.0765599985760444,0.1358921523066167,0.1255842500531356,0.1061088215219582,False,False,True,7.599038546575486e-09,-0.022707714743103,0.0760246515404095,-0.1777256060217869,0.1323101765355808,-0.1515865746237632,0.106171145137557,0.1796901279501719,0.1718445361729619,False,False,True,2.720386689691058e-07,0.009685262598025,0.078339341336957,-0.1502540871534266,0.1696246123494767,-0.1232448863455771,0.1426154115416273,0.1257028982041451,0.1116678960139432,False,False,True,3.279543497750919e-07,0.157689788755046,0.0748023366756274,0.0049105610145036,0.3104690164955883,0.0307228332945699,0.284656744215522,0.1710013732684881,0.1446691098717883,False,False,False,3.858627622793581e-05,5.3739886,5.2595425,4.9784856,4.850287
AURKAIP1,unclassified,no quadrant rule satisfied,0.5,p95,p99,0.0713699221256235,0.0778225448606193,-0.0872345233330195,0.2299743675842666,-0.0605065885957415,0.2032464328469886,0.1602716008411115,0.1499478392679992,False,False,True,2.3647340647929904e-06,0.0732530973221795,0.0536292448192998,-0.0359758312139659,0.1824820258583249,-0.0175823879167112,0.1640885825610702,0.1489815014298031,0.1038541052852604,False,False,True,2.165458575561251e-09,0.1075594930445797,0.0563240436466507,-0.0072879189129932,0.2224069050021527,0.0120775883996041,0.2030413976895554,0.1292768431341189,0.1069654519467618,False,False,False,3.926501122046375e-08,0.4214841077950466,0.0985626152295571,0.2202564701791924,0.6227117454109008,0.254238086841395,0.5887301287486983,0.3104569971677349,0.2568488721093698,False,False,False,0.2159450765782397,0.1250967538188277,0.0524111944469224,0.0180500736157317,0.2321434340219237,0.036135765610274,0.2140577420273813,0.1216782494209927,0.0977740195461212,False,False,False,2.9668228033958108e-08,7.038638,6.880008,7.032696,7.061048
CCNL2,unclassified,no quadrant rule satisfied,0.5,p95,p99,0.2005350804544935,0.112971860539465,-0.0297046184063439,0.430774779315331,0.0090952502057099,0.391974910703277,0.2969003395954059,0.2535894510884916,False,False,True,0.0062228014792078,-0.1115399068115736,0.0634204400667993,-0.2407109726941635,0.0176311590710161,-0.2189594027776724,-0.0041204108454749,0.129537753421669,0.1054339713351465,False,False,False,3.743113959483936e-07,-0.0217647495626221,0.0598572356953474,-0.1438165086598916,0.1002870095346473,-0.1232362083028692,0.0797067091776249,0.1393260770055034,0.1197252516383474,False,False,True,2.4375213168074366e-09,0.0674666750647586,0.0657928413128058,-0.066857459888191,0.2017908100177083,-0.0441739392916472,0.1791072894211645,0.1273958121068299,0.1156990057141783,False,False,True,1.3667166763383206e-07,0.3423018350532803,0.0934012032563626,0.1515355523711783,0.5330681177353823,0.1837657927204022,0.5008378773861584,0.3086166115389338,0.2551886151390348,False,False,False,0.050862907860531,5.539986,5.5142627,4.8824816,4.8494954
MRPL20,unclassified,no quadrant rule satisfied,0.5,p95,p99,0.050037025640586,0.0660594445622074,-0.0845939041350958,0.1846679554162679,-0.0619059731993781,0.1619800244805503,0.137777514681551,0.1154447735662689,False,False,True,5.6827559896869626e-08,0.1962142045249408,0.0600004140029753,0.0740088489329936,0.3184195601168881,0.0945874384039826,0.2978409706458991,0.1278869174141307,0.1212103074928571,False,False,False,8.221676656035482e-06,0.151026510837357,0.0519243817444381,0.0451502193861061,0.2569028022886079,0.0630030213028556,0.2390500003718583,0.136193492753768,0.1060107535114532,False,False,False,7.811764178231986e-08,0.1752885311041386,0.0821325172363263,0.007604948678729,0.3429721135295482,0.0359219298153011,0.3146551323929761,0.1977729065848965,0.1568258497912522,False,False,False,0.0002147472482152,0.0941798534436068,0.0453428114383115,0.0015699160673135,0.1867897908199001,0.0172164994068784,0.1711432074803352,0.1149419995028817,0.0790127836291319,False,False,False,2.8855463895717567e-10,7.1692405,7.1346664,6.9183216,6.9241815
SSU72,unclassified,no quadrant rule satisfied,0.5,p95,p99,0.0313528263390622,0.0713653933502647,-0.114091770178937,0.1767974228570616,-0.0895815260153427,0.1522871786934672,0.1588362274887879,0.1125481505973585,False,False,True,1.1336288013632317e-07,0.0127446102291649,0.0540517522748021,-0.0973448569332196,0.1228340773915495,-0.0788065045112581,0.104295724969588,0.1224363503749673,0.1005611864021025,False,False,True,1.3171633736461202e-10,-0.014298768184583,0.0340448009910975,-0.0837177415268967,0.0551202051577307,-0.0720123524982768,0.0434148161291107,0.0701737682994531,0.0488202052349323,False,False,True,1.6345152325120598e-15,0.0839373770501392,0.0625002822762008,-0.0436645958020623,0.2115393499023407,-0.022116256924865,0.1899910110251434,0.1583272844705469,0.1153608195936406,False,False,True,1.0876302975399397e-07,-0.1207038149898832,0.0482701526203645,-0.2192926688680306,-0.0221149611117358,-0.202635938907305,-0.0387716910724614,0.1276504624134994,0.093379654703433,False,False,False,4.595856487815046e-09,7.25412,7.149119,7.098348,6.9460354
MIB2,unclassified,no quadrant rule satisfied,0.5,p95,p99,-0.3944104827661143,0.1389921457851127,-0.6776802247777255,-0.111140740754503,-0.6299437621859114,-0.1588772033463172,0.3585972493747184,0.3358879848978678,False,False,False,0.226541101253851,-0.0913514767180936,0.0782682331134986,-0.2507636644192356,0.0680607109830482,-0.2239196856796473,0.04121673224346,0.1383395252236594,0.1298348854604945,False,False,True,5.187721793507844e-06,-0.0824704067327461,0.0943694975159433,-0.2748943141040907,0.1099535006385984,-0.2424479008867434,0.0775070874212512,0.2014225075918476,0.1616717121956454,False,False,True,5.4908550000190496e-05,-0.0837786750240051,0.1387487261180281,-0.3670511745808881,0.1994938245328779,-0.3192145175245538,0.1516571674765436,0.3223347581418047,0.2509153367075408,False,False,True,0.0026842381231142,0.409821704669118,0.1323003242734634,0.1396063307834929,0.680037078554743,0.1852596104089192,0.6343837989293168,0.4107265965501226,0.3557158323060973,False,False,False,0.25035959129785,5.9805436,5.2134175,4.1005063,3.9833791
CDK11B,unclassified,no quadrant rule satisfied,0.5,p95,p99,-0.1537526616287976,0.1172523417661971,-0.392716096683021,0.0852107734254257,-0.3524461088005533,0.0449407855429579,0.245947244277418,0.2335049303183241,False,False,True,0.0029485963661565,-0.2767503002452666,0.0932915194515309,-0.4667610442998334,-0.0867395561906997,-0.4347644670791722,-0.1187361334113609,0.2611144652591424,0.1996306317150423,False,False,False,0.0113666102780589,-0.1375285900342039,0.0832847052741621,-0.3073500772199082,0.0322928971515003,-0.2787148716382115,0.0036576915698036,0.2047193868921913,0.1511807234313247,False,False,True,6.738437369652748e-05,-0.2389599842142231,0.0963612565645875,-0.4356932787907279,-0.0422266896377182,-0.4024706286607628,-0.0754493397676834,0.2692651014573133,0.2070448699020806,False,False,False,0.0055036201764324,0.0313908925990768,0.0662836854211003,-0.1039895075393097,0.1667712927374635,-0.0811167924363714,0.1438985776345251,0.1626984679560674,0.1214352843481361,False,False,True,3.713271430526209e-08,5.1305747,4.650347,4.3916373,4.1407514
SLC35E2B,unclassified,no quadrant rule satisfied,0.5,p95,p99,-0.3770397473058743,0.1767783522925532,-0.7373187973506781,-0.0167606972610707,-0.6766047681255829,-0.0774747264861657,0.3861899824323447,0.3258475622669916,True,False,False,0.2458962335923781,0.0889602816703304,0.0955075291200415,-0.1055639020668711,0.283484465407532,-0.0728072908699482,0.2507278542106091,0.2089287220118593,0.1540843617538786,False,False,True,7.377945541340292e-05,0.0971281993502245,0.0794216715442046,-0.064816377772457,0.2590727764729061,-0.0375093724246715,0.2317657711251207,0.195879381187836,0.1283714851215068,False,False,True,8.597091718900652e-06,0.2017580059282266,0.1272502047737128,-0.0580388555197949,0.461554867376248,-0.0141665651109428,0.4176825769673959,0.3467147670004997,0.2721038370238556,False,False,True,0.012927502938797,0.3996409194330733,0.1182898253973001,0.1580411382373139,0.6412407006288326,0.198859771943331,0.6004220669228155,0.3825433697601978,0.2678571895172497,False,False,False,0.2014689218304128,4.8960366,4.478184,4.0028634,4.021587
CDK11A,unclassified,no quadrant rule satisfied,0.5,p95,p99,-0.2644098969869759,0.1268865324670814,-0.523008072543367,-0.0058117214305848,-0.47942924888894,-0.0493905450850118,0.3644039492904791,0.2689876804644747,False,False,True,0.0363536942646055,-0.1893813595925,0.09086183207203,-0.3744434576231503,-0.0043192615618496,-0.3432802003046337,-0.0354825188803663,0.2417961583321947,0.1835492022724705,False,False,False,0.0008654132038673,-0.2514161930121217,0.0787482581228161,-0.4119876480431232,-0.0908447379811201,-0.3849121777857178,-0.1179202082385255,0.2185754711469061,0.1707628101864975,False,False,False,0.0017637916146102,-0.2524970040795209,0.0997366150866014,-0.4561215060363237,-0.0488725021227181,-0.4217351272540146,-0.0832588809050271,0.2625872299221674,0.2062575411088395,False,False,False,0.0094302264586606,-0.0507907359329274,0.0635811463211792,-0.1806513641634521,0.0790698922975972,-0.1587112225360884,0.0571297506702334,0.128585288043127,0.1202789980741134,False,False,True,3.759798603038757e-08,5.371675,4.911087,4.511878,4.276239
