lineage,hours,dropped,delta,flips
NK,24,Ccl3,1.019971311927618,False
NK,24,Ccl4,1.5544579533941234,False
NK,24,Ccl5,1.7697012056613668,False
NK,72,Ccl3,1.4738747961930765,False
NK,72,Ccl4,2.029528357836252,False
NK,72,Ccl5,2.713093511495756,False
CD8T,24,Ccl3,0.02258173238961915,False
CD8T,24,Ccl4,0.03968253968253968,False
CD8T,24,Ccl5,-0.0010629251700680076,True
CD8T,72,Ccl3,-0.13655980271270035,False
CD8T,72,Ccl4,-0.16737049977214039,False
CD8T,72,Ccl5,-0.2775141727800104,False
