condition,gene,donor_mean,cell_pooled,band,n_donors
normal,CCL3,0.4952895786923702,0.4819731875569439,MEASURABLE,20
normal,CCL4,0.7750015860041255,0.7931797474944683,MEASURABLE,20
normal,CCL5,0.7407665978236772,0.7611610048158272,MEASURABLE,20
normal,XCL1,0.09301109581524702,0.10022126773395809,MEASURABLE,20
tumor,CCL3,0.36908548355930704,0.36344916344916345,MEASURABLE,19
tumor,CCL4,0.6080508694324521,0.590990990990991,MEASURABLE,19
tumor,CCL5,0.5774354001320732,0.5534105534105535,MEASURABLE,19
tumor,XCL1,0.10030688888898855,0.10193050193050193,MEASURABLE,19
